4gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part2_wordlist_4gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part1_wordlist_4gram
в анекдоте или притче	1	1
нервная сознательная жизнь которая	1	1
самую суть проблемной ситуации	1	1
покоем и личным счастьем	1	1
смерти каждого из нас	2	1
в тот момент когда	2	1
и в то же	1	2
одних и тех же	1	1
близости с анной сергеевной	1	1
состоит в том что	1	2
переводит его в разряд	1	1
приводит к тому что	1	1
только в том что	1	2
жизнь которая не в	1	1
которым можно было бы	1	1
к жизни и смерти	2	1
с утра до вечера	1	1
жизни и смерти каждого	2	1
в определении эстетической доминанты	1	1
говорила она в ужасе	1	1
по отношению к другому	1	1
о том что в	2	2
что на этом свете	1	1
новая нервная сознательная жизнь	1	1
с покоем и личным	1	1
сознательная жизнь которая не	1	1
были две перелетные птицы	1	1
читателя в самую суть	1	1
к тому что он	2	2
что у нее тревожно	1	1
по отношению к личности	1	1
и смерти каждого из	2	1
в то же время	8	4
не в ладу с	1	1
и в самом деле	3	1
в самом деле не	1	1
это были две перелетные	1	1
жизни в то же	1	1
точно это были две	1	1
в самую суть проблемной	1	1
как в анекдоте или	1	1
с его установкой на	1	1
ладу с покоем и	1	1
инобытие личности для других	1	1
и то и другое	1	1
равнодушии к жизни и	1	1
дело здесь не в	1	1
которая не в ладу	1	1
в том случае если	1	1
тот момент когда он	1	1
автора и героя при	1	1
та или иная эстетическая	2	1
в ладу с покоем	1	1
и в это время	1	1
художественности того или иного	1	1
