3gram	Vinokur_KulturaYazyka_partition_part2_wordlist_3gram	Vinokur_KulturaYazyka_partition_part3_wordlist_3gram
поднятия нашей общей	1	1
во французском языке	1	1
которые хотя и	1	1
будет тем более	1	1
не только в	3	4
у нас в	1	1
вовсе не потому	1	1
после того что	2	1
не могут быть	2	1
и пр и	1	1
настоящее столпотворение вавилонское	1	1
общей культуры языка	1	1
здесь прежде всего	1	1
речь идет здесь	1	1
можно было бы	10	9
можно говорить и	1	1
во всяком случае	1	5
т е как	3	1
письменной речи в	2	2
и т п.	2	1
в том чтобы	3	1
речи эта установка	1	1
для того чтобы	11	8
здесь можно было	2	1
и вот это-то	1	1
о том что	3	1
вместе с тем	1	2
этой точки зрения	1	2
в этом случае	4	2
карпинский и сосновский	2	2
т п но	3	2
изношенный словарный штамп	1	1
в этом роде	1	2
в наши дни	1	1
все подобного рода	1	1
т п а	2	2
на самом деле	3	2
о фразеологии но	1	1
имею в виду	2	1
самом деле так	1	1
это действительно так	1	1
с помощью этого	1	1
хочу сказать что	1	1
дело не в	2	2
и тем не	3	4
приемов и методов	1	1
в первую очередь	3	1
а так как	1	1
а не с	1	1
с помощью которого	1	1
на ряду с	1	1
потому что как	3	1
синтаксические штампы не	1	1
не говоря уже	2	2
может быть и	1	1
в этом слове	1	2
прежде всего в	1	1
в иных случаях	1	1
это имело место	1	1
в свое время	2	2
все те же	1	1
к тому что	1	1
п все эти	1	1
в зависимости от	7	4
п и т	2	1
в том смысле	1	1
лишь в том	2	1
беда однако в	1	1
было бы привести	2	2
должен предупредить что	1	1
в языке вообще	1	1
в противном случае	1	1
одной и той	1	1
в русском языке	2	9
все должно быть	1	1
то обстоятельство что	3	7
ни на минуту	1	1
и пр ср	1	1
для этой цели	1	1
само собою разумеется	1	1
пр и пр	1	1
то что мы	1	1
на совещании рабкоров	1	1
штампы не изнашиваются	1	1
на себе внимание	1	1
тем или иным	1	1
в том что	8	10
в то время	1	1
творится настоящее столпотворение	1	1
не потому что	1	1
на русский язык	2	1
в каком смысле	1	1
коренной вопрос эпохи	1	1
то же время	1	3
привести сколько угодно	1	1
мы говорим о	1	2
в качестве живого	1	1
хотя и не	1	1
но для того	1	1
точно таким же	1	1
и т п	41	24
одно то обстоятельство	1	1
в прямой связи	1	1
свой смысл и	1	1
тем не менее	9	5
газетной речи в	1	2
в газетной речи	2	4
и прежде всего	1	1
как не трудно	1	1
тот или иной	2	1
так же как	1	2
в связи с	4	3
и в области	3	1
в данном случае	4	1
в нашей прессе	3	1
то же в	1	1
газетной речи эта	2	1
по крайней мере	1	6
в свою очередь	1	2
на точку зрения	2	1
слишком много и	1	1
бы то ни	1	1
язык нашей прессы	1	1
с другой стороны	3	7
в конечном счете	1	2
стоит в прямой	1	1
что все эти	1	3
со стороны ее	1	1
бы может быть	1	1
таким образом при	1	1
сам по себе	3	1
в отличие от	2	2
уже о том	1	1
что слово это	1	2
в его распоряжении	1	1
эти могут быть	2	1
только для того	1	1
что изношенный словарный	1	1
в данном отношении	1	2
понимать что значит	1	1
свою речь в	1	2
по существу же	1	1
в нынешних спорах	1	1
и что вообще	1	1
не должно быть	1	1
смысле этого слова	2	1
фактов и идей	1	1
к языковым навыкам	1	1
в области языка	2	2
что целый ряд	1	1
до тех пор	4	1
в нашем смысле	2	2
самом деле трудно	1	1
газетной речи как	2	1
видно уже из	1	1
что сказано выше	2	1
но все же	1	2
не трудно убедиться	1	1
отношению же к	1	1
постановка вопроса о	1	1
словарных элементов речи	1	1
в силу которых	3	1
т е к	2	1
если бы однако	1	1
как нельзя более	1	1
газеты как источника	1	1
это вовсе не	1	1
с одной стороны	4	1
никто конечно не	1	1
в газетном языке	1	1
не все из	1	1
и что на	1	2
языка наших газет	2	1
т п в	3	2
в то же	1	3
пр ср также	1	1
т е в	1	1
к тому же	2	1
как мы видели	2	1
принять во внимание	2	1
может быть не	1	1
смысл и содержание	1	1
из этих слов	1	1
того или иного	3	2
нас творится настоящее	1	1
в виду не	1	1
это между прочим	1	1
в известном смысле	2	1
можно говорить о	3	1
зависимости от того	3	1
в своем докладе	1	1
и той же	1	1
примеров можно было	1	1
я имею в	2	1
тем что она	2	1
в самом деле	11	7
потому что он	1	2
в той мере	1	1
и то не	1	1
тех или иных	1	1
есть целый ряд	2	1
по природе своей	1	1
до сих пор	8	1
также и в	1	1
социально-культурными условиями в	1	1
это и в	1	1
сама по себе	2	1
и дело что	1	1
п т е	1	1
чтобы яснее стало	1	1
сплошь да рядом	2	2
с точки зрения	16	8
эта установка на	1	1
то или иное	2	2
то тем самым	1	2
было бы сказать	3	1
о языковой политике	1	1
говоря уже о	2	2
другой стороны есть	1	1
в общем случае	1	1
сих пор еще	3	1
целый ряд таких	1	1
в этом смысле	1	5
но вряд ли	1	1
что на самом	1	1
эта будет тем	1	1
после того как	4	1
целый ряд случаев	1	1
и в самом	4	2
той мере в	1	1
не стоило бы	1	1
те или иные	1	1
что же до	2	1
что он не	1	1
однако в том	1	1
не понимает что	1	1
в письменной речи	1	1
газетная речь а	1	1
на этот вопрос	1	2
останавливают на себе	1	1
ясно что в	1	1
строить свою речь	1	2
газетного языка но	1	1
мы приходим к	1	1
мере в какой	1	1
такой же смысл	1	1
того что сказано	2	1
т е на	2	2
здесь я имею	1	1
только в том	2	2
у нас творится	1	1
речи т е	1	1
сюда же относится	1	1
в вопросе о	1	1
не выходит за	1	1
а не просто	2	1
язык дворянской интеллигенции	1	1
тот же порядок	1	1
на вопросе о	1	1
того чтобы яснее	1	1
по отношению же	1	1
т п т	1	1
но также и	1	2
что если бы	1	1
совершенно ясно что	2	1
какое же значение	1	1
ни одного слова	1	1
слова и выражения	1	2
без особого труда	1	1
с этой точки	1	2
т п и	4	2
не может быть	3	4
не в том	2	1
само по себе	1	5
в том случае	4	2
пор еще не	1	1
все ту же	1	1
чуть ли не	1	1
д и т	1	1
тех пор пока	4	1
и т д	8	14
разве лишь в	2	1
и не даром	1	1
внимание на те	1	1
не то что	1	1
заключается в том	1	1
не более чем	1	1
хотя бы и	1	2
что дело не	1	1
только тогда когда	4	1
лишь до тех	1	1
чтобы понять что	1	2
то убедимся что	1	1
не только для	1	1
только то что	2	1
т п все	2	1
т д и	1	1
к нашей теме	1	1
