4gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part4_wordlist_4gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part3_wordlist_4gram
лишь на точках о	1	1
точках о которых грезит	1	1
бытия и рассудка и	1	1
в том числе и	10	3
превращается в карнавальную площадь	1	1
в литературе эпохи возрождения	1	1
и в то же	2	1
через законы бытия и	1	1
в преступлении и наказании	2	2
жанровой сущности произведение это	1	1
о которых грезит сердце	1	1
из обычной жизненной колеи	1	1
и рассудка и останавливаешься	1	1
и не может быть	1	5
которая до сих пор	1	1
xviii и xix веков	2	1
законы бытия и рассудка	1	1
у вольтера и дидро	1	1
рассудка и останавливаешься лишь	1	1
в той или иной	1	1
время и через законы	1	1
на самом же деле	1	1
под разными углами зрения	1	1
а может быть и	1	1
в античности в средние	1	1
которую они играют в	1	1
большей или меньшей степени	2	2
но при этом каждое	1	1
останавливаешься лишь на точках	1	1
в то же время	5	5
на пороге у дверей	1	1
и в эпоху возрождения	1	1
своей жанровой сущности произведение	1	1
и до сих пор	1	2
в сне смешного человека	5	1
и время и через	1	1
и останавливаешься лишь на	1	1
на точках о которых	1	1
с большой внешней наглядностью	1	1
в средние века и	2	1
до сих пор почти	1	1
в себе оба полюса	1	1
через пространство и время	1	1
застыть в односторонней серьезности	1	1
ярко выраженный карнавальный характер	1	1
и под разными углами	1	1
в большей или меньшей	2	2
перескакиваешь через пространство и	1	1
пространство и время и	1	1
но в то же	1	2
нет и не может	1	2
и застыть в односторонней	1	1
проявляется прежде всего в	1	1
античности в средние века	1	1
и через законы бытия	1	1
по своей жанровой сущности	1	1
