3gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_3gram
всегда готово когда	1	2
выводу что эгоцентрическая	1	1
процессе детского развития	1	1
эгоцентризма детской мысли	3	1
силу того что	1	1
сомнений в том	1	1
точки зрения с	1	1
в силу своей	1	1
о которых мы	1	2
она является речью	1	1
для того чтобы	15	18
речи находится в	1	1
но с точки	1	2
на то что	3	4
о том что	6	4
этой точки зрения	1	4
в развитии эгоцентрической	1	1
с опытами пиаже	1	1
словом и мыслью	1	1
детского развития в	1	1
на самом деле	1	2
что она представляет	1	2
в одинаковой мере	1	1
могли бы сказать	2	2
не только не	1	9
как и в	1	3
и вместе с	1	2
зависимости от этого	1	1
мышления в целом	2	1
на кислород и	1	1
развитии детской речи	1	1
одну из основных	1	1
проблеме мышления и	3	1
не иначе как	1	2
той или иной	1	1
прежде всего в	2	2
таким образом если	1	1
отношения мысли к	1	2
мы могли бы	5	4
эгоцентрической речи является	1	2
и связи с	1	1
на первом месте	1	1
в зависимости от	2	1
одно из первых	1	1
внешняя сторона речи	1	2
слова так же	2	1
что эгоцентрическая речь	10	8
что мы можем	1	1
речи ребенка и	1	2
отношению к эгоцентрической	1	2
так же точно	9	3
в том что	15	13
стороны речи в	1	2
речевого мышления на	1	1
отличие от элементов	1	1
речи является основным	1	1
с таким образом	3	1
вещи к самой	1	1
речь минус звук	1	2
от слова и	1	1
так же как	5	7
того чтобы сделать	1	2
и то же	2	3
не станем останавливаться	1	1
речь ребенка является	1	1
в отличие от	1	2
в эгоцентрической речи	2	4
тенденцию к сокращению	1	2
кроме того что	1	1
основных линий в	1	1
на этом пути	1	1
эгоцентрической речи но	1	3
но все же	1	1
что в ходе	2	3
внутренней речи именно	1	1
в которой она	1	1
коэффициента эгоцентрической речи	1	14
том числе и	1	1
в одно и	1	1
всего в том	1	1
в то же	2	1
в пользу того	3	1
его мышления и	1	1
в собственном смысле	5	3
почти всегда готово	1	2
таким образом мы	1	1
с самого начала	8	7
в самом деле	2	4
привести нас к	3	2
сама по себе	1	1
из всех вопросов	1	1
с точки зрения	18	21
почему вода тушит	1	1
на речь и	1	1
от мысли к	1	5
