2gram	Potebnia_Myslijsyk_partition_part1_wordlist_2gram	Potebnia_Myslijsyk_partition_part4_wordlist_2gram
слова только	1	1
все же	1	6
отлично от	2	1
его в	4	1
подобно тому	2	3
человека только	1	1
каждое лицо	1	1
вопрос только	1	1
с языком	2	2
тех и	1	2
в развитии	1	1
а есть	1	1
и противоположность	1	1
которым мы	1	1
иначе как	1	2
как теперь	2	1
членораздельные звуки	1	1
и т	7	6
в известном	1	1
то что	29	10
так а	1	1
общим чувством	1	4
и слушающего	1	1
с понятием	1	2
его как	1	1
все его	1	1
лишь по	1	1
языка так	1	1
потому можно	2	1
связи с	3	3
то время	1	1
и той	1	3
как не	1	1
к познанию	1	1
слово но	1	1
смысле в	1	4
уже и	2	1
что можно	1	3
когда оно	2	1
же с	2	7
при самом	1	4
все более	3	3
с представлением	1	1
виде есть	1	1
не противоречит	1	1
бы кто	1	1
славянские и	1	1
никто не	2	3
должно бы	1	4
нашей мысли	3	1
нам кажется	2	1
не без	1	1
для преобразования	1	1
природы есть	1	2
не есть	9	10
те же	3	1
могут быть	7	9
с психологической	2	1
из которого	1	3
сознания и	1	1
сказать о	1	1
преобразования чувственных	1	1
о языке	2	3
в его	5	5
все равно	3	1
ли мы	1	1
в нас	3	7
мы бы	2	1
и другим	3	1
и может	4	2
с нею	3	4
связан в	1	1
нас самих	1	1
не заключает	1	1
мыслью и	1	2
да и	4	1
деятельности мысли	1	2
языка то	2	4
есть только	5	11
понятие о	1	1
только совокупность	1	1
по мере	7	6
не можем	5	2
образом уже	1	1
были бы	1	3
вовсе не	7	5
к ним	2	2
про себя	1	1
такой степени	6	1
переход к	1	1
из этого	2	2
образом что	2	2
мысли с	1	3
к лицу	1	1
бы в	2	4
до слова	1	2
и нет	1	1
сами не	2	2
языка вообще	1	1
а вместе	1	3
с и	2	3
причем между	1	1
в глазах	2	3
вместе и	2	9
это потому	2	1
могли быть	1	1
в каждой	1	1
эту субъективность	1	1
как предмет	1	2
когда мысль	1	1
каждого слова	1	1
с пути	1	1
другой стороны	1	5
так сказать	5	2
лучи и	1	1
мысли только	1	1
отношению к	8	13
что способность	2	1
предполагаемые этим	1	1
то и	4	7
дойти до	1	1
что содержание	1	1
его с	1	2
явления природы	1	1
и какое	1	1
но для	1	1
до него	1	1
и не	18	18
что язык	7	16
выше мы	2	1
лежит в	1	1
таким образом	24	13
степени разложения	1	1
языкознания это	1	1
тогда когда	8	9
имеет свою	2	1
тем что	10	9
без языка	2	4
смысле этого	1	1
дает нам	1	1
все эти	3	1
которого не	1	1
этот процесс	1	1
в данном	4	1
на словах	1	1
значительной степени	2	2
смысле и	1	1
с самого	1	3
этим последним	4	3
т д	3	4
и того	1	2
на его	3	1
необходим для	1	1
гумбольдтом и	1	1
языка в	2	6
нужно иметь	2	1
перед нами	1	1
зависящее от	1	2
простейших стихий	1	1
языка могли	1	2
быть может	4	1
то будет	1	1
в сравнении	4	3
сами по	2	1
из виду	2	1
в первом	3	5
начале языка	1	3
с членораздельным	1	1
впервые пришел	1	1
к новым	1	2
развивается изнутри	1	1
человеческого развития	2	1
на них	1	1
и звуки	1	1
о влиянии	1	1
дело в	1	2
что человек	3	5
могли только	1	1
в своем	8	3
в нашем	2	1
рассудок разум	1	1
и без	2	3
душевной жизни	3	9
не по	1	4
по крайней	5	2
же следует	1	1
как и	14	9
ее деятельности	1	1
должен был	1	1
или что	2	1
же время	3	4
только содержание	1	1
показаться странным	1	1
и в	23	39
есть вместе	2	3
в греческом	2	1
но не	1	8
язык развивается	1	1
субъекта и	1	4
как скоро	3	1
для нас	14	9
стороны говорящего	1	1
не была	1	1
и об	1	1
при создании	1	1
с этим	7	7
но это	3	5
и образование	1	1
друг другу	1	3
же в	1	2
довольно будет	1	1
нас по	1	1
это не	7	7
бы ни	2	4
но он	1	2
должно быть	5	7
и совершенно	1	1
того как	6	6
это значит	1	1
бы быть	1	4
сказать несколько	2	1
есть много	1	1
прежде всего	1	4
указывает на	2	1
их не	1	1
тем и	6	1
природы то	1	1
этот предмет	1	1
сущности есть	1	1
мы по	1	1
мысль что	3	5
можно видеть	2	1
в науке	3	1
перестает быть	1	1
с течением	2	1
до сознания	1	3
языков и	1	1
не что	2	2
тех пор	6	1
все что	2	2
теряет своей	1	1
объективности мысли	1	1
в образе	2	1
оторваться от	2	1
значения и	1	1
в некотором	1	2
в говорящем	2	1
примыкает к	5	1
с с	1	1
и таким	3	1
которые могут	1	1
и необходимо	1	1
каждый человек	1	1
мы называем	1	2
различия в	1	2
и есть	3	2
знания и	1	1
самом деле	3	1
коренится в	1	1
именно что	1	2
хотя и	5	3
в ребенке	2	1
что обозначено	1	1
например в	3	1
то же	14	6
без слова	1	2
могло бы	1	3
есть всегда	3	1
мысли то	4	7
нельзя сказать	3	1
мы могли	2	1
значение и	2	2
на другие	1	1
бы совершенно	1	1
то она	1	2
дополнения со	1	3
мы видим	2	4
от сравнения	1	1
но при	1	3
что совокупность	1	1
том только	1	1
в течение	2	2
новое слово	4	1
слагаются в	1	2
вне языка	1	1
деятельности так	1	1
один из	2	1
в действительности	3	4
в обществе	2	1
то тем	1	1
слов если	1	1
с точки	3	3
вместе непонимание	1	1
бы предположить	1	1
к этим	1	1
признаком языка	1	1
этой последней	1	1
которых нельзя	1	1
этим согласно	1	1
каждом языке	1	1
понятия и	1	3
но в	8	9
который бы	2	1
не имеет	5	5
история языка	1	3
истории человека	2	1
сих пор	4	1
если и	2	2
не представляется	1	2
от б	1	1
тем не	4	6
данное время	1	1
разница в	1	1
или если	2	1
в другом	1	1
степени развития	1	1
эти последние	1	1
обществе и	1	1
не имеющие	1	1
в котором	4	1
для него	5	4
словам в	1	1
свою очередь	1	4
по выражению	1	1
мысли до	2	1
строения языков	1	1
можно было	2	1
и это	2	3
звуки для	1	1
что мысль	3	4
не с	2	1
а следовательно	1	1
ничего общего	1	2
п и	1	1
связь с	1	2
не следует	2	5
коих он	1	1
в состоянии	2	3
есть для	5	2
необходимости и	1	2
новые чувства	1	1
виду что	2	1
от нее	1	6
и другом	1	2
научные положения	1	1
том виде	1	1
в письменности	1	1
невозможно так	1	1
при таком	1	4
когда мы	6	2
для кого	1	1
в последнем	1	1
такой взгляд	1	1
этой мысли	1	1
есть что	1	3
звуковые изменения	1	1
в одном	4	8
же язык	1	2
иное как	2	2
той же	3	3
друг от	1	2
а как	2	2
или же	1	3
на других	1	1
от огня	1	1
понимание есть	1	2
самого предмета	1	4
в применении	1	2
к языку	1	2
и все	4	3
на этот	2	2
человеческой жизни	1	1
мы только	1	1
согласие в	1	1
и о	4	2
жизни и	1	2
еще только	1	2
вполне человеческое	1	1
система есть	1	1
в них	3	3
мы хотим	2	1
но тем	2	3
может стать	1	1
если не	1	2
там где	3	4
ко всем	3	2
слова но	1	2
из глубины	1	2
проходит в	1	1
языка с	3	6
в том	23	26
что весьма	1	1
языка таким	1	1
вообще можно	1	1
вдаваясь в	1	1
чем больше	2	1
от того	4	4
всем прочим	1	1
на вопрос	4	1
что понятия	1	1
и наоборот	1	6
других источников	1	1
не все	1	2
как мы	2	2
слова от	2	1
заключает в	8	2
steinthal с	1	4
его мысль	1	1
чувственный образ	11	1
сложное и	2	1
что как	4	3
только тогда	5	5
в отношении	1	1
многих других	1	1
и животным	1	1
есть не	4	2
в виде	2	1
значения то	1	1
раз при	1	1
понимание было	1	1
и связь	1	1
стороны его	1	1
языка из	1	1
положим что	3	3
сравнении с	1	2
со стороны	3	8
слов к	1	1
одно из	1	3
несомненно что	1	2
нет ничего	3	2
менее в	1	1
то он	2	2
из самого	1	3
к слову	3	1
можно сравнить	2	1
и язык	1	11
то это	8	5
в своих	2	4
необходимость искать	1	1
не теряет	1	1
и вполне	2	1
воля не	1	2
или когда	1	1
живой речи	1	1
чувства но	1	1
времени для	1	1
есть действительно	1	1
уже в	5	1
есть еще	1	1
между миром	1	1
в истории	4	7
что всякое	1	1
и потому	10	5
вряд ли	1	1
как на	1	3
более сложные	1	1
заставляет нас	1	2
есть переход	1	1
более как	1	3
носит на	1	1
из них	1	1
умственной деятельности	2	4
и слова	2	2
мысли в	2	9
в области	2	1
а что	2	1
что сущность	1	1
одного и	1	2
не менее	5	6
еще не	3	6
если примем	1	1
но на	1	2
в звуке	1	1
следовательно и	1	2
на все	1	2
не вполне	2	1
языке человек	1	1
противоположность между	1	1
следует представлять	1	1
не годится	1	1
с внутренней	1	1
