3gram	Vinokur_KulturaYazyka_partition_part3_wordlist_3gram	Vinokur_KulturaYazyka_partition_part2_wordlist_3gram
поднятия нашей общей	1	1
во французском языке	1	1
которые хотя и	1	1
будет тем более	1	1
не только в	4	3
у нас в	1	1
вовсе не потому	1	1
после того что	1	2
не могут быть	1	2
и пр и	1	1
настоящее столпотворение вавилонское	1	1
общей культуры языка	1	1
здесь прежде всего	1	1
речь идет здесь	1	1
можно было бы	9	10
можно говорить и	1	1
во всяком случае	5	1
т е как	1	3
письменной речи в	2	2
и т п.	1	2
в том чтобы	1	3
речи эта установка	1	1
для того чтобы	8	11
здесь можно было	1	2
и вот это-то	1	1
о том что	1	3
вместе с тем	2	1
этой точки зрения	2	1
в этом случае	2	4
карпинский и сосновский	2	2
т п но	2	3
изношенный словарный штамп	1	1
в этом роде	2	1
в наши дни	1	1
все подобного рода	1	1
т п а	2	2
на самом деле	2	3
о фразеологии но	1	1
имею в виду	1	2
самом деле так	1	1
это действительно так	1	1
с помощью этого	1	1
хочу сказать что	1	1
дело не в	2	2
и тем не	4	3
приемов и методов	1	1
в первую очередь	1	3
а так как	1	1
а не с	1	1
с помощью которого	1	1
на ряду с	1	1
потому что как	1	3
синтаксические штампы не	1	1
не говоря уже	2	2
может быть и	1	1
в этом слове	2	1
прежде всего в	1	1
в иных случаях	1	1
это имело место	1	1
в свое время	2	2
все те же	1	1
к тому что	1	1
п все эти	1	1
в зависимости от	4	7
п и т	1	2
в том смысле	1	1
лишь в том	1	2
беда однако в	1	1
было бы привести	2	2
должен предупредить что	1	1
в языке вообще	1	1
в противном случае	1	1
одной и той	1	1
в русском языке	9	2
все должно быть	1	1
то обстоятельство что	7	3
ни на минуту	1	1
и пр ср	1	1
для этой цели	1	1
само собою разумеется	1	1
пр и пр	1	1
то что мы	1	1
на совещании рабкоров	1	1
штампы не изнашиваются	1	1
на себе внимание	1	1
тем или иным	1	1
в том что	10	8
в то время	1	1
творится настоящее столпотворение	1	1
не потому что	1	1
на русский язык	1	2
в каком смысле	1	1
коренной вопрос эпохи	1	1
то же время	3	1
привести сколько угодно	1	1
мы говорим о	2	1
в качестве живого	1	1
хотя и не	1	1
но для того	1	1
точно таким же	1	1
и т п	24	41
одно то обстоятельство	1	1
в прямой связи	1	1
свой смысл и	1	1
тем не менее	5	9
газетной речи в	2	1
в газетной речи	4	2
и прежде всего	1	1
как не трудно	1	1
тот или иной	1	2
так же как	2	1
в связи с	3	4
и в области	1	3
в данном случае	1	4
в нашей прессе	1	3
то же в	1	1
газетной речи эта	1	2
по крайней мере	6	1
в свою очередь	2	1
на точку зрения	1	2
слишком много и	1	1
бы то ни	1	1
язык нашей прессы	1	1
с другой стороны	7	3
в конечном счете	2	1
стоит в прямой	1	1
что все эти	3	1
со стороны ее	1	1
бы может быть	1	1
таким образом при	1	1
сам по себе	1	3
в отличие от	2	2
уже о том	1	1
что слово это	2	1
в его распоряжении	1	1
эти могут быть	1	2
только для того	1	1
что изношенный словарный	1	1
в данном отношении	2	1
понимать что значит	1	1
свою речь в	2	1
по существу же	1	1
в нынешних спорах	1	1
и что вообще	1	1
не должно быть	1	1
смысле этого слова	1	2
фактов и идей	1	1
к языковым навыкам	1	1
в области языка	2	2
что целый ряд	1	1
до тех пор	1	4
в нашем смысле	2	2
самом деле трудно	1	1
газетной речи как	1	2
видно уже из	1	1
что сказано выше	1	2
но все же	2	1
не трудно убедиться	1	1
отношению же к	1	1
постановка вопроса о	1	1
словарных элементов речи	1	1
в силу которых	1	3
т е к	1	2
если бы однако	1	1
как нельзя более	1	1
газеты как источника	1	1
это вовсе не	1	1
с одной стороны	1	4
никто конечно не	1	1
в газетном языке	1	1
не все из	1	1
и что на	2	1
языка наших газет	1	2
т п в	2	3
в то же	3	1
пр ср также	1	1
т е в	1	1
к тому же	1	2
как мы видели	1	2
принять во внимание	1	2
может быть не	1	1
смысл и содержание	1	1
из этих слов	1	1
того или иного	2	3
нас творится настоящее	1	1
в виду не	1	1
это между прочим	1	1
в известном смысле	1	2
можно говорить о	1	3
зависимости от того	1	3
в своем докладе	1	1
и той же	1	1
примеров можно было	1	1
я имею в	1	2
тем что она	1	2
в самом деле	7	11
потому что он	2	1
в той мере	1	1
и то не	1	1
тех или иных	1	1
есть целый ряд	1	2
по природе своей	1	1
до сих пор	1	8
также и в	1	1
социально-культурными условиями в	1	1
это и в	1	1
сама по себе	1	2
и дело что	1	1
п т е	1	1
чтобы яснее стало	1	1
сплошь да рядом	2	2
с точки зрения	8	16
эта установка на	1	1
то или иное	2	2
то тем самым	2	1
было бы сказать	1	3
о языковой политике	1	1
говоря уже о	2	2
другой стороны есть	1	1
в общем случае	1	1
сих пор еще	1	3
целый ряд таких	1	1
в этом смысле	5	1
но вряд ли	1	1
что на самом	1	1
эта будет тем	1	1
после того как	1	4
целый ряд случаев	1	1
и в самом	2	4
той мере в	1	1
не стоило бы	1	1
те или иные	1	1
что же до	1	2
что он не	1	1
однако в том	1	1
не понимает что	1	1
в письменной речи	1	1
газетная речь а	1	1
на этот вопрос	2	1
останавливают на себе	1	1
ясно что в	1	1
строить свою речь	2	1
газетного языка но	1	1
мы приходим к	1	1
мере в какой	1	1
такой же смысл	1	1
того что сказано	1	2
т е на	2	2
здесь я имею	1	1
только в том	2	2
у нас творится	1	1
речи т е	1	1
сюда же относится	1	1
в вопросе о	1	1
не выходит за	1	1
а не просто	1	2
язык дворянской интеллигенции	1	1
тот же порядок	1	1
на вопросе о	1	1
того чтобы яснее	1	1
по отношению же	1	1
т п т	1	1
но также и	2	1
что если бы	1	1
совершенно ясно что	1	2
какое же значение	1	1
ни одного слова	1	1
слова и выражения	2	1
без особого труда	1	1
с этой точки	2	1
т п и	2	4
не может быть	4	3
не в том	1	2
само по себе	5	1
в том случае	2	4
пор еще не	1	1
все ту же	1	1
чуть ли не	1	1
д и т	1	1
тех пор пока	1	4
и т д	14	8
разве лишь в	1	2
и не даром	1	1
внимание на те	1	1
не то что	1	1
заключается в том	1	1
не более чем	1	1
хотя бы и	2	1
что дело не	1	1
только тогда когда	1	4
лишь до тех	1	1
чтобы понять что	2	1
то убедимся что	1	1
не только для	1	1
только то что	1	2
т п все	1	2
т д и	1	1
к нашей теме	1	1
