2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_2gram
в последнее	1	1
отсутствие в	1	1
все же	8	2
его в	3	2
времени и	1	4
и весьма	2	2
и хорошо	1	1
необходимо чтобы	1	1
в предыдущем	1	3
а каждый	1	1
и всякого	1	2
существует только	2	1
начиная от	1	1
и тоже	3	2
не говорить	1	1
для меня	5	1
символ и	1	8
чем иным	1	2
здесь может	1	1
и независимо	2	2
она есть	1	1
помощи того	1	1
самому предмету	1	1
известном смысле	1	1
общего с	2	2
в значительной	3	2
и каждый	1	2
слова и	4	1
даже в	2	1
это вовсе	2	1
взятое само	1	1
мы имеем	1	6
и к	3	3
каждый раз	3	5
уж тем	5	1
к другому	1	1
степени но	1	1
в наших	1	1
независимо от	2	3
могут сказать	3	1
новое качество	1	1
как о	3	3
уж во	2	2
таком случае	10	1
кроме того	5	4
некоторого рода	7	2
и далее	1	1
что при	4	1
мы здесь	3	2
самое это	1	1
от нее	1	1
из таких	1	1
то мы	1	2
человеческом сознании	1	1
таковое в	1	1
как систему	2	1
так и	7	10
и ввиду	1	1
чем не	1	1
вещи и	2	1
только еще	1	1
и т	6	4
не является	7	10
уже давно	5	4
может обойтись	1	2
сказать это	1	1
когда мы	6	5
еще и	5	3
вещь не	1	1
без особого	1	1
думает что	1	1
или другой	5	3
есть нечто	7	9
в известном	1	2
тем самым	7	4
то что	38	15
но как	6	3
сейчас в	1	1
отражение в	1	1
что тут	1	1
в каком	4	6
и от	3	6
пожалуй даже	2	1
никак не	11	4
с понятием	2	1
существует но	2	1
то такая	1	1
сейчас мы	1	1
на бесконечное	1	1
от всякого	2	1
множество других	1	1
бы то	2	1
тоже по	2	1
а потом	1	1
в одном	1	4
уже самого	1	1
иное как	3	2
нет никакой	2	4
требует доказательства	2	1
несмотря на	3	4
является только	3	2
но например	1	1
если бы	4	8
общей форме	1	1
нет никакого	1	3
связи с	5	3
же деле	1	2
ни в	6	17
необходимо сказать	6	3
между собой	5	2
то время	1	2
что в	11	3
одной категории	1	1
не всякий	1	3
нас в	3	1
он является	2	1
о самом	1	1
как раз	8	4
не указывает	1	1
нашего сознания	2	1
уже и	3	3
но если	4	6
которые являются	1	1
входить в	2	1
на первый	4	1
в основе	3	1
другого а	1	1
с его	1	2
значения этого	2	1
отношений то	2	1
диалектического понимания	1	1
что понятие	1	3
этих двух	1	1
лет назад	3	2
и больше	1	2
буквальном смысле	1	2
что она	4	4
в той	2	8
не знаем	3	1
бы и	7	3
о чем	6	1
что если	4	1
себе в	2	3
работу и	1	1
зависимости от	2	3
и что	13	2
которыми мы	1	1
всего этого	1	1
этом мы	1	2
в буквальном	1	3
самого предмета	2	1
и все	5	8
мы скажем	3	1
и логика	1	1
или менее	4	2
есть тоже	3	2
никто не	3	2
то для	1	3
бы мы	2	1
частей на	1	1
нам кажется	2	2
представляет собою	1	1
или иные	3	4
лишенный всякого	1	1
которая и	2	1
и о	4	5
это такого	1	1
еще только	1	2
но отнюдь	1	1
раз навсегда	1	1
спросим себя	2	1
все другие	2	1
ввиду их	1	1
если уж	1	1
и притом	3	2
из которых	2	3
что эта	1	1
ничего общего	3	5
в них	2	5
кажется что	1	2
только не	3	4
данную вещь	4	1
иметь в	1	1
этому поводу	2	1
не есть	33	12
мере не	1	5
и так	1	1
это то	5	1
не то	2	2
и ни	3	5
сам же	1	1
что все	6	1
не может	13	5
данного момента	1	1
если не	4	3
сказать что	24	7
здесь будет	1	1
не всякое	2	1
то есть	39	27
но который	2	1
отнюдь не	5	10
семантических оттенков	2	1
того или	7	3
