4gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_4gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_4gram
заключается в том что	4	5
в том что в	1	1
понятий сравнительно с житейскими	1	1
с этой точки зрения	4	1
в том числе и	1	1
мы видим в том	1	1
в своей спонтанной речи	1	1
но с точки зрения	2	1
есть не что иное	1	1
мы могли бы сказать	2	2
в то время как	2	5
не содержит в себе	1	1
если таким образом развитие	1	1
состоит в том что	3	2
но вместе с тем	1	1
прежде чем перейти к	2	1
в зависимости от этого	1	1
в этом случае и	1	1
приводит к тому что	2	1
только в том что	1	1
об одном и том	1	2
содержат в себе ничего	1	1
именно в этом смысле	1	1
всем протяжении школьного возраста	1	1
и не может быть	1	1
на всем протяжении школьного	1	1
точно так же как	2	1
необъяснимым с точки зрения	1	1
то же самое что	2	1
не что иное как	1	1
является необъяснимым с точки	1	1
внешняя звучащая фазическая сторона	1	1
речи так же как	1	1
мысли для того чтобы	1	1
по сравнению с устной	1	1
не содержат в себе	2	1
неизбежно приводит к тому	1	1
всех высших психических функций	1	1
не удивительно поэтому что	1	1
это было вызвано тем	1	1
по своей психологической природе	2	1
одной и той же	2	3
одном и том же	1	2
и семантической стороны речи	1	1
так же как и	1	1
смысле можно сказать что	2	1
необходимым условием для того	1	1
видим в том что	1	1
в этом и заключается	1	1
по отношению к другу	1	1
было вызвано тем обстоятельством	1	1
развития в школьном возрасте	1	1
в силу того что	1	5
является необходимым условием для	1	1
фазической и семантической стороны	1	1
заключается только в том	1	1
друг по отношению к	1	1
к тому что проблема	1	1
несмотря на то что	1	2
условием для того чтобы	1	1
на каждой ступени развития	1	3
содержит в себе ничего	1	1
научных понятий сравнительно с	1	1
в одной и той	1	2
нам остается еще сказать	1	1
вызвано тем обстоятельством что	1	1
внимание на то что	1	1
нет и не может	1	1
могли бы сказать что	2	2
