2gram	Vinokur_KulturaYazyka_partition_part2_wordlist_2gram	Vinokur_KulturaYazyka_partition_part3_wordlist_2gram
п и	4	2
все же	5	7
одних и	1	1
ведь только	1	1
речи и	1	5
в область	2	1
так например	1	1
нашего языка	2	1
сплошь да	2	2
русским языком	2	2
и непосредственно	1	1
в одну	1	2
письменная речь	1	1
для меня	2	1
она есть	2	1
трудно убедиться	1	1
языка можно	1	1
известном смысле	2	1
слова и	7	5
даже в	1	1
в прямой	1	1
это вовсе	1	1
лишь до	2	1
здесь я	1	1
мы имеем	2	5
и к	3	1
нашей прессе	4	1
конечном счете	1	2
но здесь	1	2
независимо от	5	1
же на	1	1
в газетном	2	2
материал для	2	2
кроме того	2	1
вещи которые	1	1
иначе как	1	1
на язык	1	1
то мы	3	1
так и	6	4
стилистические навыки	2	1
в иных	1	2
общем случае	1	1
точно таким	1	1
и т	54	39
языком в	1	1
как нельзя	2	1
эти могут	2	1
когда мы	3	1
еще и	2	2
без особого	1	1
одного слова	1	1
у них	1	1
придаточными предложениями	1	3
более сложных	1	1
в известном	2	1
в известиях	1	1
новую свежую	1	1
тем самым	4	2
то что	4	9
имеют все	1	1
но как	3	1
не как	2	2
в каком	3	4
настоящее столпотворение	1	1
крестьянин не	1	1
и от	1	2
имеет смысл	3	1
никак не	2	3
языковых фактов	2	1
один только	1	1
наряду с	1	1
совершенно иную	1	1
в особенности	2	4
следовало бы	1	2
должна быть	3	5
бы то	1	1
язык нашей	2	1
лишь по	1	1
в свою	1	2
первая половина	1	1
лингвистическое воспитание	2	2
языка так	1	1
в одном	2	1
пр ср	1	1
тому же	3	1
творчества и	1	1
прямой связи	1	1
несмотря на	1	5
той же	3	2
а скорее	1	1
значение этого	1	1
если бы	8	12
выражений представляющих	1	1
непонятное арго	1	1
связи с	6	3
может иметь	3	1
и такие	2	1
такой смысл	1	1
ни в	3	4
себе цели	1	3
они будут	1	1
лежат в	1	1
и той	1	1
то время	1	1
ничтожным привилегированным	1	1
как не	1	3
только после	3	1
что в	13	10
всякий грамматический	1	1
речи к	1	1
этой цели	1	2
все подобного	1	1
однако в	2	1
нас в	3	1
что целый	1	1
смысле в	1	1
письменный язык	2	1
языка не	1	2
нас творится	1	1
в своей	4	2
как раз	4	3
газетной речи	21	14
того кто	1	1
случаи как	1	1
русской классической	2	1
но дело	1	1
не должно	1	2
не отмечено	1	1
речевого процесса	1	4
на ряду	1	1
не выходит	1	1
отношению же	1	1
разговорной речи	2	2
дискуссией о	1	1
нужно будет	2	1
этом случае	4	2
что она	5	3
что дело	2	1
разговорного языка	1	1
в той	4	2
обратить внимание	1	2
бы и	3	4
что если	2	2
зависимости от	8	5
и что	7	8
данного слова	1	1
его значении	1	1
всего этого	3	1
беда однако	1	1
удобной и	1	1
само слово	1	1
что самое	1	1
то только	1	2
к языку	4	1
в период	1	1
столпотворение вавилонское	1	1
мы скажем	1	2
мы говорим	4	2
о языковой	1	1
которое мы	1	1
на этот	2	2
в нынешних	1	1
указать на	2	1
представляет собою	1	1
газетного языка	5	6
или иные	1	1
помощью которого	1	1
что на	3	4
ряд случаев	1	1
и о	4	4
придаточного предложения	2	2
после того	6	2
эта фраза	1	2
из которых	1	3
как можно	1	2
в прессе	1	1
указать что	1	1
вопросе о	2	2
