2gram	Tiupa_NarrotologicheskiyChehov_partition_part1_wordlist_2gram	Tiupa_NarrotologicheskiyChehov_partition_part2_wordlist_2gram
и сами	1	1
во сне	2	2
вглядеться в	1	1
в даме	1	5
особое место	3	1
все же	6	4
чеховских повествований	1	1
присутствия человеческого	1	1
мир персонажа	1	1
без этой	1	1
времени и	4	9
такова что	1	2
из нас	1	2
оказывается и	1	1
пока что	1	1
сути дела	1	1
центральное событие	2	2
подобно тому	2	3
сознании которого	1	1
известном смысле	3	2
слова и	1	1
случае следует	1	1
интерес к	2	1
за пределами	3	2
катя не	2	1
для другого	1	1
в повествуемом	1	1
мы имеем	3	3
и к	6	1
конечном счете	3	1
долго жить	1	1
жизни героя	1	3
с готовыми	1	1
второй главы	1	1
как нарративной	1	1
в архиерее	2	2
от этих	1	2
в единство	1	1
в данной	1	1
христианской культуры	1	1
истории а	2	1
с детской	1	1
в диалогической	1	1
за человек	1	2
рецептивного сознания	2	1
систему персонажей	2	1
городе с	1	1
в концовке	2	1
писал бахтин	1	1
нарративных практик	1	2
по обыкновению	1	1
так и	9	5
существенную роль	3	1
и т	2	1
не является	4	3
рассказано в	1	1
реальной действительности	1	1
жизнь обоих	1	1
повествуемый мир	2	2
в городе	1	1
и у	4	1
к своей	1	1
в известном	3	2
возникает и	1	1
с читателем	1	1
тем самым	5	5
то что	8	9
с гуровым	1	1
выявить в	1	1
и от	1	2
имеет смысл	1	1
самое следует	1	1
как для	1	1
бытия в	2	1
никак не	3	2
с собачкой	10	9
к различным	1	1
является искусством	1	1
его как	1	1
оснований сомневаться	1	1
наряду с	1	1
исключительно в	2	2
об одном	1	1
в точке	1	1
в одном	1	4
в свою	2	2
иное как	1	1
что обычно	1	1
тому же	4	6
жизненный опыт	1	2
нарратора не	1	2
той же	2	1
в другом	4	1
если бы	4	7
иначе говоря	7	8
рассказывания и	1	1
в обоих	2	2
связи с	1	2
принадлежит гурову	1	1
участие в	2	1
мира на	1	1
между собой	3	2
дома с	3	1
сопряжение двух	1	1
порой и	1	2
что в	4	3
оглядываясь на	1	1
говоря это	2	1
повествования и	1	3
собственно говоря	2	1
литературной наррации	2	1
в ялте	2	3
в начале	2	3
однако в	2	3
он является	3	1
опоры в	1	1
в своей	4	5
как раз	3	6
низких потолков	1	1
кадров ментального	1	2
содержаний сознания	1	1
и другая	1	1
состоит во	1	1
собственно и	2	1
с его	3	4
первый раз	1	1
истории не	1	3
освободиться от	1	1
другому человеку	1	1
в состав	3	3
что она	2	1
как правило	3	5
в той	5	2
о чем	2	4
событие не	1	1
зависимости от	1	2
по мысли	5	3
его внутренней	2	1
как восстановление	1	1
не происходит	2	1
и все	4	3
в алтаре	1	1
из базовых	1	1
в нее	1	1
или менее	1	1
в смысловом	1	1
сисой всю	1	1
на этот	1	1
детей в	1	1
человеческой жизни	1	2
повествуемого мира	4	5
чеховского повествования	1	4
через посредство	1	2
и о	1	3
жизни и	4	6
мигая глядела	1	1
жизни гурова	1	1
и притом	1	2
современной нарратологии	2	6
в реальной	1	1
как можно	1	1
и слушающих	2	1
повествовательных кадров	1	1
в кадры	1	2
по сути	1	2
на одном	2	1
анной сергеевной	1	5
ни слова	2	1
от позиции	2	1
является повествование	1	1
нарративная структура	1	4
строгом значении	1	1
не может	8	8
дама с	1	1
если не	2	2
[...] и	2	3
связано с	1	1
позволяет нам	1	2
как гадость	1	1
сказать что	3	2
то есть	9	9
отнюдь не	4	2
благодаря присутствию	1	1
архиерей и	2	1
по длительности	1	1
залитое солнцем	1	1
вместе с	1	2
дети не	1	1
не могло	2	2
сознания и	1	1
и связывания	1	1
такого рода	12	10
большей части	3	3
одна явная	1	1
в том	14	8
матери и	1	4
и событие	1	2
своем воображении	1	1
ваше преосвященство	1	1
в его	6	6
первом эпизоде	1	1
у чехова	9	6
нашего событийного	1	1
персонажей и	2	1
это время	1	1
и т.п	6	8
границы между	1	1
своими воспоминаниями	1	1
моей жизни	2	1
вследствие того	1	1
не входит	1	1
не существует	1	3
была мать	1	1
приводит к	1	1
преобразившегося героя	1	1
поскольку не	3	1
о том	5	4
между тем	3	3
нельзя назвать	1	1
чем он	1	2
обратим внимание	1	1
потолков и	1	1
дядя петруша	1	1
отношение к	1	1
похожи на	1	1
являет собой	1	4
в виду	1	1
было не	1	1
на то	2	2
при такой	1	2
было как	1	4
еще в	1	3
да и	3	2
с помощью	1	1
которых он	1	1
они неразрывно	1	1
которая не	2	1
в зрелых	1	1
мы и	1	1
все было	1	1
долго думают	1	1
в литературном	1	1
без которого	1	1
протяжении рассказа	2	1
похоже было	1	1
как мы	1	2
а потому	1	1
часто не	2	1
героя благодаря	1	1
также в	1	1
выступающего в	1	1
не все	2	1
истории о	1	2
может быть	10	15
[...] в	1	2
не несет	1	1
и его	3	10
прошлого и	1	2
не сводит	1	1
то в	1	4
не можем	1	1
его нарратор	2	1
о матери	1	1
после него	1	1
котят и	2	1
а теперь	1	1
пока еще	3	1
зрелого чеховского	2	1
из церкви	1	1
и состоит	2	4
его смерти	1	1
от которой	1	1
в нарративных	2	1
она не	1	2
но перед	1	1
матерью а	1	1
нарратора в	2	2
желая разгадать	1	1
человеческого я	5	1
отсылают к	1	1
между двумя	1	5
события рассказывания	7	1
внешнего и	1	1
повествуемой истории	1	3
ли не	1	2
не на	1	1
лев толстой	1	1
поименованное в	1	1
больше дьяконицей	1	1
за собой	1	1
оказывается всего	1	1
главное в	1	1
весело светилось	1	1
чувствовала себя	1	1
более не	1	2
чехова по	1	1
такое повествование	1	1
здесь не	2	2
даже если	1	1
о себе	1	1
ли он	1	1
с кем-нибудь	1	1
каждый из	1	2
на стороне	2	1
той или	3	5
ни о	1	2
чтобы стать	1	1
вслед за	6	1
жизни мы	2	1
мать и	1	2
своего существования	1	1
нам историю	1	1
эпизодов в	1	2
второго лица	2	1
отличие от	5	2
может именоваться	1	1
своего дядю	1	1
она в	1	2
событийность и	1	1
могло быть	1	1
повествование о	1	1
этом в	1	1
рассказ событие	1	2
и пережил	1	1
с мезонином	3	1
мира в	4	4
со стороны	6	8
как он	2	1
текста и	2	1
воспринимающем сознании	1	1
в глазах	4	3
восприниматься как	1	1
в таком	3	2
наррации это	1	2
в частности	11	14
[...] а	1	1
напряжение между	3	1
пребывания в	3	1
начало и	1	3
в следующем	1	1
и читатель	2	1
ответ на	5	1
и даже	3	2
следует подчеркнуть	3	1
в аналогичной	1	1
поскольку обладает	1	1
о жизни	4	1
мысли рикёра	1	1
еще раз	1	3
сердце у	1	2
и тем	5	4
того чтобы	3	4
статус событийности	1	1
из рассказа	1	1
с ними	3	2
только в	11	12
в этой	4	6
появляется в	1	1
о ней	3	3
в едином	1	2
так сказать	3	2
разгадать что	1	1
со своими	2	1
автора нередко	1	1
отношению к	5	3
когда она	1	1
будет продолжаться	1	1
в чеховском	2	1
то и	3	1
этих невыносимых	1	1
всяком случае	1	2
при архиереях	1	1
интроспективное повествование	1	1
свидетельствует о	4	1
например как	1	1
к этому	1	1
данный аспект	1	1
и мама	1	1
но для	2	3
находился при	1	1
оно и	1	1
высказывания в	1	2
всеми кроме	1	1
не оказывается	2	1
как в	5	4
рассказчика и	1	1
он прямо	1	1
не случайно	2	1
во всяком	1	2
и не	14	23
что у	2	4
же о	1	1
на своего	1	1
в пределе	1	1
со всеми	2	1
говорить и	1	1
нашем сознании	1	1
таким образом	5	1
тем более	2	1
по своему	2	2
жизни в	6	2
желание поделиться	1	1
началом и	2	1
если же	1	1
подобный вопрос	1	1
на будущее	1	1
осуществляется посредством	1	1
на своих	1	1
их одиннадцать	1	1
тем что	1	1
выходя из	1	1
кадра в	1	1
фокализатором выступает	1	1
и уж	1	1
и после	1	2
в жизни	6	3
это и	1	1
бытия то	1	1
последних днях	1	1
центральных эпизода	1	1
матери а	1	1
не только	26	31
по аналогии	1	1
главного героя	2	3
на другой	1	5
он не	5	3
в футляре	2	1
не ндравится	1	1
в человеке	1	1
центрального героя	1	1
начала и	2	3
наконец в	1	1
внимание к	1	1
своей матери	1	2
у костра	1	1
единство нарративного	1	1
участок текста	1	2
особенно в	1	2
в данном	10	11
в детстве	2	2
первого евангелия	1	1
тем же	1	2
нарратора и	3	2
актуальная нарратология	1	2
правило не	1	1
но о	1	1
это еще	1	1
в литературе	4	4
и потому	1	1
архиереях и	1	1
даме с	1	6
на рубеже	1	1
в специальном	1	1
к герою	1	1
от классической	1	1
в себе	8	6
образовались две	1	1
с той	1	1
и того	3	2
события как	1	1
в рассказе	4	8
и он	2	6
человеческого опыта	2	3
между ними	1	2
где в	1	2
к тому	9	6
не имел	1	1
данного общества	1	1
как у	4	2
чеховских рассказов	1	3
и персонажа	1	1
нарративной истории	4	3
формирования хранения	1	1
как все	1	1
в культуре	2	1
исходной ситуации	4	1
перед нами	4	5
теперь как	2	3
одной стороны	5	1
данного рассказа	1	4
бы не	1	1
в соответствии	3	5
анны сергеевны	1	3
и прочих	1	1
является событием	2	2
повествовательного текста	1	3
и для	3	2
жизни это	1	1
времени в	1	2
он свободен	1	1
в области	2	2
имеем дело	2	2
с легкой	1	1
персонажей глава	1	1
целесообразно именовать	1	1
него уже	1	1
изменения исходной	1	1
взывает к	1	1
и уже	4	1
как птица	1	3
одного и	1	1
и связывании	1	1
в душе	2	1
в разрывании	1	1
в событии	1	2
подчеркнуть что	2	1
не менее	4	3
еще не	2	4
ни одного	1	1
случае он	1	1
речью повествователя	1	1
он сам	2	3
сергеевна и	1	1
на подводе	2	1
сознания в	1	2
нарратор и	1	1
с ним	4	2
представляют собой	2	3
к его	3	2
и конец	1	3
же самое	1	2
не могла	1	2
в конце	4	2
и долго	1	1
в принципе	2	4
в ситуации	1	1
не вполне	2	2
а в	9	13
нарратология не	1	1
тому что	3	1
детской в	1	1
речи повествователя	1	1
представляет собой	16	8
только с	1	1
без нарративной	1	1
свести к	1	1
самого рассказывания	2	2
своей жизни	1	1
кроется ключ	1	1
героя субъекта	1	1
в своем	6	3
солнца и	1	1
в нашем	2	3
шире чем	1	1
в ходе	1	3
вплоть до	1	4
некий фон	1	1
небо залитое	1	1
не по	1	4
в молчание	1	1
в прозе	1	3
жизнь находился	1	1
к центральному	1	1
кроме матери	1	1
дамы с	7	2
центрального персонажа	2	3
куцая бескрылая	1	2
в двух	1	1
предполагает со	1	1
это весьма	1	1
по его	2	1
сильное желание	1	1
стало быть	2	3
зрелых чеховских	1	2
к нарративному	1	1
для того	1	3
понятие введенное	1	1
это за	1	1
на роль	1	1
как и	4	13
тому как	2	3
потому что	2	5
поделиться с	1	1
ему в	2	2
ретрансляции событийного	1	1
опыта который	1	1
имплицитный автор	1	1
событийный статус	2	5
открытый финал	1	1
в самом	2	6
а то	2	1
на том	3	1
тогда как	15	10
же время	3	4
видит в	2	1
его матери	1	1
анну сергеевну	1	1
в то	5	4
глядят на	1	1
анне сергеевне	1	2
по отношению	5	3
никогда не	6	4
раз в	2	2
этом отношении	3	3
можно ли	1	1
сводятся к	2	2
и в	13	11
все время	1	1
так же	2	1
не мигая	1	1
значимость в	1	1
в мире	4	4
этом последнем	1	1
не просто	1	1
не сводится	7	2
но не	3	4
говорящего и	1	1
события в	1	2
пережил их	1	1
событийности но	1	1
субъекта и	1	1
не в	8	6
человека как	1	1
говоря о	1	1
как будто	1	3
для нас	2	1
даже не	1	1
ни для	2	1
так у	1	1
по мнению	1	1
невыносимых пут?	1	1
сводится к	9	3
следует вести	2	1
выступает в	1	1
человеческого присутствия	1	2
как самостоятельный	1	1
очевидным что	1	1
вольф шмид	2	6
в половине	1	1
художественного письма	2	3
в которых	1	1
равной степени	2	2
думал он	1	1
участвуем как	1	1
для которого	1	1
референтная сторона	1	1
днях жизни	1	1
кто видит	1	1
представить себе	3	1
рассказываемой жизни	1	1
персонажа к	1	1
ю.м лотман	1	1
на нее	1	1
страстям господним	1	1
мир не	1	1
текста в	1	3
в конечном	3	3
