2gram	Losev_DialektikaMifa_partition_part4_wordlist_2gram	Losev_DialektikaMifa_partition_part3_wordlist_2gram
диалектики и	2	1
все же	3	2
отлично от	6	1
его в	1	1
дает в	1	2
подобно тому	4	4
мифа о	1	1
но тогда	11	1
кроме того	6	2
и требует	1	2
и т	24	17
личности с	1	3
и у	2	1
я с	1	1
то что	14	16
оно вообще	2	1
и механизм	3	2
необходимость и	2	1
на первые	1	1
его как	3	2
на такой	1	1
нет никакой	4	1
мы получим	1	1
нет никакого	7	3
связи с	1	1
и которые	1	1
и той	1	3
как не	2	2
знание не	1	1
собственно говоря	4	2
того кто	3	1
на первый	4	1
всего этого	2	1
чудесность как	1	1
веры и	4	6
ни от	4	2
мы говорим	2	2
никто не	2	2
с своими	1	1
я показал	1	1
я покажу	1	1
из которых	3	3
или нет	5	3
не есть	54	40
вечности и	1	1
именно чудо	3	1
могут быть	2	3
– не	7	5
сознания и	4	3
и значит	3	1
в его	2	4
все равно	2	2
в нас	1	1
и знания	2	4
и может	1	2
сам собою	3	2
нас самих	1	1
я вижу	3	2
логика и	2	1
да и	1	2
уже о	2	4
имеется в	3	3
есть только	12	3
всякой иной	1	2
все совершенно	1	1
к спасению	1	1
не можем	2	1
на ту	1	1
то самое	1	2
были бы	1	1
вовсе не	13	6
понятие мифа	1	3
же тут	4	1
из этого	2	1
даже если	2	1
бы в	2	4
ни о	3	3
и нет	7	3
– у	1	3
религии и	1	1
вы не	6	3
религии религия	1	1
становления и	1	1
пределы этой	1	1
учения о	2	1
возможно лишь	1	2
и проявление	1	2
история слово	1	1
есть абсолютное	1	1
чудо не	3	8
чтобы и	1	1
знаем мы	1	1
другой стороны	2	2
кто его	1	1
быть так	1	1
само же	1	1
что уже	1	2
бытие ни	1	1
идет о	1	1
то и	3	2
что чудо	5	7
не сама	1	1
но для	2	2
и сама	5	1
мировоззрение есть	1	1
нет ни	2	3
воззрение можно	1	1
и не	27	30
и та	1	3
таким образом	13	5
тогда когда	5	5
тем что	3	2
одно и	5	1
неизвестно что	1	1
и знать	1	1
сама история	1	1
религии ибо	1	1
все эти	3	3
данная личностная	1	1
в данном	2	3
в точном	1	1
механические законы	1	1
т д	23	15
мы находим	1	2
мира и	3	1
в одинаковой	2	1
личности в	2	5
– что	3	1
и этот	1	1
перед нами	3	6
быть может	3	1
в сравнении	3	3
до степени	2	1
отличается от	8	1
и диалектически	2	1
это учение	1	2
и уже	2	4
но –	5	8
а самое	1	1
же невозможно	1	1
миф говорили	1	1
или просто	1	1
по типу	1	2
самое слово	1	1
как принцип	1	1
субъект есть	4	1
своей и	2	3
когда оказывается	1	2
законы природы	5	7
на них	2	1
миф и	3	3
как картина	1	1
в своем	3	5
стороны и	1	1
но она	3	1
и без	3	2
вы говорите	1	1
по крайней	5	7
ничего нет	5	1
как и	7	7
и богословием	1	1
– ибо	1	1
вещей как	1	2
при всем	4	1
же время	3	6
есть также	2	2
мир есть	2	1
лучшем случае	1	1
прочего то	1	1
раз показывает	1	1
и в	24	15
механистическое мировоззрение	1	1
не видно	2	2
необходимая категория	1	1
теми или	1	1
и будет	1	2
