3gram	Vinokur_StatiiOPushkine_partition_part2_wordlist_3gram	Vinokur_StatiiOPushkine_partition_part1_wordlist_3gram
при жизни пушкина	1	1
только совсем не	1	1
том значении которое	1	1
по рукописям и	1	1
в прямом смысле	1	1
ни для кого	1	1
сомнений в том	1	1
во всяком случае	6	3
в том чтобы	1	1
не зная пушкинских	1	1
без всякого внимания	1	1
для того чтобы	10	5
их и не	1	1
черным по белому	1	1
о том что	11	11
на то что	4	2
нет ни одного	1	1
пушкин т е	1	1
в пушкинское время	2	2
в этом случае	2	1
бы думать будто	1	1
в обоих случаях	1	1
что в своем	1	3
на самом деле	6	1
в таком виде	1	1
нет и речи	1	1
в том числе	2	1
вопрос о том	2	3
еще в г	1	1
дело не в	2	1
для в и	2	1
и чернышев не	6	1
отчета в том	1	1
наук ссср в	1	1
в первую очередь	2	1
к сожалению не	2	1
ни на чем	1	1
с которыми он	1	1
начале xix века	1	1
обратить внимание на	1	4
не говоря уже	1	1
что в россии	1	1
издания к изданию	1	1
и в наши	1	1
пушкиным и его	1	2
бориса годунова и	1	5
того что именно	1	1
во вторую половину	1	1
ответ на вопрос	1	1
пушкина как на	1	2
можно было в	1	1
на л об	1	1
в свое время	2	1
как раз в	2	2
к тому что	1	5
в зависимости от	1	1
так что в	1	1
буква в букву	1	1
в своей трагедии	1	4
тот факт что	1	4
сочинений пушкина но	1	1
в том смысле	2	2
говорит что он	1	1
рукописей пушкина в	1	1
и в этом	3	2
в это время	1	2
здесь нет и	1	1
что такое отношение	1	1
и сейчас еще	1	1
и чернышев спрашивает	1	1
то обстоятельство что	2	4
в советское время	1	1
и чернышев в	5	1
никаких сомнений в	1	1
академического издания сочинений	1	1
в каком он	1	1
себе отчета в	1	1
истории государства российского	1	2
имеет ничего общего	2	1
в том что	17	16
из того же	1	1
в то время	2	1
вряд ли можно	1	1
чтение академического издания	1	1
к борису годунову	2	3
в начале xix	1	1
то же время	4	1
не хотелось бы	1	1
и т п	9	3
в печатном тексте	1	1
тем не менее	2	2
о том кто	1	1
говорит о том	2	1
так же как	3	3
и в области	4	1
в том же	1	2
на чем не	1	1
бы то ни	1	2
по отношению к	3	1
и чернышева по	1	1
лежащий в основе	1	1
таким образом в	1	1
с другой стороны	6	3
ни в каком	1	1
уже о том	1	1
того чтобы можно	1	1
не имеет ничего	2	1
а между тем	1	1
пушкина в его	1	1
словаре академии российской	3	2
том что пушкин	3	2
том-то и дело	1	1
в данном отношении	5	1
и я не	1	1
для пушкина и	1	4
в борисе годунове	2	28
что как раз	1	1
том что он	1	5
в данном случае	6	1
мне кажется что	2	2
в одном из	1	3
пушкин и его	1	1
но все же	3	2
и сам в	2	1
как и вообще	1	1
совсем не в	1	1
в той же	2	1
достаточно для того	2	2
академии российской т	2	1
издатели сочинений пушкина	1	1
в котором он	1	1
главы евгения онегина	1	1
я не могу	1	1
так и в	4	2
издании бориса годунова	2	1
пушкина но они	1	1
работы пушкина над	2	3
каждого из них	2	1
чтобы можно было	1	1
нового академического издания	2	2
в то же	4	1
в один общий	1	1
в этом отношении	7	9
т п в	3	1
но к концу	1	1
пушкин жил в	2	1
виде в каком	1	1
т е в	2	1
аргументации в и	1	1
точно так же	1	1
в печатном издании	1	3
согласно которой в	1	1
пушкина по рукописям	1	1
но я не	1	1
борису годунову в	1	1
от издания к	2	1
том смысле что	1	1
в другом месте	1	2
а другое дело	1	1
еще отметить что	1	1
всякого внимания к	1	1
одним и тем	2	1
в самом деле	5	2
в той мере	1	2
пушкина и в	1	2
борисе годунове пушкина	1	2
но только совсем	1	1
да и в	2	1
до сих пор	7	5
ничего общего с	3	1
обстоятельство что в	1	1
все же только	1	1
было бы знать	1	1
на вопрос о	2	1
так или иначе	2	1
т е не	1	1
том что в	3	2
дело в том	4	4
с точки зрения	8	2
речь идет о	2	3
как бы ни	1	1
я считаю что	1	1
в г в	1	3
и тем же	2	1
говоря уже о	1	1
чернышева по поводу	1	1
в этом смысле	1	1
он не только	1	1
после того как	1	4
сам в и	2	1
той мере в	1	2
этот вопрос в	1	1
что же касается	3	1
всяком случае не	1	2
бориса годунова в	2	3
тексте бориса годунова	5	1
пушкина не только	2	1
ни о каком	1	1
что он не	1	4
академическое издание сочинений	1	1
на этот вопрос	1	1
мере в какой	2	2
за то что	3	2
пушкина в михайловском	1	2
критика нового академического	1	1
того времени не	1	2
в одной из	1	2
в статье о	2	1
т д на	1	1
в конце концов	1	1
было бы предполагать	1	1
в том-то и	1	1
нужно сказать что	4	1
но также и	4	1
в настоящее время	1	1
по этому поводу	2	2
ни одного слова	1	1
ставит себе целью	3	1
издания сочинений пушкина	6	2
бориса годунова г	1	1
не в том	2	2
в словаре академии	3	2
пушкина и его	3	1
издание сочинений пушкина	3	1
морозова или ефремова	1	1
сами по себе	1	2
на тему о	1	1
находим и в	2	1
в и чернышев	66	10
и т д	21	6
в и чернышева	41	2
между пушкиным и	1	3
и что поэтому	1	1
евгений онегин гл	1	1
зная пушкинских рукописей	1	1
заключается в том	3	1
и в том	2	1
в и чернышеву	10	1
таким путем в	1	1
должна была бы	3	1
внимание на то	1	1
то что он	1	2
тем что в	2	1
что оба эти	1	2
но столь же	1	1
в начале г	1	1
из них и	1	1
с того что	1	1
не секрет что	1	1
и в печатном	1	2
то что в	2	2
