2gram	Vinokur_StatiiOPushkine_partition_part1_wordlist_2gram	Vinokur_StatiiOPushkine_partition_part3_wordlist_2gram
и тех	1	1
годунова и	3	1
к пушкину	1	2
одних и	1	1
его в	1	2
все же	4	8
времени и	2	1
вытекает из	1	2
нет не	2	1
смотреть на	1	1
слов о	1	1
д разумеется	1	1
определенной исторической	1	1
самим пушкиным	1	1
этот стих	1	1
эти факты	1	1
целиком совпадает	1	1
др но	2	1
в числе	1	2
даже в	1	3
о которой	2	3
мы имеем	5	2
почему пушкин	1	1
и к	4	1
в рукописи	4	4
работы над	2	1
в данной	1	2
как о	2	2
в развитии	2	1
б с	1	1
чем у	1	2
кроме того	3	1
лишь о	1	1
и далее	3	1
которым мы	1	1
фонтана по	1	2
на язык	3	1
по моему	1	1
из таких	1	1
малой мере	1	1
так и	5	9
этому пути	1	1
и т	8	30
не является	3	3
уже давно	1	1
пушкина или	1	1
при таком	1	2
эти вопросы	1	3
для кого	1	1
когда мы	1	1
и у	2	2
за пределы	1	2
у них	1	1
ср в	3	5
в последнем	2	1
еще и	1	2
в известном	1	1
г и	12	2
и почему	1	4
доходят до	1	1
то что	12	18
но как	2	1
пушкин по	2	2
не как	2	1
в каком	4	3
немцев которые	1	1
карамзина в	3	1
им в	2	1
с пушкинскими	1	1
в г	12	3
должна быть	1	3
начала xix	1	1
все его	1	1
в пушкинское	1	2
отношении что	1	2
в одном	1	1
можно найти	2	2
традиции но	1	1
несмотря на	3	2
той же	2	5
значение этого	1	1
от себя	1	1
если бы	4	9
жизни пушкина	2	1
к которому	3	4
нет никакого	3	1
как пушкин	1	1
и такие	2	2
ни в	5	3
бориса годунова	34	15
из двух	1	3
между собой	1	1
то время	4	2
на такие	1	1
но то	1	1
для потомства	1	2
что в	19	30
из писем	1	1
один общий	1	1
биографии пушкина	2	6
согласно которой	1	1
он является	1	1
них и	1	1
языка не	1	2
в начале	4	3
а как	4	2
в своей	4	6
к сожалению	2	3
как раз	3	4
этап в	2	1
в прочих	1	2
языке пушкина	1	1
писал в	1	1
с его	3	1
начале xix	3	1
этих двух	2	3
значения как	1	1
что она	1	4
чаще чем	1	1
в той	1	6
очень часто	1	3
о чем	1	1
он эту	1	1
и что	3	4
в остальном	2	1
в применении	1	3
в период	1	1
и все	1	2
том отношении	1	4
представляет собою	2	2
и о	1	1
жизни и	1	5
характерны для	1	1
произведений пушкина	1	3
из которых	4	1
как можно	2	2
пушкина это	8	4
что эта	2	2
в них	5	1
по отдельным	1	1
или нет	1	1
борисе годунове	40	2
место в	6	1
ничего а	1	1
языка пушкина	2	4
ср еще	2	2
этому поводу	2	2
мере не	1	1
пушкина что	4	2
и так	1	3
а того	1	1
что все	3	2
не может	7	8
могут быть	2	5
язык и	1	1
и за	2	3
если не	1	2
там где	1	5
связано с	5	1
сказать что	4	7
то есть	2	2
тему о	2	1
того или	1	4
в значении	1	1
еще до	1	1
не могло	1	1
вместе с	2	1
виде в	1	1
он должен	1	2
такого рода	5	2
в том	20	36
точно и	1	2
и который	1	1
же нужно	1	1
места в	1	2
этого материала	1	1
ср у	1	1
в его	12	9
только у	1	2
мой взгляд	1	1
г а	3	1
разного рода	1	1
до меня	1	1
я считаю	1	4
о том	8	17
между тем	6	3
от того	2	1
отношение к	4	2
возможно что	1	3
объясняется и	1	1
его не	2	1
занимает в	1	2
являются лишь	1	1
пушкин и	3	1
на вопрос	3	4
было не	1	2
на то	5	4
то обстоятельство	5	2
молодой человек	2	2
в виду	2	1
во всей	1	1
уже о	1	5
которых я	2	1
для этой	1	1
в некоторых	3	1
быть не	2	1
в литературном	1	2
он писал	2	1
считаться с	1	2
а потому	2	2
поэзии пушкина	3	1
в духе	2	1
также в	1	2
как я	2	1
как мы	2	1
и примитивными	1	1
не все	1	3
iii стр	1	2
может быть	19	15
пушкинской комиссии	1	1
известно что	2	1
и его	3	8
то в	4	3
что значит	1	1
в одной	2	1
в выборе	2	1
другом случае	1	1
посмотрим на	1	1
что как	1	2
с каким	1	1
отношение в	1	1
в отношении	2	9
это место	2	2
многих случаях	1	2
стиха в	8	2
вовсе не	2	19
форм как	1	1
можно назвать	4	2
современности на	1	1
была бы	4	5
не больше	1	1
каждая из	3	1
в виде	3	3
не на	2	1
с тем	4	1
пушкина слово	1	1
здесь нет	2	1
который в	1	1
пушкина может	1	1
мы встречаем	1	1
из этого	4	1
ссылки на	1	1
том смысле	2	2
д д	2	6
во многих	2	3
той или	1	1
является его	1	1
бы в	1	1
то было	1	1
которая является	1	1
б в	3	1
можно спорить	1	1
и ему	1	1
говоря уже	1	1
выходящими за	1	1
последнее время	1	1
языка пушкинской	3	1
что нет	1	2
и других	2	1
которых в	1	3
со стороны	3	6
свою собственную	1	2
все с	1	1
но там	1	1
состоит из	1	1
как он	1	1
чем пушкин	1	2
одно из	2	2
пушкина все	2	1
были отдельные	1	1
нас к	2	1
что здесь	4	2
произведения пушкина	2	1
в частности	1	4
как говорит	1	1
показаться что	1	1
такое мнение	1	1
эпохи в	1	3
пребывания в	1	1
т п	6	9
показывает что	3	1
евгений онегин	1	2
на форму	1	1
ответ на	5	3
не было	4	4
может не	1	2
и очень	1	4
в биографии	2	2
и тем	4	3
того чтобы	1	11
во внимание	1	1
и при	1	1
то это	1	3
в своих	8	2
только в	6	10
в этой	14	11
чтобы и	1	1
и язык	1	1
другой стороны	5	7
или иного	1	4
пушкина начиная	1	1
т е	8	15
идет о	1	2
пушкина нужно	1	3
всяком случае	4	6
от необходимости	1	1
к вопросу	1	1
неясно и	1	1
к этому	3	1
видеть в	1	1
им самим	1	1
на какое-то	1	1
но для	1	2
в пример	1	1
г к	2	1
как в	6	13
нет ни	1	2
до него	1	1
во всяком	4	6
от этого	1	2
и не	10	16
что у	2	4
и я	1	3
применении к	1	3
мн др	1	3
язык пушкина	1	3
со всеми	1	2
и вообще	1	3
таким образом	10	7
тем более	3	4
не говоря	1	1
вообще пушкин	2	1
п но	1	1
связанные с	1	3
пушкина с	5	3
тогда когда	2	1
тем что	19	5
же касается	1	3
уже в	3	2
объясняется тем	1	1
русская история	2	1
в плане	2	1
такое же	2	1
не только	12	18
в угоду	1	1
у фонтана	3	1
судя по	1	2
он не	5	2
к борису	2	2
смысле этого	1	2
академического издания	2	30
но у	1	1
все эти	3	5
считаю неправильным	1	1
писать и	1	1
еще на	1	1
это был	2	1
в данном	1	14
в истории	1	3
пир во	2	1
тем же	1	3
дают возможность	1	1
его личной	1	1
примыкает и	1	1
эти примеры	1	1
пушкина таким	1	2
слова в	1	1
целого ряда	1	2
истории государства	1	1
понять смысл	1	1
с самого	2	1
находилась в	1	1
только несколько	1	1
иногда и	1	2
т д	2	21
издания сочинений	1	6
мы находим	2	4
однако с	1	1
не были	1	1
того в	1	1
укажу еще	1	1
более раннего	1	1
вряд ли	1	5
за это	1	1
как на	6	1
где в	1	1
как известно	1	1
к тому	2	1
не имел	2	1
пушкина по	1	1
на основе	2	1
не лишает	1	1
и этот	1	1
академии российской	1	4
не отметить	1	1
одной стороны	3	2
бы не	1	2
снова с	1	1
из них	1	8
и для	4	3
времени в	1	1
в новом	2	4
в области	6	14
мы в	1	1
пушкина этот	2	1
каждом отдельном	1	1
печатном тексте	2	1
до конца	3	1
статье о	1	2
отличается от	4	1
основных вопросов	1	1
области не	1	1
в первом	1	2
обстоятельство что	5	3
данном отношении	1	5
и эти	1	1
и пойдет	1	1
в разных	1	1
подчеркнуть что	3	2
и мн	1	3
по себе	1	1
не потому	2	1
впечатление которое	1	1
даже и	1	2
не менее	2	5
еще не	2	3
ни одного	1	2
целый ряд	1	2
не столько	2	1
так в	1	1
его работе	2	1
но на	1	2
в конце	6	3
первому из	1	1
современников пушкина	4	1
пушкина можно	1	2
того времени	3	5
а в	6	17
и этим	1	1
тому что	3	3
в статье	2	7
же можно	1	1
своей трагедии	4	1
имею в	1	1
и более	3	2
у сумарокова	1	1
в каждом	4	3
нужно сказать	2	5
с культурной	1	1
и тогда	2	2
в русской	6	1
с одним	1	1
на которую	1	1
в уста	2	3
пушкина но	3	8
работе над	1	1
эти темы	3	1
целом это	1	1
дело в	1	6
более что	2	2
в своем	1	2
является в	1	1
именно такое	1	2
судить по	1	1
и на	6	1
вплоть до	1	5
в сторону	1	2
и сальери	5	2
бы на	1	1
которые в	2	2
считает что	2	1
литературного языка	1	1
свободна от	1	1
кукиш в	1	2
по крайней	4	2
с которыми	2	2
в одно	1	1
не являются	1	3
место из	1	1
так или	1	2
в двух	1	3
к vii	1	1
п в	1	3
такое отношение	1	1
для того	2	10
это за	2	1
ответом на	1	1
издании бориса	1	2
как и	4	9
пушкинской эпохи	2	14
должен был	2	2
потому что	5	6
что для	3	3
на котором	2	1
одно целое	1	1
в самом	2	7
а то	2	2
на том	1	1
по этому	3	3
же время	3	4
она стала	1	1
видит в	1	1
карамзина ix	1	1
при его	1	2
по словам	1	4
смысле что	1	1
нужно отметить	2	1
или иным	1	3
никогда не	2	5
поэтому в	1	3
в то	7	9
этом отношении	4	7
и то	1	5
тогда он	1	1
в россии	6	4
раз в	1	2
лучшем случае	1	1
всех этих	3	2
и в	25	44
в эпоху	1	2
так же	1	5
в борисе	39	2
отметить что	5	2
без всякого	2	2
так что	11	6
не просто	2	1
так как	3	5
из его	7	1
и только	2	3
но не	2	3
эпохи но	1	1
он делает	2	1
но всякий	1	1
такой же	2	5
в стихах	2	1
не в	6	12
было написано	1	1
здесь дело	1	2
в пушкинском	1	1
вокруг его	1	1
вообще нет	1	1
для нас	1	7
не означает	1	1
ни для	1	1
на эти	3	7
русской поэзии	2	1
то как	1	1
бы между	2	1
так чтобы	2	1
в ином	1	1
есть в	2	2
по мнению	3	3
рукописи пушкина	2	1
это человек	1	4
не была	2	2
и во	2	2
приходится сказать	1	1
в которых	2	5
по существу	1	2
в наше	1	1
стремление к	1	3
он о	1	1
и до	1	1
и говорить	1	1
думать что	1	2
это были	1	1
пушкина в	21	24
бы показаться	1	1
отношении к	1	1
то я	1	1
что этот	3	2
сам пушкин	1	2
с этим	7	3
лишь в	4	3
тех же	1	1
но также	2	9
речь идет	2	4
и с	4	3
по тем	1	1
но каждый	1	1
но это	4	6
но первый	1	1
нет вообще	2	1
в михайловском	1	1
я думаю	2	11
в сцене	6	1
это в	4	4
в одних	1	1
в пушкине	1	1
на мой	1	1
вообще в	1	1
никакого сомнения	1	3
г эти	2	1
конечно не	1	2
годунова является	1	1
у ломоносова	1	1
также и	1	9
для этого	2	2
это не	7	8
и пушкин	1	1
именно на	1	1
слово в	2	1
которые по	1	1
с другой	5	9
и др	4	1
оказывается в	1	2
но он	3	2
дело не	2	4
словаре академии	1	3
ср с	3	2
потому не	1	1
которым он	1	1
того как	1	1
было бы	7	17
в чем	4	3
мы снова	1	1
а иногда	1	2
которой можно	1	2
пушкина не	3	5
что такое	7	1
бы быть	1	1
большое значение	2	2
какой бы	1	1
пушкину это	1	1
речи на	1	1
все вместе	1	1
как бы	6	4
рамки его	1	1
это выражение	2	1
которых является	2	1
очевидно что	1	1
рядом других	1	1
казалось бы	1	1
пушкина есть	1	3
где пушкин	2	2
прежде всего	10	7
помимо прочего	1	1
отдельном случае	1	1
точки зрения	7	11
всей его	1	1
должно было	1	2
а с	2	3
что именно	2	1
тем и	1	1
но помимо	1	1
тем или	1	3
несколько слов	2	1
у нас	4	11
но и	9	10
vii тому	1	1
в ее	1	4
литературы в	1	1
именно в	1	6
нет и	2	1
это его	1	1
в очень	1	3
до сих	2	7
не знает	1	2
но очень	1	1
причем в	1	1
для пушкина	13	3
том чтобы	2	1
в ограниченном	1	1
мы не	2	2
литературном отношении	1	1
чем в	1	3
к нам	1	1
одной из	2	1
существуют в	2	1
пушкин писал	3	5
на протяжении	4	1
только при	1	1
автографа бориса	1	2
этом не	1	1
речи об	1	1
я уже	1	3
в результате	2	3
но эти	1	1
пушкина на	4	3
на самом	1	6
похоже на	1	1
на долю	2	1
пушкинских стихов	1	1
это объясняется	2	2
быть в	1	2
сочинений пушкина	2	28
государства российского	1	1
в целом	4	5
говорить что	1	1
но эта	1	1
не хочет	1	2
годунова а	3	1
что не	2	3
что эти	4	1
своей статье	1	4
ряде случаев	2	1
а не	5	16
гораздо более	2	4
пушкиным в	6	1
и другой	1	1
говорить о	3	2
с этой	3	3
с одной	2	3
крайней мере	4	2
печатном издании	2	1
в этом	24	21
которая была	1	2
за рамки	2	1
здесь находим	1	2
время как	4	2
разумеется совершенно	1	4
годунова в	2	2
об этом	5	3
именно так	1	1
в лучшем	1	1
она была	1	1
пушкинское время	1	2
его жизни	1	3
этого вопроса	1	2
явление в	1	1
что мы	3	5
е не	1	1
драм в	1	1
поэзии и	1	1
говорит что	5	3
годунова между	1	1
том как	1	4
внимания к	1	1
и некоторые	1	1
г в	6	5
пушкина было	1	1
отдает себе	1	1
для себя	1	3
и из	1	1
и разумеется	1	1
на него	1	2
каждой из	1	1
самые разнообразные	1	1
всё же	1	4
сюда относится	2	1
одна из	2	1
из этих	6	6
совпадает с	1	2
пушкинской трагедии	2	1
находим и	1	2
этого слова	2	2
все это	8	5
интерес и	1	1
только одно	1	1
е как	1	2
как например	8	1
с этих	1	1
в качестве	4	4
представляется своего	1	1
пушкина я	1	1
всего необходимо	1	1
самом деле	2	11
обращается к	3	1
г д	2	1
творчества пушкина	2	5
и когда	1	1
по своей	1	2
это была	1	1
которую он	2	1
что касается	7	3
если я	2	1
если в	2	2
для пушкинской	1	1
что я	3	1
не так	3	1
непременно в	1	1
драмы и	1	1
пушкина то	1	1
заключается в	2	4
во многом	2	1
не трудно	1	3
они не	1	1
например в	4	8
кто в	1	1
этого рода	3	1
стих и	1	1
то же	5	5
пушкина были	1	1
в кармане	1	1
я хотел	1	1
случаях в	1	1
при помощи	2	2
что создает	1	1
это было	8	1
проявляется в	1	1
могло бы	1	2
должна была	4	4
к изучению	1	1
является не	1	4
пушкина к	11	3
пушкина является	1	3
прямом смысле	1	1
моцарта и	2	1
этом смысле	4	1
слов доходят	1	1
другое дело	3	1
этом и	1	1
указывает что	1	1
в какой	3	3
пушкинского времени	1	9
пушкиным не	1	2
начиная с	2	2
бы совершенно	3	1
xix века	4	1
нас не	2	1
в свете	1	1
можно считать	1	1
мне кажется	1	5
наше время	1	1
и xix	1	1
почве его	1	1
i и	2	1
не обнаруживает	1	1
пушкин написал	4	1
что же	1	6
в такой	2	2
слова с	1	1
отношение пушкина	2	1
и их	1	2
в малой	1	1
случае в	2	4
образом в	1	1
россии в	1	1
пушкина для	1	5
вопрос о	1	4
какое место	1	1
в которой	4	4
пушкина как	13	6
к нему	4	2
во мне	1	1
основана на	1	1
можно сказать	4	1
точку зрения	2	3
здесь является	1	1
его современников	1	1
ничего не	4	2
от поэта	1	1
почти не	1	1
что ни	1	2
в словаре	2	3
второй половины	1	1
что он	19	10
у пушкина	22	8
о пушкине	1	9
в течение	4	1
что по	3	1
из современников	2	1
одном из	1	1
но они	2	1
что они	2	7
в прямом	2	1
печаталось до	2	1
должен быть	2	3
в отдельных	4	1
в нем	1	5
чтобы в	2	1
во время	3	3
в других	1	2
что пушкин	11	8
во всех	2	8
или иначе	1	2
он был	3	3
гораздо больше	1	2
степени является	1	1
что и	1	6
о значении	1	3
уже не	3	1
ясно что	1	10
отношения к	1	2
с точки	4	8
которых можно	1	1
в это	2	1
отдавал себе	1	1
не считать	1	1
это слово	3	4
от которого	1	1
а по	2	1
поэм и	1	1
изданий в	1	1
время чумы	2	2
котором он	1	1
к этим	2	1
на нем	1	1
собрание сочинений	1	1
между прочим	3	2
протяжении всей	1	1
том же	1	1
в сущности	2	2
строгой и	1	1
думаю что	2	5
хотя бы	1	6
или иной	2	1
пушкина у	3	1
он говорил	5	1
здесь пушкин	5	1
смотрел на	3	1
много места	1	1
этого произведения	1	1
какой степени	1	1
показать что	1	1
россии никогда	1	1
как нечто	1	1
именно поэтому	2	1
изд г	1	8
или в	2	1
xix в	1	5
и по	2	5
после г	1	1
хотел бы	1	2
во втором	2	4
вещей в	1	1
но в	5	10
пушкина и	6	13
нет здесь	1	1
но зато	1	1
грубыми и	1	1
не имеет	2	4
как по	1	1
взято из	1	1
борису годунову	3	2
отказ от	2	1
своего рода	3	3
пушкин был	1	2
сих пор	2	7
и сам	1	2
если и	2	1
без труда	2	1
какой-то намек	1	1
тем не	2	2
г где	1	1
два стиха	2	1
конце концов	3	1
а именно	1	3
это очень	1	3
того что	5	9
в форме	2	1
том что	15	29
его же	1	2
о которых	3	1
но что	1	1
у него	9	2
сверх того	1	1
в ней	4	3
внимание на	2	3
в келье	2	1
указания на	1	1
в ряде	2	1
пушкинского стиха	1	2
в другом	3	3
свои силы	1	2
о котором	1	2
в каком-то	1	2
однако и	1	2
в этих	11	2
на тему	3	1
в свое	1	2
в печатном	4	3
в и	1	130
в котором	5	5
что его	2	1
объясняется только	1	1
для него	3	6
но я	1	4
того же	2	3
своей задачей	1	1
не о	1	1
у карамзина	7	1
на себя	1	1
а сверх	1	1
материала для	1	1
же это	1	3
нисколько не	1	2
я имею	3	1
отдельных случаях	1	1
ни на	2	2
с общим	1	1
раннего времени	1	1
языка но	1	1
указание на	1	1
но все	2	4
а также	4	2
самого пушкина	8	5
что это	16	4
можно было	1	13
не смел	1	4
говорит о	1	3
и это	5	2
свое время	1	2
этой области	2	5
и другие	1	1
было время	1	1
конце первой	1	2
пушкина до	1	2
его работа	1	1
отступает от	1	1
работы и	1	1
соответствии с	1	1
