3gram	Vinokur_KulturaYazyka_partition_part3_wordlist_3gram	Vinokur_KulturaYazyka_partition_part1_wordlist_3gram
не только в	1	3
в первом случае	1	2
вовсе не потому	1	1
мы имеем право	1	1
и пр и	1	1
т п для	1	1
что в ней	1	1
в особую систему	1	1
вовсе еще не	1	1
значении т е	1	1
русского языка и	1	2
можно было бы	3	10
силу того что	2	1
деле в общем	1	1
во всяком случае	5	1
т е как	4	3
и т п.	1	2
в том чтобы	8	3
и того же	2	2
для того чтобы	15	11
что язык есть	2	1
о том что	5	3
этой точки зрения	2	1
самом деле может	1	1
говорить о языке	1	1
понятно при этом	1	1
вместе с тем	3	1
тогда когда он	2	1
а вместе с	1	1
в этом случае	2	4
я хочу сказать	1	1
в этом роде	1	1
можно говорить как	1	1
на самом деле	2	3
лишены внутренней формы?	1	1
со всем тем	1	1
имею в виду	1	2
на наших глазах	1	1
если не ошибаюсь	1	1
самом деле так	1	1
и вместе с	1	1
и литературной речи	1	1
хочу сказать что	1	1
дело не в	1	2
друг от друга	1	1
ответить на этот	1	1
как раз и	1	2
в первую очередь	2	3
которого собственно и	1	1
том чтобы выяснить	1	1
более или менее	3	2
ни в какой	1	2
обратить внимание на	2	1
а вовсе не	1	1
не говоря уже	1	2
с помощью которого	1	1
то же слово	1	1
язык есть язык	2	1
то легко убедиться	1	1
точки зрения как	1	1
той или иной	1	5
себе представить что	1	1
таким образом если	1	1
в иных случаях	2	1
что и в	1	2
и в то	1	1
тех случаях когда	2	1
знание о языке	1	1
т е когда	2	1
в свое время	2	2
мы имеем в	1	1
уже само по	1	1
к тому что	2	1
в зависимости от	5	7
речь здесь идет	1	1
и если бы	1	1
от того что	1	2
п и т	1	2
одного и того	2	2
в том смысле	1	1
лишь в том	1	2
смысл только в	1	1
должен предупредить что	1	1
в противном случае	1	1
в русском языке	4	2
в строгом смысле	1	1
то обстоятельство что	8	3
ничего нельзя возразить	1	1
пр и пр	1	1
что в числе	1	1
как следует из	1	1
когда мы говорим	1	1
в пределах данной	1	1
в том что	15	8
о внутренней форме	1	1
языка как важнейшего	1	1
это не значит	1	1
не потому что	3	1
