3gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_3gram
у нас в	2	1
нам суждено в	1	1
и художественного образа	1	1
в аллегории мы	1	1
и все они	1	2
в той или	2	7
от символа и	1	3
в том чтобы	1	2
как мы только	1	1
также и то	4	1
для того чтобы	1	2
необходимо сказать что	2	3
о том что	3	3
на то что	1	1
этой точки зрения	2	1
что иное как	4	2
начала до конца	1	1
на самом деле	2	3
являются не просто	1	1
не только не	1	4
как и в	1	1
у гоголя и	2	1
в войне и	1	1
с другими соседними	1	1
и тем не	3	3
сих пор мы	1	1
в отвлеченном виде	1	1
более или менее	1	2
если принять во	1	1
из которых состоит	1	1
самим пушкиным и	1	1
сливаются в одно	1	1
той или иной	8	11
яснее если мы	1	1
мы только что	1	1
по себе а	3	1
в символе и	2	1
в том смысле	3	2
чем иным как	1	2
случае не является	1	1
было бы весьма	1	3
и в частности	2	2
художественный образ тоже	1	1
об этом мы	1	1
такого рода конструкции	1	1
в том что	9	8
символ а не	1	1
нам представляется что	1	2
хотя и не	2	2
европу прорубить окно	1	1
не в самой	1	1
во время войны	1	1
так же как	1	1
до того что	1	1
иметь в виду	1	1
равно как и	1	1
в натуралистическую копию	1	1
в смысловом отношении	1	2
не имеет ничего	3	2
пройденный нами путь	1	1
которые находятся в	1	1
для нас и	1	1
с чем мы	1	1
можно назвать символом	1	1
одна к другой	2	1
символ потому что	2	1
как мы сказали	1	1
уж во всяком	3	2
вдохновенный раздался звучный	1	1
в то же	4	2
нет никакой возможности	1	2
вовсе не являются	1	2
по себе и	1	1
сама по себе	8	2
символ отличается от	2	2
в таком случае	4	1
с точки зрения	2	11
мы убеждаемся в	1	1
идейная образность или	3	1
то тем самым	1	1
или иной мере	2	3
смысле слова поскольку	1	1
как будто бы	3	2
тут перед нами	1	2
как и во	1	1
взятый сам по	2	2
тоже является символом	1	2
здесь не только	1	1
ни в чем	2	1
крайней мере в	1	1
ни на какой	1	1
и ни в	2	3
божественная комедия данте	1	2
но если бы	1	2
характером и не	1	1
и когда мы	1	1
и тоже есть	1	1
ничего общего ни	1	2
вплоть до их	1	1
и от мифа	1	1
само по себе	3	1
убеждаемся в том	1	2
сами по себе	6	2
ничто не мешает	2	1
о том как	2	1
всяком художественном образе	1	1
заключается в том	3	2
ту или иную	1	1
уже во всяком	2	1
другие структурно-семантические категории	1	2
т д и	4	1
к какому ее	1	1
не только в	2	4
не есть ни	3	2
то ни было	3	1
и может быть	1	1
и тем более	2	2
в теогонии гесиода	1	1
и начала xx	1	1
значит что и	1	1
числом десятичных знаков	1	1
такое обобщение которое	1	1
дело не в	2	2
как раз и	4	1
подлежащая разложению в	1	1
никак не может	2	1
обратить внимание на	1	1
и не очень	1	1
должны сказать что	3	1
и потому что	1	1
чем же в	2	2
есть другими словами	1	1
только при помощи	2	2
лиц и событий	1	1
что они слишком	1	1
говорить о том	1	1
если иметь в	1	1
всякий художественный образ	2	1
тех или других	1	1
то есть чисто	1	1
не есть символ	4	1
же самое можно	1	2
там и здесь	3	1
же как и	2	1
а дело в	1	1
может быть даже	3	1
есть символ но	1	2
художественной метафорой ни	1	1
сказать и о	1	1
и если мы	2	1
и не в	1	1
потому что дело	1	1
совсем другое дело	1	1
не обходится без	1	2
всерьез а только	1	1
но даже и	4	4
к другой и	1	1
с другой стороны	5	6
всегда есть нечто	2	1
то что здесь	1	1
по определенному закону	1	2
уже символ второй	1	1
несет с собой	1	1
прочих структурно-семантических категорий	1	1
является и ее	1	1
есть не что	4	2
даже и очень	1	1
это вовсе не	4	1
образ тоже есть	1	1
но никак не	3	2
нет ничего общего	1	2
которая так и	1	1
к тому же	1	2
и только в	2	2
точно так же	3	3
друг к другу	1	1
хотя часто и	1	1
в каком случае	2	3
того или иного	3	3
том смысле что	3	1
в том виде	2	2
не значит что	2	1
это и не	3	2
