2gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_2gram
в экспериментальных	4	1
когда они	1	1
развития понятий	5	6
в последнее	3	2
все же	6	2
его в	3	6
центральным для	1	1
приводят нас	3	1
речи и	8	5
основных результатов	1	1
как функционирует	1	1
другое слово	1	1
общего к	3	2
понятие и	2	1
из основных	3	1
новое понятие	2	1
и непосредственно	1	2
в собственном	6	1
подобно тому	1	1
слово к	1	1
цели и	2	1
в значительной	1	2
что развитие	3	6
интеллекта ребенка	1	1
общего с	1	1
в состоянии	1	4
ребенком в	1	3
связанный с	1	1
мысли о	1	1
даже в	1	1
так точно	1	2
мы имеем	4	4
и к	5	6
это или	1	1
к другому	2	4
научного исследования	1	1
от этих	2	1
процесса образования	14	1
понятиям это	1	2
независимо от	4	3
и мыслей	1	1
до последнего	1	1
в развитии	24	24
сфере развития	2	1
кроме того	1	1
ребенок так	1	1
достижения в	1	1
это понятие	1	1
что при	1	4
иначе как	1	5
понятия следовательно	1	1
отношении такого	1	1
с более	1	2
до этого	1	1
в исследовании	1	4
нашего исследования	1	5
так и	5	6
показали выше	1	1
к проблеме	2	1
в другой	1	3
медленно и	1	1
мы наблюдаем	1	1
и у	6	1
за пределы	1	1
новых и	2	2
оно позволяет	1	1
находящихся в	1	2
может усвоить	1	1
есть нечто	1	1
означает что	1	2
в известном	4	1
различен и	1	1
то что	15	28
на всех	1	1
но как	3	3
тем самым	2	8
не как	3	1
в каком	2	1
исследования в	1	3
раннего возраста	7	1
и от	2	2
есть обобщение	1	4
является достаточным	1	1
из того	2	5
синкретических связей	2	1
новая ступень	1	3
и высшим	1	1
обозначаем как	1	1
с понятием	3	2
сейчас мы	1	3
понятия его	1	1
имеет в	1	1
результата что	1	1
раннем возрасте	1	2
принципиально нового	1	1
этой ступени	5	1
переходе от	1	5
все его	1	1
ребенка все	1	1
а главное	1	1
в свою	3	1
их образования	2	1
котором в	1	1
тот факт	5	1
иное как	1	1
бы ребенок	1	1
в чисто	2	1
возможным только	1	1
в высшей	6	2
на отдельные	1	1
в гораздо	1	1
языка у	1	2
той же	4	4
чем к	1	1
мышления и	23	7
несмотря на	1	2
иначе говоря	2	3
развития значения	1	1
к которому	3	2
если бы	5	7
прийти к	1	1
своих интеллектуальных	1	1
связи с	9	3
понятиям но	1	2
ни в	9	1
же точно	3	3
к одному	5	2
они будут	1	1
между собой	13	9
и той	2	3
то время	4	6
лежат в	1	2
что в	17	17
является необходимым	1	1
для объяснения	1	2
общности между	1	15
друг от	1	1
в начале	2	1
что их	1	3
за ним	1	2
в своей	2	2
как раз	1	6
но если	1	4
нового по	1	2
как возникает	1	1
друг с	5	5
на первый	2	1
в основе	16	3
с понятиями	4	1
с его	2	3
чем понятия	1	2
что понятие	4	1
мы пытались	1	2
процессе развития	1	1
этом случае	1	2
понятий только	1	2
что она	5	1
все более	2	2
в той	1	4
