3gram	Vinokur_StatiiOPushkine_partition_part3_wordlist_3gram	Vinokur_StatiiOPushkine_partition_part2_wordlist_3gram
самого пушкина в	1	1
не обратить внимания	1	1
в последнем отношении	1	1
бориса годунова на	1	1
в прямом смысле	1	1
что в ней	1	1
что действующие лица	1	1
трагедии то что	2	1
ни для кого	1	1
бориса годунова до	1	1
русской драматической литературы	2	1
во всяком случае	3	4
в том чтобы	1	2
для того чтобы	5	1
борисом годуновым и	1	1
я могу творить	1	1
одном из писем	2	1
на то что	2	3
нет ни одного	1	1
о том что	11	4
вместе с тем	5	1
в творчестве пушкина	1	2
интерес пушкина к	1	1
в пушкинское время	2	1
воспоминания в царском	1	1
бориса годунова пушкин	1	1
русского литературного языка	1	1
своей трагедии пушкин	2	1
в трагедии пушкина	10	2
вышел из печати	1	1
а то что	1	1
от карамзина в	1	1
не встречается ни	1	1
на самом деле	1	1
и что он	1	1
и пр но	1	1
начала xix века	1	1
между борисом годуновым	1	1
не только не	2	1
он с самого	1	1
вопрос о том	3	1
в царском селе	1	2
борис годунов говорит	2	2
не как историк	1	1
судить по тому	1	1
пушкин говорит что	1	2
дело не в	1	1
борис годунов и	1	1
пушкина как поэта	1	1
пушкин в борисе	1	5
более или менее	2	1
царской властью и	1	1
царем и народом	2	1
важно отметить что	1	2
если принять во	2	1
на себя внимание	2	1
не говоря уже	1	1
начале xix века	1	3
бориса годунова от	1	1
что в россии	1	1
феодализме о роли	1	1
бориса годунова и	5	3
русская драматическая литература	1	3
раньше чем борис	1	1
ответ на вопрос	1	1
пушкина как на	2	1
бориса и шуйского	1	1
в свое время	1	1
на бориса годунова	2	1
размышления своею иноческою	1	1
как раз в	2	1
в своей трагедии	4	2
своею иноческою простотою	1	1
трагедии пушкина в	1	2
в сцене в	1	3
к тому что	5	2
в том смысле	2	2
говорит что он	1	2
историк и последний	1	1
прямом смысле слова	1	1
в сей день	1	1
пушкин и в	1	1
себе отчет в	1	2
языке бориса годунова	2	5
xvii века и	1	1
ответить на вопрос	1	1
таким образом пушкин	1	2
при создании бориса	1	1
того как трагедия	1	1
то обстоятельство что	4	5
что в его	1	1
о борисе годунове	3	2
никогда не был	1	1
над борисом годуновым	5	7
печатном издании бориса	1	1
на этой почве	1	1
в черновой редакции	1	2
мотивы в борисе	1	1
академического издания сочинений	1	1
пушкиным в его	3	1
и смущало современников	1	1
истории государства российского	2	1
в том что	16	11
в его трагедии	2	2
в то время	1	4
для пушкина не	2	1
о феодализме о	1	1
к борису годунову	3	2
в начале xix	1	3
борисе годунове пушкин	1	2
бориса годунова это	1	1
самим пушкиным в	1	1
до того как	3	1
в каком смысле	1	2
то же время	1	3
с легендой о	1	1
бориса годунова не	5	3
и т п	3	6
своеобразия и не	1	1
можно судить по	1	1
в печатном тексте	1	2
тем не менее	2	2
одним из следствий	1	1
чем борис годунов	1	1
в русской драматургии	1	1
говорит о том	1	1
в связи с	1	3
и для самого	1	1
иметь в виду	3	1
в свою очередь	1	1
нет никакого смысла	1	1
но пушкин и	1	1
в том же	2	1
только что в	2	1
трагедия его не	1	1
с другой стороны	3	4
в период работы	1	1
таким образом в	1	1
в языке трагедии	1	1
сам по себе	1	1
между царской властью	1	1
в бахчисарайском фонтане	7	1
копию с автографа	1	1
словаре академии российской	2	1
пушкина в его	1	2
он не может	1	1
иноческою простотою дают	1	1
в данном отношении	1	1
том что пушкин	2	1
борисом годуновым пушкин	1	2
борис годунов был	1	1
его повествованию всю	1	1
нельзя не обратить	1	1
до нас не	1	1
в борисе годунове	28	38
борисом годуновым не	1	1
борисе годунове и	2	1
года в течение	1	1
в течение лет	1	1
еще до того	2	1
том что он	5	1
в живом языке	1	1
был для пушкина	3	1
как историк а	1	1
в одном из	3	1
царем и боярством	1	1
орлеанская дева жуковского	1	1
но все же	2	2
что он уже	1	1
простотою дают его	1	1
как и вообще	1	1
дом вишневецкого где	1	1
том что борис	4	1
что у него	1	1
о роли дворянства	1	1
издании бориса годунова	1	1
знакомства пушкина с	2	1
а как политик	1	1
