2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part7_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part3_wordlist_2gram
сказке он	1	2
и тех	1	1
укажем что	1	1
все же	5	9
его в	3	3
зп в	3	1
знакомый нам	1	1
не единственная	1	2
сына а	1	2
к водяному	1	1
от всех	1	2
теперь к	2	1
связь с	6	2
так например	1	2
этих случаях	7	16
в одну	1	2
только часто	1	1
стал он	1	1
один а	1	1
дело происходит	1	1
с волосами	2	1
в состоянии	1	4
за него	2	4
носит характер	1	1
некоторых случаях	3	1
есть условие	1	1
эти материалы	2	2
ни один	2	1
что им	2	1
коня аф	1	1
меч и	1	1
наконец если	3	1
из сознания	1	1
из него	1	1
мы имеем	19	12
в иное	1	1
и к	3	1
право на	1	5
в северной	3	1
но здесь	1	2
ином царстве	2	6
в наших	2	1
независимо от	2	1
не представляют	2	1
с мужем	1	1
кроме того	1	3
волшебного средства	2	1
и всей	1	1
прямо говорит	1	1
что при	1	2
народов у	1	1
дочь и	1	5
доме и	2	1
мы здесь	4	2
чтобы я	1	1
связан с	2	1
так и	2	5
в другой	4	3
будет сказать	1	1
царстве и	1	1
частный случай	2	1
и т	16	17
для такой	1	1
они имеют	1	1
и у	3	2
означает что	1	1
д в	1	2
то что	7	7
на землю	2	1
с царевной	1	2
с наступлением	1	1
и от	3	2
чтобы изжарить	1	1
никак не	1	1
не один	1	1
большим домом	3	1
в особенности	2	2
самый факт	1	1
не единственный	3	1
случай показывает	1	2
чтобы дать	1	1
сын мой	1	1
должна быть	1	1
ты должен	1	1
в русских	3	2
можно найти	4	2
дом был	1	1
заключению что	1	1
она при	2	1
и пляски	1	1
если бы	6	1
прочим и	1	2
в ученье	3	1
худ в	2	1
связи с	6	3
выйти за	2	1
людям и	1	1
ни в	2	2
собой метафору	1	1
то время	2	2
и той	1	1
между собой	1	1
как не	1	1
что в	15	13
дома с	1	1
в руках	1	2
в сказке	50	36
или она	1	3
случаях мы	2	2
до окна	1	1
волшебного помощника	1	1
в третью	1	1
обряд а	1	1
в начале	1	1
а как	1	1
за ним	3	1
в своей	1	1
отправляется ее	1	1
и они	4	1
у австралийцев	1	2
женщин и	1	1
но если	1	1
случаев в	1	1
женской линии	1	1
и другая	1	1
на острове	3	2
уже известно	2	1
как только	2	2
понимаем теперь	1	1
этом случае	5	1
можно усмотреть	1	1
она дает	1	1
что она	5	5
очень часто	3	1
после смерти	2	3
о чем	1	1
себе в	2	1
и что	2	10
пермской сказке	6	1
как сестра	1	1
этом мы	1	2
верно если	1	1
увидим дальше	1	1
и все	3	6
весь дом	1	1
наблюдать что	1	1
