2gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part1_wordlist_2gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part2_wordlist_2gram
и тех	3	1
все же	2	3
одних и	1	1
его в	2	3
времени и	1	1
такова что	2	1
и хорошо	1	1
из нас	2	3
по нашему	1	2
и ей	3	2
не следует	1	2
ему самому	1	1
бытия как	2	1
личное существование	1	1
сути дела	1	1
никого не	2	1
бытия эти	1	1
было видно	2	2
н сухих	1	3
с покоем	1	1
думать о	1	2
в значительной	1	2
между я	1	1
обычно у	1	1
мысли о	2	2
концепции личности	2	5
даже в	1	3
интерес к	1	5
драматизм и	1	1
о которой	2	1
и к	2	4
конечном счете	3	2
к другому	1	4
на рассказе	1	1
в магнитном	1	1
диаметрально противоположны	1	2
как о	3	1
мы читаем	2	2
в город	1	1
таком случае	1	1
не хотелось	2	1
городе с	1	5
от нее	1	1
которые говорили	1	1
его и	2	1
так и	8	13
личным счастьем	1	1
согласия между	1	1
чем не	1	1
в другой	1	1
и т	4	11
в ялтинских	1	1
глава рассказа	1	1
когда мы	1	1
в городе	4	5
подробнее на	1	1
и у	2	1
как было	1	1
личности с	2	1
еще и	2	1
ориентации на	1	1
один и	1	1
в камянов	2	1
на свой	2	1
тем самым	2	1
самостоятельной позиции	1	1
то что	6	8
этой жизни	1	1
но как	1	2
видит себя	1	3
не как	2	1
с гуровым	1	3
так а	1	1
и от	2	4
художественности и	1	1
никак не	1	2
чеховского художественного	1	1
с собачкой	9	8
выражению в	1	1
ее глубокой	1	1
в г	2	1
напомним что	1	2
об одном	1	2
все его	3	1
в одном	3	1
рассказа что	1	1
несмотря на	3	4
той же	2	2
характерное для	1	1
мышления и	1	2
от себя	1	2
иначе говоря	1	2
та же	2	4
собачкой и	1	2
если бы	6	3
не любит	1	1
в самую	1	1
его личность	1	1
человека она	1	2
участие в	1	2
что в	5	6
его характер	1	2
зрелого периода	1	5
нас в	1	1
не узнаем	1	1
однако в	2	2
в ялте	4	6
друг от	1	1
в начале	1	2
творчества чехова	1	1
а как	2	1
о самом	1	1
за ним	1	2
личного бытия	3	1
как раз	4	4
в своей	6	10
следующей фразой	1	1
то сарказм	1	1
о личной	2	1
все в	1	1
к числу	2	1
в основе	2	1
художественное мышление	1	1
что можно	1	1
не должно	1	1
на других	1	1
собственно и	1	1
с его	5	5
первый раз	1	1
другой жизни	1	2
горах и	1	3
этих двух	1	1
это прежде	1	2
разговоре с	2	1
другому человеку	1	2
что она	7	4
на наш	4	2
о чем	8	1
и что	1	2
гуров в	1	2
и все	7	4
характером личность	1	1
чеховской прозы	1	9
чехова как	3	3
говорили о	2	1
из названных	1	1
человеческой жизни	6	4
ключевой момент	1	1
они все	2	1
о неуничтожимости	1	1
что на	3	2
и о	4	4
жизни и	6	5
но когда	1	1
эстетическая доминанта	2	1
себя и	2	2
жизни ее	1	1
прибегает к	1	2
него в	1	1
было известно	1	1
чехов писал	1	1
не бывает	1	2
души в	1	1
только не	2	1
по сути	1	1
место в	2	1
на одном	1	1
анной сергеевной	2	2
говорила она	1	2
и так	1	2
тех его	1	1
взгляда на	1	1
что все	3	1
нечто иное	1	1
мышления чехова	1	1
не может	4	7
дама с	2	3
то чего	1	1
там где	1	1
сказать что	2	1
в определении	1	1
угол зрения	1	2
[...] и	3	1
отнюдь не	2	3
не мнимого	1	1
того или	2	2
чужой дом	1	1
к подлинной	1	1
не могло	1	1
чужой жизнью	2	1
позицию адресата	1	1
такого рода	1	3
самую суть	1	1
в рассказах	1	2
в том	15	12
мы знаем	2	2
у чехова	9	13
в его	11	8
душа не	1	1
это время	1	1
и т.п	1	1
на две	1	1
живой и	1	1
своей души	1	1
творец своего	1	1
моя жизнь	1	1
приводит к	2	3
перелетные птицы	1	1
характер чеховского	1	2
о том	12	12
серая от	1	1
нравственной нормы	1	3
за ней	1	1
между тем	8	8
тайне природы	1	2
на месте	1	1
отношение к	2	1
теперь же	3	1
противоречие с	3	1
было как	1	1
с позиции	1	2
м м	1	3
еще в	1	3
да и	5	2
в самой	1	1
рассказа действительно	1	1
поскольку никакая	1	1
среди других	3	1
одиночество героя	1	1
которая не	1	2
героя словно	1	1
впрочем и	2	2
все было	3	1
эта картина	1	1
или человека	1	2
в немалой	1	1
больничным одеялом	1	1
авторского сознания	1	1
героя при	1	2
в духе	2	4
как мы	2	3
не все	3	1
от своего	2	1
противоречие между	2	1
может быть	8	5
и чувства	1	1
[...] что	2	1
и его	5	5
то в	4	4
в одной	1	2
личной тайной	4	1
ни с	2	1
а п	4	10
произведения и	1	1
рассказа это	2	1
в сфере	1	1
ходила в	1	1
в саду	1	1
а теперь	1	1
пока еще	3	2
