2gram	Ircho_Komedia_partition_part1_wordlist_2gram	Ircho_Komedia_partition_part3_wordlist_2gram
а напротив	1	1
его в	8	3
все же	4	3
ни малейшего	3	2
времени и	1	2
сталкиваемся с	1	1
подобно тому	1	1
в состоянии	1	2
современных ей	1	1
и чаще	1	2
на основании	2	3
на душе	1	1
к одной	2	1
о которой	2	1
и к	3	1
право на	1	2
как впрочем	1	1
который они	1	1
независимо от	1	2
с такими	1	1
в город	1	1
материал для	1	1
не уступающую	1	1
ср фр	1	1
отвергает все	1	1
драматическом искусстве	1	1
как теперь	1	2
комедии iv	1	1
сведения о	1	1
так и	4	5
о браке	1	1
и т	4	9
двух фрагментов	1	1
в городе	1	2
и у	1	3
за пределы	2	2
у них	1	1
конечно в	1	1
до нас	4	5
г и	2	3
и почему	1	1
в действие	1	1
то что	4	2
в v	1	2
показательно что	1	1
из того	3	1
главный герой	1	1
что комедия	1	5
в г	2	11
наряду с	2	2
намеков на	1	1
стихов из	4	1
в эти	1	2
бы то	2	2
все его	1	1
тоже по	1	1
аттической комедии	6	9
в свою	7	2
в одном	2	8
действие комедии	1	1
тому же	6	6
своих комедиях	1	1
его т	1	1
несмотря на	4	4
той же	1	1
понимать как	1	1
в обоих	1	1
силу этого	1	1
ни в	10	6
три раза	1	1
участие в	1	4
сделать вывод	1	1
прошлого века	1	1
ярким примером	1	1
то время	2	5
что в	5	6
к одному	1	1
он с	1	1
нас в	1	2
однако в	4	3
еще три	1	1
друг от	1	1
в начале	3	3
что их	2	1
а как	2	1
за ним	2	1
уступающую по	1	1
к сожалению	1	2
как раз	6	3
но если	3	1
противоречия между	1	2
v в	1	13
к числу	1	2
было и	1	1
последнее место	1	1
в далеком	1	1
фр в	1	4
не знаем	1	1
что она	4	1
во ii	1	1
после смерти	1	3
о чем	7	1
себе в	3	1
зависимости от	1	1
и что	6	1
в сопровождении	2	1
последней четверти	1	1
ближе к	2	1
зрителей в	1	1
коль скоро	1	2
его для	1	1
в богатстве	1	3
и все	2	3
или менее	1	2
на этот	3	1
комедии только	2	1
еврипида и	2	3
что на	1	1
за несколько	1	1
и о	2	3
ряд моментов	1	1
жизни и	1	1
обе они	1	1
комедии к	1	5
ты не	1	1
ему и	2	2
к человеку	2	1
после того	1	3
всего это	1	1
комедии в	1	7
и притом	1	2
из которых	2	2
начале iv	1	1
ст и	5	1
в них	3	3
выражал ни	1	1
место в	1	3
как зевс	1	2
что все	1	1
те же	1	1
действия и	1	1
не может	3	2
могут быть	1	3
сказать что	1	1
ко всем	1	1
отнюдь не	4	1
персонажей которые	1	1
открытым небом	1	1
в трагедии	1	2
вместе с	9	2
такого рода	1	6
а к	1	2
в том	12	11
мы знаем	2	2
из своей	1	2
указывает сам	1	1
места в	1	1
о первой	1	1
в его	8	5
все равно	3	1
свое мнение	1	1
это время	1	2
мой взгляд	1	1
не входит	1	1
ставит нас	1	1
приводит к	3	1
является конечно	2	1
от того	2	1
о том	8	8
или вовсе	1	3
за ней	2	1
между тем	2	5
отношение к	5	3
которым они	1	1
возможно что	3	1
совсем иную	1	1
похожи на	1	1
