4gram	Losev_DialektikaMifa_partition_part2_wordlist_4gram	Losev_DialektikaMifa_partition_part3_wordlist_4gram
в том смысле что	1	3
с точки зрения мифического	2	1
дело вовсе не в	1	1
есть не что иное	3	2
в то время как	4	3
но это значит что	2	1
тем не менее в	1	1
и в то же	1	1
не содержит в себе	1	1
ибо никто никогда не	1	1
что это значит? это	2	1
и т д и	6	2
с точки зрения чисто	1	1
за живое существо а	1	1
или по крайней мере	1	2
можно только тогда когда	2	1
д и т д	5	2
точки зрения мифического сознания	2	1
не что иное как	6	3
отрешенность от абстрактно-изолированных вещей	1	1
уже сама по себе	1	1
с одной стороны и	1	1
итак миф не есть	2	1
миф от поэтического образа	1	1
то это значит что	3	1
и т д не	1	2
идея и что такое	1	1
миф не есть догмат	2	4
каком смысле не есть	1	1
не говоря уже о	2	2
ни на что не	1	1
так же как и	1	1
это не значит что	1	2
т д и т	5	2
в связи с этим	1	1
одно и то же	2	4
в то же время	1	3
только тогда когда есть	1	1
по крайней мере в	3	2
это значит? это значит	2	1
в каком смысле не	1	1
одна и та же	1	4
то время как миф	1	1
есть одно и то	1	1
никто никогда не воспринимает	1	1
формы проявления личности в	1	1
от всего прочего и	2	1
ни в каком смысле	3	1
но о том что	1	1
и т д я	2	1
антитеза субъекта и объекта	1	1
если их брать как	1	1
все на свете есть	1	1
что все на свете	1	1
это будет значить что	4	1
одно из двух или	2	1
угодно но только не	1	1
по одному тому что	2	1
с диалектической точки зрения	1	1
значит? это значит что	2	1
