2gram	Vygotskiy_Psychologia_partition_part5_wordlist_2gram	Vygotskiy_Psychologia_partition_part1_wordlist_2gram
мы станем	1	2
когда они	1	1
в последнее	4	1
и действие	1	1
все яснее	1	1
все же	5	7
времени и	1	3
от всех	3	1
это совершенно	1	2
из нас	2	1
чувство с	1	1
себе не	3	2
это произведение	1	1
однополюсной траты	1	2
нас совершенно	1	1
том и	2	2
в одну	1	1
в собственном	3	1
этот анализ	1	1
в значительной	1	1
в состоянии	3	3
есть к	2	1
даже в	2	1
усиливается или	1	1
совершенно неверно	1	1
бессознательной сфере	1	1
мы имеем	4	8
и к	3	4
он исходит	1	2
конечном счете	3	1
эстетическая реакция	1	6
правильно указывает	1	1
переживания и	1	1
того и	1	1
и составляют	1	1
выходит так	2	1
нечто гораздо	1	1
и всей	1	1
мы совершенно	2	1
прямо говорит	1	1
что при	3	3
силы с	1	1
таком понимании	1	1
или фантазии	1	1
то мы	1	1
и свою	1	1
сказывается в	1	1
его и	3	1
нашего исследования	3	1
так и	3	3
шекспира но	1	1
отнести к	1	1
что если	1	6
и т	26	7
не является	5	2
при таком	1	3
нас от	1	1
эмоции при	1	1
когда мы	3	6
гекзаметров и	1	1
еще и	1	1
содержанием и	1	1
один и	1	1
фантазии и	1	2
вероятно не	1	1
в известном	2	1
есть нечто	2	3
означает что	2	1
и почему	1	2
самому существу	3	1
то что	32	37
но как	2	1
всегда в	1	1
сущности говоря	3	8
в каком	2	3
и от	2	1
с в	3	1
никак не	4	6
своих исследованиях	1	1
ее можно	1	1
именно то	1	4
в монологе	1	1
на задний	1	1
его как	1	1
психологической эстетики	3	1
специфическое что	1	1
имеет в	2	1
можно выразить	1	1
которая существует	1	3
подход к	1	1
должна быть	3	2
того что	10	8
в одном	2	2
в свою	1	3
иное как	1	2
формулы для	1	1
тому же	3	1
в воображении	1	2
что психика	1	1
несмотря на	5	5
той же	3	3
с первым	1	1
мы найдем	2	4
иначе говоря	5	1
та же	3	1
от себя	4	1
совершенно понятной	1	1
если бы	6	11
связи с	1	2
же точно	3	6
раз из	2	1
ни в	9	3
из двух	1	3
фантазию как	1	1
нигде не	2	1
этом совершенно	1	1
и той	3	2
то время	5	1
между собой	1	2
как не	1	1
совершенно очевидно	3	5
что в	23	24
при всех	1	1
нас в	2	1
принадлежат к	2	1
для объяснения	3	1
однако в	1	1
в приложении	1	1
но совершенно	2	1
а как	1	2
за ним	1	1
в своей	3	4
приложении к	1	1
как раз	2	13
обозначался как	1	1
достаточной ясностью	1	1
к числу	2	1
в основе	2	7
напротив того	2	2
с такого	1	1
очень легко	2	3
что эмоция	1	1
с его	1	2
говорит нам	1	1
реакции и	1	3
эстетический объект	1	3
этих двух	2	7
как только	1	4
для психологии	1	3
в состав	1	3
что она	6	6
бы если	1	2
в той	1	3
не имеем	1	2
что всякая	2	4
о чем	2	4
этот закон	1	2
смысл в	1	1
зависимости от	6	7
и что	8	23
в психологической	1	1
показал что	1	1
имеет свое	1	1
он никогда	1	1
самых разных	2	1
что самое	3	2
в применении	2	1
и все	5	4
содержания и	1	4
мы говорим	1	1
или менее	2	1
никто не	1	1
на этот	1	3
которое мы	1	3
и заключается	1	4
бы мы	2	3
и другую	2	1
что на	3	3
психология искусства	9	1
и о	4	3
жизни и	3	6
в вопросе	1	1
себя и	2	2
деятельности фантазии	1	2
содержание и	1	4
мы ощущаем	1	1
из которых	3	4
это положение	1	1
что эта	3	4
в них	2	4
не бывает	1	1
что форма	1	1
о смерти	1	5
мы хотим	1	2
только не	3	5
для понимания	1	1
может стать	3	1
на деле	3	8
не есть	3	4
в основу	2	4
и так	4	2
этому поводу	2	4
не то	2	1
действия и	2	4
что все	3	6
или иное	2	1
понятно что	1	2
не может	17	9
могут быть	11	8
это имеет	2	1
с психологической	3	1
иметь дело	1	1
там где	4	4
сказать что	7	9
мы видели	2	1
то есть	26	13
можно легко	1	2
эмоции но	1	1
проблем и	1	1
вместе с	8	12
этом вопросе	1	1
он должен	1	8
произведения искусства	1	2
по тому	3	1
иметь никакого	1	1
простейший пример	1	1
тот новый	1	1
в том	30	27
мы знаем	3	2
точно и	2	1
заключены в	1	1
указывал что	1	1
психологии и	3	1
составные части	1	1
этого материала	2	1
нашей фантазии	2	2
оно в	1	2
в его	6	4
на пересечении	1	1
все равно	1	2
верно что	1	3
быть сведены	1	1
полной мере	1	1
в нас	2	13
которое не	1	1
эстетики он	1	1
как они	2	2
вступить в	1	1
мысль о	1	4
бы как	1	1
не существует	2	3
и может	2	1
надо сказать	3	1
как при	1	1
если принять	1	1
приводит к	2	2
от того	3	4
о том	7	10
между тем	4	1
что бессознательное	1	1
согласно этой	1	1
сделать чрезвычайно	1	1
совершается в	1	1
точно также	1	1
что самая	1	1
для одних	1	1
несет функцию	1	1
отношение к	2	1
противоречие с	3	2
котором она	1	1
отказаться от	2	1
в виду	4	4
есть психология	2	1
на то	10	17
в музыке	2	1
же где	2	1
можно сделать	1	1
есть только	2	2
и смысл	1	1
понятие о	1	1
имеет совершенно	1	1
должны быть	3	1
и наоборот	1	1
именно со	1	1
станет совершенно	2	1
главным образом	2	1
идет речь	1	3
как мы	2	5
заключает в	1	4
двух планах	1	3
к которым	3	2
относится к	1	1
может быть	22	11
то в	1	1
и его	7	6
в одной	3	2
не можем	3	4
различных точек	1	1
и вне	1	1
произведения и	1	1
так мы	1	1
с таким	11	2
лучшим доказательством	1	2
совершенно произвольно	1	1
эмоцию и	1	1
х годов	5	1
основе своей	1	1
пока еще	1	1
эту мысль	1	2
с достаточной	2	1
многих случаях	1	1
и могут	1	1
вовсе не	6	3
она не	5	1
исходили из	1	2
которую она	1	1
живые люди	1	1
есть не	2	4
планах с	1	2
была бы	1	3
в судебном	1	1
искусства в	9	2
гаман и	1	1
и аффектов	1	1
ли не	1	2
с тем	3	8
вразрез с	1	1
это есть	5	3
здесь нет	1	1
совершенно верно	2	4
не составляют	1	1
который в	3	1
обратиться к	2	5
за собой	1	1
поэтому когда	1	1
из этого	2	2
эта теория	5	5
которым пользуется	1	1
во многих	1	1
звуковой формы	1	1
т п.если	1	1
и нам	1	2
бы в	2	5
образное и	1	1
увидим что	2	9
вслед за	6	1
и нет	1	1
чувства при	1	1
показать как	1	4
отличие от	4	2
на которых	1	2
самое же	3	1
произведения так	1	1
она в	2	1
сравнению с	1	4
тот же	2	3
последнее время	2	1
чувства которое	1	1
или ином	1	1
этой теории	6	2
и действительно	1	1
когда указывал	1	1
же мы	1	1
стороны другого	1	1
со стороны	4	3
с и	5	5
как он	2	2
тем как	1	1
и между	1	3
на искусство	2	2
должны будем	2	2
в таком	3	3
можем понять	1	1
нас к	1	1
говорит овсянико-куликовский	2	1
перед ним	1	1
что здесь	2	3
в частности	3	4
как говорит	2	4
внимание что	1	1
мы примем	1	2
с которой	1	2
автор считает	1	1
т п	16	3
показывает что	5	3
для своей	1	1
всякий раз	8	2
ответ на	1	5
и даже	6	2
от этой	1	2
и очень	2	1
не было	3	1
и тем	2	6
значительной мере	1	1
того чтобы	7	20
во внимание	2	5
и при	1	2
то это	1	4
в своих	4	5
только в	14	5
когда утверждает	1	1
что то	2	1
понятной та	1	1
с ними	1	1
другой стороны	5	5
реакции при	1	1
в этой	3	5
лирической эмоции	1	2
образом оказывается	1	1
именно такая	1	1
в русском	2	1
само по	5	2
характеры действующих	1	2
не могли	1	4
когда она	2	3
же оно	1	1
идет о	2	1
существует два	1	1
психологии в	2	1
в трех	2	3
что содержание	2	1
его с	1	2
чувства которые	1	2
все то	3	2
выпадает на	1	1
чтобы понять	4	1
полнотой и	1	1
литературное произведение	1	1
к этому	4	3
том случае	2	1
в эмпирической	1	1
вот это	1	1
но для	1	1
как в	9	3
применении к	2	1
элементов если	1	1
и периферический	1	1
и не	16	6
что у	3	3
но вместе	1	1
во всяком	8	1
здесь же	1	1
и та	1	2
как итог	1	1
мы на	1	1
лежит в	1	1
который он	1	1
если будем	1	1
охватывает и	1	1
таким образом	20	20
нам придется	2	2
по своему	1	1
полагал что	1	2
совершенно понятно	1	1
если же	2	2
не испытывает	1	1
переживания искусства	1	2
о той	1	1
с так	2	2
он как	1	2
тогда когда	5	1
и значения	1	1
одно и	1	3
мысли так	2	1
уже в	3	6
с теми	2	3
таковая в	1	1
в жизни	2	1
это и	3	2
по самому	5	2
отдельные исследования	1	1
не только	13	16
искусства как	4	4
на другой	1	1
его частей	1	1
он не	3	3
для его	1	1
что даже	2	2
могут иметь	1	1
там же	2	1
смысле этого	2	1
применить к	2	1
в самых	1	1
вот что	2	1
роль которая	1	1
которые никак	3	1
это оказывается	1	1
что всякое	5	4
факта что	1	1
только обратиться	1	1
и кажется	1	1
основу этого	2	2
это прекрасно	1	1
что те	2	1
тем же	3	3
совершенно ясно	19	7
и потому	2	5
слова в	3	1
