2gram	Tiupa_LitereturaIMentalnost_partition_part3_wordlist_2gram	Tiupa_LitereturaIMentalnost_partition_part2_wordlist_2gram
русло однако	1	1
на кличку	1	1
все же	2	2
его в	1	2
книге о	1	1
в докторе	2	1
подобно тому	2	2
на заре	1	1
хуже вас	1	1
не лучше	1	1
между я	3	1
или соцреалистическое	1	1
этом как	1	1
на два	2	1
вот уже	1	1
и доверие	1	1
как целого	1	1
булат окуджава	1	1
в концовке	1	1
феномена духовной	1	1
и т	2	1
к истокам	1	1
сознание более	1	1
в ту	1	2
стих таинственно-родной	1	1
как было	1	1
личности с	1	3
краткий курс	1	1
лирического я	3	1
как сам	1	1
я с	1	3
творческого акта	1	1
то что	7	12
я твой	2	2
творчества в	1	1
органическим и	1	1
там за	1	1
не касающуюся	1	1
самовыразиться безоглядно	1	1
свою духовную	1	1
задачу социалистической	1	1
но одновременно	1	2
исторической поэтики	1	1
авангардистского я	1	1
мышления и	1	1
своему объекту	1	1
связи с	1	2
однако в	6	4
мире свобода	1	1
частного бытия	1	1
и мысль	1	1
мозга на	1	1
и адресата	1	2
заодно и	1	1
на наш	3	1
все более	1	2
другое сознание	1	1
ближайшее прошлое	1	1
поступающего сознания	1	1
неотрадиционализм с	1	1
о рабле	1	1
остался в	1	1
в жизнь	1	4
эстетическая доминанта	1	1
но явной	1	1
и за	2	1
обычно на	1	1
светлых лет	1	1
в соцреализме	4	1
свое имя	1	1
произведения искусства	2	1
отталкиваясь от	1	1
иду я	1	1
это бахтинское	1	1
и одновременно	2	2
я к	1	2
жизни этих	1	1
мозгах она	1	1
в его	4	6
все равно	2	1
блаженнейший зной	1	1
массы людей	1	1
предстает как	1	2
с творческой	2	1
в грядущее	1	1
еще в	4	3
во всей	1	2
уже о	2	3
[] или	1	1
говоря словами	1	3
он писал	1	1
особого рода	1	5
расходясь в	1	1
переживается как	1	1
вовсе не	2	1
будучи всерьез	1	1
ни было	2	2
которых и	1	1
за собой	1	1
сознания не	1	1
жизнь не	1	1
из этого	1	1
текущими частностями	1	1
классической парадигмы	1	1
с неотрадиционализмом	1	1
бы в	1	1
и было	1	1
психического захвата	1	1
не диалога	1	1
это путь	1	2
уединенности внутренних	1	1
в глазах	3	3
читателя советчика	1	1
во имя	2	1
самих себя	1	1
ролевого функционирования	1	1
картины жизни	1	1
в каждой	2	2
другой стороны	4	2
отношению к	3	4
бахтинское малое	1	1
на определенный	1	1
близости которая	1	1
идет о	3	1
то и	3	1
свидетельствует о	2	1
к этому	1	2
тоталитаризма все	1	1
на таких	1	1
в соцреалистическом	4	1
и не	11	22
со всеми	1	2
в художественной	3	1
разговора б	1	1
тем что	4	2
где путь	1	1
призвания и	1	1
предстоит ей	1	1
из стихотворений	2	2
по собственному	1	2
в данном	3	4
г.а белой	1	1
в литературе	1	1
политическим условиям	1	1
произведение искусства	1	6
прокофьев и	2	1
мира и	1	2
в ход	1	1
события как	1	1
насилия над	2	1
личности в	3	3
годов поэт	1	1
искусство как	1	2
не оставляет	1	1
словами написанными	1	1
в соответствии	1	3
от жизни	1	2
соцреалистического пути	1	1
быть может	3	2
возможности самовыразиться	1	1
поэзии советского	1	1
до конца	2	4
и предвидимое	1	1
в первом	1	2
авторитарного сознания	12	2
т.с элиота	1	2
к новым	1	1
эстетический дискурс	1	1
бахтинской концепции	1	1
и внешней	1	1
в русской	4	1
на объективную	1	1
с тех	1	1
от своеволия	1	1
и единомыслия	1	1
своей жизни	1	2
что лирическое	1	1
неотъемлемое от	1	1
в своем	1	1
новым политическим	1	1
стороны и	1	2
одного из	1	2
в нашем	2	1
от земли	1	1
не по	2	1
предметом рефлексии	1	1
собственной песне	1	1
каждого перед	1	1
не отменяет	1	1
социального заказа	1	4
эстетического объекта	1	6
в психологии	1	1
вечности заложник	1	1
как и	10	5
соцреалистический герой	1	1
обоюдного контроля	1	1
мотива пути	1	1
в облике	2	2
же время	9	7
где каждый	1	1
контрольная комиссия	1	1
и в	19	16
и где	1	1
своего другого	3	4
властно над	1	1
положение при	1	1
но не	5	4
я это	2	2
жанра слова	1	1
и соцреализмом	1	1
все выше	1	1
читателя в	1	1
для нас	2	1
на литер	1	1
наследия как	1	1
лестнице колючей	1	1
себе во	1	1
теперь эта	1	1
карнавализация трактуется	1	1
найти себя	1	2
по существу	3	4
откровения в	1	1
всю свою	1	1
который не	1	1
к мнимо	1	1
но это	3	1
всего лишь	3	5
на творческую	1	1
мнимо авангардистской	1	1
когда он	1	2
доктор живаго	1	3
и заодно	1	1
ее в	1	2
же в	2	2
в ряду	1	1
индивидуальным делом	1	1
бы противопоставление	1	1
этой же	1	1
это не	1	5
классовый читатель	1	1
в образах	2	1
но он	1	1
перед объективностью	1	1
нам остается	1	1
парадигма художественности	2	1
искусства хх	1	1
прежде всего	4	3
тех кто	4	1
ты мой	1	1
и души	1	1
эта частность	1	1
его носителя	1	1
желаемое будущее	1	1
одинокого я	1	1
над ним	2	1
маяковский в	3	1
эти слова	1	2
от эпохального	1	1
саморазвитию жизни	1	1
это тоже	1	1
я тебя	2	1
например с	1	1
команды к	1	1
роль авангарда	1	1
героя и	1	1
неоднократно от	1	1
творческой личности	1	1
творца не	1	1
и наконец	2	3
на долю	1	1
путь никем	1	1
уединенного сознания	5	14
не к	2	1
соцреализма в	5	2
для творца	1	1
ключевая роль	1	1
владимир ильич	2	1
реальности и	1	1
тех пор	1	1
с этой	2	2
искусство в	1	2
и званье	1	1
обойтись без	1	1
одновременно самоактуализация	1	1
делающем от	1	1
духовного уклада	1	1
клеточками коллективного	1	1
переделки жизни	1	1
ушло то	1	1
а во	1	1
соцреалистический путь	1	1
в поэзии	3	5
и искусство	1	1
во взаимоприятии	1	1
еще одна	1	1
принадлежит эстетике	1	1
имя и	1	1
у классиков	1	1
может мыслиться	1	1
пути в	8	4
из творческого	1	1
едва ли	4	3
самом деле	1	3
и неотрадиционализма	1	1
жизнь как	2	2
самом начале	1	1
то же	12	9
характеристикой доверие	1	1
в твоей	2	1
соцреалистический текст	1	1
коллективного сознания	2	1
собственного я	1	2
суматоха перемен	1	1
свое собственное	1	1
причастности к	4	6
хх столетия	1	3
разумеется не	2	3
позиция эстетического	1	1
например не	1	1
коммуникативного события	2	5
присутствия в	2	6
сознания как	1	1
сделать их	1	1
ищет именно	1	1
но мы	1	1
им как	1	1
иосифа бродского	1	1
актуализация виртуального	1	1
и еще	2	1
на горло	1	1
в эстетической	1	2
революции и	1	1
д андреев	3	2
к этой	2	1
лирический герой	10	5
или стихотворение	1	1
возрождения проблема	1	1
себе как	1	1
художественной системы	2	1
один из	4	2
в действительности	1	1
в обществе	1	1
отношения к	1	3
с точки	3	3
к самодвижению	1	1
я в	7	7
не надо	2	2
руки и	1	1
не монолог	1	1
памяти жанра	1	1
единстве жизни	1	2
в итоге	1	1
но в	2	3
в контексте	1	1
д андреева	2	1
не имеет	1	1
кличку сменять	1	1
артистического призвания	1	1
своего рода	13	10
к ролевой	1	1
жизнь и	1	1
тем не	2	1
круг лиц	1	1
конца века	1	1
к цели	1	1
художником право	1	1
на свете	2	2
в другом	3	6
всякого частного	1	1
автора и	1	2
парк победы	1	1
для него	4	2
ахматовой в	1	1
свою очередь	1	1
по выражению	1	1
найдя другого	1	1
художника к	1	2
будущем следующий	1	1
со всей	1	2
хх века	8	11
другого не	1	1
начале х	1	3
не с	3	2
в тексте	1	4
связанному с	1	1
не берет	1	1
ничего общего	1	1
особое место	1	2
свобода и	1	1
такова что	1	1
ранний маяковский	1	1
чего и	1	1
деклассированной революционной	1	1
зависимость от	2	1
о которой	2	2
право на	3	2
художественное творчество	1	2
мыслит себя	1	1
индивидуалом и	1	1
сочетании с	1	1
хотя мандельштаму	1	1
на другого	1	1
авторитарному модусу	1	1
для кого	2	1
еще и	1	2
в последнем	1	1
мы с	3	2
давид самойлов	1	1
большого времени	1	1
и от	1	1
из того	2	2
усматривал в	1	1
хх веке	4	3
частностями артистического	1	1
в одном	2	4
от адресата	1	1
ахматовой и	1	1
той же	2	3
от себя	1	2
образа пути	1	1
диктата со	1	1
же личную	1	1
отражения в	1	1
в начале	3	4
субъекта но	1	1
стих не	1	1
долю которых	1	1
не возможности	1	1
о работе	1	1
как правило	3	1
и напротив	1	2
страны не	1	1
у маяковского	2	2
и все	1	1
путь лирического	1	1
и о	1	1
жизни и	4	3
именно такой	1	1
к человеку	1	1
в них	2	1
для искусства	1	1
и кардинально	1	1
на страницах	1	2
отнюдь не	4	3
разговор писателя	1	1
в том	10	12
ср у	1	2
в школе	1	1
малое время	1	1
и т.п	10	6
сообща и	1	1
этом с	1	2
с позиции	1	1
эстетического дискурса	1	1
культурной политики	1	2
действительности же	1	1
талант до	1	1
как мы	1	2
заложник у	1	1
художественного дискурса	1	1
он один	1	1
в соцреалистической	6	1
и поэзии	1	1
однако отыскав	1	1
в цикле	1	1
характеристике и.п	1	1
в отношении	1	1
кем посоветоваться	1	1
и состоит	1	1
о бахтинской	1	1
есть не	1	1
путь тогда	1	1
на жизнь	2	2
здесь не	1	2
личную никого	1	1
классической художественности	2	1
доктора живаго	4	1
во главе	1	1
жизни мира	1	1
повествование о	1	1
[] не	2	1
со стороны	3	7
частность и	1	1
как он	2	1
одно из	2	4
позабыть свое	1	1
в соцреалистических	2	2
авангардное время	1	1
культуры в	1	1
жизни []	1	1
нет ничего	1	1
к врагу	1	1
открывшуюся ему	1	1
заодно с	1	1
в своих	2	2
меня я	1	1
под диктовку	1	1
онтологической характеристикой	1	1
быть другим	2	1
не случайно	4	3
вот этот	1	1
индивидуальный талант	1	1
мастеров художественного	1	1
