2gram	Tiupa_DiskursIZhanr_partition_part2_wordlist_2gram	Tiupa_DiskursIZhanr_partition_part1_wordlist_2gram
оцененном мире	1	1
а напротив	1	1
эстетического переживания	1	1
все же	3	6
в генезисе	1	1
речевого жанра	2	4
речи и	1	1
времени и	3	2
стабильно дифференцированном	1	1
названных жанров	1	1
и весьма	1	1
и соответствующей	1	1
необходимо чтобы	1	1
эстетического отношения	1	1
от современной	1	1
себе не	3	1
между которыми	1	1
не следует	2	3
менее основательно	1	1
сути дела	2	1
выступает референтная	1	1
подобно тому	2	2
о мире	1	1
в значительной	2	1
лирики в	1	2
лаконичная строгость	1	1
готовом стабильно	1	1
слова и	1	1
по свидетельству	1	2
происходит только	1	1
жанров и	1	2
такая возможность	1	1
излагается как	1	2
н.и жинкиным	1	1
жанровой традиции	1	3
участников общения	1	1
мы имеем	2	2
конечном счете	1	1
право на	1	1
к другому	2	1
виду что	1	1
в притче	4	2
но здесь	1	2
сказания или	3	2
речевого действия	2	4
своем значении	1	1
перформативность лирического	1	1
чем у	1	1
своей коммуникативной	4	1
его событийной	1	1
писал бахтин	4	1
рассмотренная выше	1	1
так и	8	9
чем не	1	2
в иных	1	1
роль немногочисленных	1	1
существенную роль	3	1
не является	4	4
субъектов и	1	1
начало в	1	1
всем что	1	1
и вследствие	1	1
еще и	1	1
за пределы	2	1
в жанровом	1	2
до нас	1	1
тем самым	1	6
то что	5	5
первое свершение	1	1
не как	4	1
своей жанровой	1	2
и от	1	1
из того	1	1
с собачкой	1	1
его как	2	1
в особенности	4	1
данного высказывания	1	1
подход к	1	3
читателя что	1	1
об одном	1	3
в одном	2	4
но одновременно	2	3
адресата в	2	3
исторической поэтики	1	2
несмотря на	1	1
той же	1	2
словам с.с	1	1
однако во	1	1
период своего	1	1
иначе говоря	2	3
предметно-тематическое содержание	1	1
значении данного	1	1
из двух	2	3
как анекдот	1	2
к одному	1	1
что в	4	5
интриги нарративный	1	1
лирике в	1	1
нас в	1	1
на адресата	1	2
ода инвектива	1	1
стратегию притчи	1	1
в своей	5	6
которое было	1	1
гг в	1	1
речевой культуры	1	1
к числу	1	1
реплики в	1	1
частной жизни	2	2
слову бахтина	1	1
в основе	7	4
не должно	1	1
собственно и	2	2
с его	4	6
означает не	1	2
нарративной стратегии	1	5
к перерастанию	1	1
речевого общения	12	1
к жанру	1	2
и адресата	2	2
этом случае	1	2
как правило	4	1
их взаимодополнительности	1	1
в той	1	2
о чем	2	2
по мысли	3	6
речевой жанр	8	1
в речевой	2	1
и что	2	1
ближе к	1	1
идиллия баллада	1	1
магических заклинаний	1	1
композиции неразвернутость	1	1
от субъекта	1	1
что ни	1	2
коммуникативным событием	2	2
интонации и	1	2
в период	1	4
и все	2	3
данного речевого	1	1
культуры когда	1	1
и целовал	1	1
сказанием и	1	1
целом и	1	1
указать на	1	2
места времени	1	1
которая и	1	1
коммуникативной природе	2	1
что на	1	2
точке зрения	1	1
двух вполне	1	1
биографического дискурса	2	3
себя и	1	1
глава нарративная	1	1
в противоположность	2	5
в них	4	3
не дошли	1	1
по сути	4	2
время действительно	1	1
неразвернутость характеристик	1	1
не есть	2	1
сложившийся в	1	1
участников коммуникативной	1	1
с миром	1	1
на самого	2	2
не то	1	1
выготским и	1	1
нарративные стратегии	1	1
сознания с	1	1
строгом значении	2	2
не может	9	9
кто из	1	1
могут быть	4	3
укрупненных деталей	1	1
[...] и	1	1
сказать что	3	1
его излишним	1	1
романную эпоху	1	1
то есть	20	12
отнюдь не	8	6
того или	2	1
впоследствии анекдот	1	1
он ничего	1	1
вместе с	1	2
такого рода	4	9
принципиально письменной	1	1
другим что	1	1
а к	1	2
и одновременно	2	2
этих жанровых	1	1
как построманный	1	1
я к	1	1
в том	23	8
нарративных стратегий	1	2
в его	7	3
на почве	1	2
полной мере	1	1
и т.п	12	12
мой взгляд	2	2
как коммуникативного	1	2
надо полагать	1	1
мысль о	1	3
и может	1	3
приводит к	2	3
всех подобных	1	1
жанровая природа	2	2
о том	8	4
между тем	4	2
живет в	1	2
отношение к	4	2
своей основе	1	1
предстает как	1	1
являет собой	3	2
объект или	1	1
не заключает	1	1
слово анекдота	1	1
однозначности [...]	1	1
с позиции	1	4
еще в	3	3
да и	1	1
большинстве случаев	1	1
уже о	2	1
действующее лицо	2	1
общения с	3	1
при отсутствии	1	1
природе своей	5	2
декларативный и	1	1
согласно удачной	2	1
особого рода	2	1
иного рода	1	1
может быть	17	16
[...] в	5	3
с адресатом	1	1
восприятия со	1	1
в одной	3	1
и его	2	3
динамизмом произведения	1	1
и вне	1	1
вследствие этого	3	2
пока еще	6	2
основе своей	2	2
к жанровому	1	1
жанровое содержание	1	1
веские основания	1	1
с достаточной	1	1
лирических текстов	1	1
и состоит	1	2
содержанием анекдота	1	1
характера героя	1	1
и строго	1	1
качестве референтной	1	1
себя самого	1	1
события рассказывания	3	1
мире лкс	1	1
в сказании	3	3
[...] не	1	1
не на	1	2
я не	1	1
дифференцированном и	1	1
окказиональная случайностная	1	1
более не	1	1
не тождествен	1	1
здесь не	1	2
как представляется	1	1
общения в	2	1
каждый из	1	1
к жанровой	1	1
к лицу	1	1
той или	3	3
ни о	1	1
оно живет	1	1
и было	2	1
а о	2	1
следует мыслить	1	1
несет в	1	2
в выходе	1	1
глава перформативность	1	1
уводит от	1	1
отличие от	5	12
и собственно	1	1
оба они	1	1
речевой акт	2	1
и медитативный	1	1
и прежде	1	2
говоря уже	2	1
речевого акта	1	1
исключает возможность	1	1
для обозначения	3	1
свой анекдот	1	2
граница между	1	1
со стороны	7	10
мира в	3	3
то чтобы	1	1
сказания а	1	1
рассматривать как	2	1
генезис лирических	1	1
обращаясь к	1	1
дискурсный анализ	1	1
и точность	1	1
из субъекта	1	1
становления и	2	3
притчей о	1	1
наличие в	1	1
немногочисленных и	1	1
в частности	9	12
перед ним	1	1
с ценностным	1	1
лицу с	1	1
жанра не	1	1
не обладает	1	1
выходе за	1	1
автопрезентациями поскольку	1	1
памяти ивана	1	1
и даже	3	1
не было	7	3
монументальной историографии	1	1
значении термина	3	2
анекдот как	1	2
чтобы не	1	1
бытия а	1	1
иногда не	1	1
в своих	3	6
только в	7	3
и брань	1	1
в этой	2	4
о ней	1	1
так сказать	2	1
другой стороны	3	2
конкретного лица	1	1
или иного	1	2
первобытного человека	3	1
отношению к	9	4
он видел	1	1
идет о	1	2
т.е в	1	1
уже было	1	1
их жанровой	1	1
всяком случае	1	1
в романную	1	1
его с	1	1
притча осваивает	1	1
картина мира	3	4
к этому	2	4
обнаруживается в	1	1
жанровая форма	4	1
свершение в	1	1
к художественной	1	1
но для	1	1
высказывания в	6	1
гораздо менее	1	2
притчи в	2	1
для реализации	1	1
рода в	1	1
как в	10	8
рассказчика и	1	2
не случайно	1	1
городского фольклора	1	1
и не	11	15
