2gram	Tiupa_DiskursIZhanr_partition_part1_wordlist_2gram	Tiupa_DiskursIZhanr_partition_part2_wordlist_2gram
оцененном мире	1	1
а напротив	1	1
эстетического переживания	1	1
все же	6	3
в генезисе	1	1
речевого жанра	4	2
речи и	1	1
времени и	2	3
стабильно дифференцированном	1	1
названных жанров	1	1
и весьма	1	1
и соответствующей	1	1
необходимо чтобы	1	1
эстетического отношения	1	1
от современной	1	1
себе не	1	3
между которыми	1	1
не следует	3	2
менее основательно	1	1
сути дела	1	2
выступает референтная	1	1
подобно тому	2	2
о мире	1	1
в значительной	1	2
лирики в	2	1
лаконичная строгость	1	1
готовом стабильно	1	1
слова и	1	1
по свидетельству	2	1
происходит только	1	1
жанров и	2	1
такая возможность	1	1
излагается как	2	1
н.и жинкиным	1	1
жанровой традиции	3	1
участников общения	1	1
мы имеем	2	2
конечном счете	1	1
право на	1	1
к другому	1	2
виду что	1	1
в притче	2	4
но здесь	2	1
сказания или	2	3
речевого действия	4	2
своем значении	1	1
перформативность лирического	1	1
чем у	1	1
своей коммуникативной	1	4
его событийной	1	1
писал бахтин	1	4
рассмотренная выше	1	1
так и	9	8
чем не	2	1
в иных	1	1
роль немногочисленных	1	1
существенную роль	1	3
не является	4	4
субъектов и	1	1
начало в	1	1
всем что	1	1
и вследствие	1	1
еще и	1	1
за пределы	1	2
в жанровом	2	1
до нас	1	1
тем самым	6	1
то что	5	5
первое свершение	1	1
не как	1	4
своей жанровой	2	1
и от	1	1
из того	1	1
с собачкой	1	1
его как	1	2
в особенности	1	4
данного высказывания	1	1
подход к	3	1
читателя что	1	1
об одном	3	1
в одном	4	2
но одновременно	3	2
адресата в	3	2
исторической поэтики	2	1
несмотря на	1	1
той же	2	1
словам с.с	1	1
однако во	1	1
период своего	1	1
иначе говоря	3	2
предметно-тематическое содержание	1	1
значении данного	1	1
из двух	3	2
как анекдот	2	1
к одному	1	1
что в	5	4
интриги нарративный	1	1
лирике в	1	1
нас в	1	1
на адресата	2	1
ода инвектива	1	1
стратегию притчи	1	1
в своей	6	5
которое было	1	1
гг в	1	1
речевой культуры	1	1
к числу	1	1
реплики в	1	1
частной жизни	2	2
слову бахтина	1	1
в основе	4	7
не должно	1	1
собственно и	2	2
с его	6	4
означает не	2	1
нарративной стратегии	5	1
к перерастанию	1	1
речевого общения	1	12
к жанру	2	1
и адресата	2	2
этом случае	2	1
как правило	1	4
их взаимодополнительности	1	1
в той	2	1
о чем	2	2
по мысли	6	3
речевой жанр	1	8
в речевой	1	2
и что	1	2
ближе к	1	1
идиллия баллада	1	1
магических заклинаний	1	1
композиции неразвернутость	1	1
от субъекта	1	1
что ни	2	1
коммуникативным событием	2	2
интонации и	2	1
в период	4	1
и все	3	2
данного речевого	1	1
культуры когда	1	1
и целовал	1	1
сказанием и	1	1
целом и	1	1
указать на	2	1
места времени	1	1
которая и	1	1
коммуникативной природе	1	2
что на	2	1
точке зрения	1	1
двух вполне	1	1
биографического дискурса	3	2
себя и	1	1
глава нарративная	1	1
в противоположность	5	2
в них	3	4
не дошли	1	1
по сути	2	4
время действительно	1	1
неразвернутость характеристик	1	1
не есть	1	2
сложившийся в	1	1
участников коммуникативной	1	1
с миром	1	1
на самого	2	2
не то	1	1
выготским и	1	1
нарративные стратегии	1	1
сознания с	1	1
строгом значении	2	2
не может	9	9
кто из	1	1
могут быть	3	4
укрупненных деталей	1	1
[...] и	1	1
сказать что	1	3
его излишним	1	1
романную эпоху	1	1
то есть	12	20
отнюдь не	6	8
того или	1	2
впоследствии анекдот	1	1
он ничего	1	1
вместе с	2	1
такого рода	9	4
принципиально письменной	1	1
другим что	1	1
а к	2	1
и одновременно	2	2
этих жанровых	1	1
как построманный	1	1
я к	1	1
в том	8	23
нарративных стратегий	2	1
в его	3	7
на почве	2	1
полной мере	1	1
и т.п	12	12
мой взгляд	2	2
как коммуникативного	2	1
надо полагать	1	1
мысль о	3	1
и может	3	1
приводит к	3	2
всех подобных	1	1
жанровая природа	2	2
о том	4	8
между тем	2	4
живет в	2	1
отношение к	2	4
своей основе	1	1
предстает как	1	1
являет собой	2	3
объект или	1	1
не заключает	1	1
слово анекдота	1	1
однозначности [...]	1	1
с позиции	4	1
еще в	3	3
да и	1	1
большинстве случаев	1	1
уже о	1	2
действующее лицо	1	2
общения с	1	3
при отсутствии	1	1
природе своей	2	5
декларативный и	1	1
согласно удачной	1	2
особого рода	1	2
иного рода	1	1
может быть	16	17
[...] в	3	5
с адресатом	1	1
восприятия со	1	1
в одной	1	3
и его	3	2
динамизмом произведения	1	1
и вне	1	1
вследствие этого	2	3
пока еще	2	6
основе своей	2	2
к жанровому	1	1
жанровое содержание	1	1
веские основания	1	1
с достаточной	1	1
лирических текстов	1	1
и состоит	2	1
содержанием анекдота	1	1
характера героя	1	1
и строго	1	1
качестве референтной	1	1
себя самого	1	1
события рассказывания	1	3
мире лкс	1	1
в сказании	3	3
[...] не	1	1
не на	2	1
я не	1	1
дифференцированном и	1	1
окказиональная случайностная	1	1
более не	1	1
не тождествен	1	1
здесь не	2	1
как представляется	1	1
общения в	1	2
каждый из	1	1
к жанровой	1	1
к лицу	1	1
той или	3	3
ни о	1	1
оно живет	1	1
и было	1	2
а о	1	2
следует мыслить	1	1
несет в	2	1
в выходе	1	1
глава перформативность	1	1
уводит от	1	1
отличие от	12	5
и собственно	1	1
оба они	1	1
речевой акт	1	2
и медитативный	1	1
и прежде	2	1
говоря уже	1	2
речевого акта	1	1
исключает возможность	1	1
для обозначения	1	3
свой анекдот	2	1
граница между	1	1
со стороны	10	7
мира в	3	3
то чтобы	1	1
сказания а	1	1
рассматривать как	1	2
генезис лирических	1	1
обращаясь к	1	1
дискурсный анализ	1	1
и точность	1	1
из субъекта	1	1
становления и	3	2
притчей о	1	1
наличие в	1	1
немногочисленных и	1	1
в частности	12	9
перед ним	1	1
с ценностным	1	1
лицу с	1	1
жанра не	1	1
не обладает	1	1
выходе за	1	1
автопрезентациями поскольку	1	1
памяти ивана	1	1
и даже	1	3
не было	3	7
монументальной историографии	1	1
значении термина	2	3
анекдот как	2	1
чтобы не	1	1
бытия а	1	1
иногда не	1	1
в своих	6	3
только в	3	7
и брань	1	1
в этой	4	2
о ней	1	1
так сказать	1	2
другой стороны	2	3
конкретного лица	1	1
или иного	2	1
первобытного человека	1	3
отношению к	4	9
он видел	1	1
идет о	2	1
т.е в	1	1
уже было	1	1
их жанровой	1	1
всяком случае	1	1
в романную	1	1
его с	1	1
притча осваивает	1	1
картина мира	4	3
к этому	4	2
обнаруживается в	1	1
жанровая форма	1	4
свершение в	1	1
к художественной	1	1
но для	1	1
высказывания в	1	6
гораздо менее	2	1
притчи в	1	2
для реализации	1	1
рода в	1	1
как в	8	10
рассказчика и	2	1
не случайно	1	1
городского фольклора	1	1
и не	15	11
