2gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_2gram
свою силу	1	1
все же	3	6
не вижу	2	1
воззрений на	1	1
по нашему	1	1
ко всей	2	1
между которыми	1	2
что развитие	1	1
связанных между	1	2
видов деятельности	1	1
в развитии	12	10
кроме того	1	1
мышлением и	3	2
иначе как	1	6
нашего исследования	8	5
отнести к	1	1
ключом к	2	2
и т	1	1
не является	9	3
до лет	8	1
в известном	2	2
то что	17	24
наряду с	1	2
из первых	1	1
несмотря на	2	2
мышления и	40	9
связи с	3	4
является наперед	1	1
между собой	5	6
то время	5	2
и той	2	2
как не	1	1
речи к	1	5
психологической природы	4	5
слово но	1	1
к эгоцентрической	1	3
пиаже в	6	3
взрослого для	1	1
и обобщения	3	1
и мысль	1	2
более сложным	1	1
совершенно иначе	1	1
речь есть	1	6
природы эгоцентрической	1	2
все более	3	1
когда готово	1	2
этом мы	1	1
это факт	1	1
возраста и	1	2
мы говорим	1	2
и речи	38	19
что внутренняя	1	5
и онтогенетического	1	1
из которых	3	2
случае становится	1	1
о происхождении	1	1
могут быть	3	2
это неизбежное	1	1
с психологической	2	1
море всех	2	1
связано с	2	1
деятельности ребенка	7	1
для старой	1	1
к пониманию	2	3
в значении	1	1
от значения	1	2
в его	14	4
данных о	1	1
происходит не	1	1
из этой	2	1
который проделывает	1	1
представляет в	1	1
который мы	2	2
мыслью и	7	6
еще в	1	1
во всей	4	2
что ее	1	2
исследователи пытались	1	1
противоречие между	1	2
к которым	1	1
по мере	4	7
друг по	1	1
не можем	1	4
в лет	4	2
исследования развития	1	1
так мы	1	1
всего развития	1	1
все больше	1	3
внутренняя речь	4	15
речью в	2	3
вовсе не	3	2
между двумя	2	3
кажется нам	1	1
к ним	1	1
про себя	2	1
поставить вопрос	1	1
эти структурные	1	3
за собой	2	1
из этого	5	2
бы прийти	1	1
бы в	5	5
ней с	1	1
одного предмета	1	1
в мышлении	1	2
от речи	2	8
сравнению с	5	8
обратный по	1	1
иначе чем	2	2
