3gram	Ircho_Komedia_partition_part1_wordlist_3gram	Ircho_Komedia_partition_part2_wordlist_3gram
на которые делилась	1	2
к этому времени	2	1
к дионисию фракийскому	1	1
не только в	1	1
и в тех	1	1
в афинах не	1	1
то ни было	2	2
едва ли можно	3	1
можно было бы	2	1
сделать вывод что	1	1
во всяком случае	2	2
все это время	1	1
в v в	4	1
для того чтобы	4	1
на протяжении всего	1	2
о том что	4	3
вместе с тем	4	1
в обоих случаях	2	1
поставленной одновременно с	1	1
в большинстве случаев	1	1
в том числе	3	1
еще в г	1	1
друг от друга	1	1
в первую очередь	3	2
более или менее	1	1
в свои руки	1	2
пять стихов из	1	1
на себя внимание	5	1
не говоря уже	2	2
марафоне и саламине	1	1
варварского бога трибалла	1	1
как видно из	1	1
iv в в	2	2
трети v в	1	2
во й половине	1	1
его комедий в	1	1
тех случаях когда	1	1
при всем том	1	1
в древней комедии	3	1
к тому что	2	1
в это время	2	1
но и в	1	2
тому же в	3	3
с известной долей	1	1
в г и	2	1
случаях речь идет	1	1
для этой цели	1	1
в комедии iv	1	1
из действующих лиц	1	2
для аттической комедии	1	1
в том что	5	9
в то время	3	5
может быть даже	1	2
последней трети v	1	2
н э однако	1	1
и мелкие землевладельцы	1	2
да и эта	1	1
представление о том	1	1
то же время	3	4
с достаточной долей	1	1
комедии и ее	1	1
современных ей политических	1	1
впрочем независимо от	1	1
и т п	2	5
и его современников	2	1
в годы пелопоннесской	1	3
в древних афинах	1	1
и к тому	1	1
тем не менее	1	1
я думаю что	1	1
в соответствии с	1	1
отрывки из комедии	1	1
в том же	1	1
по стилистическим признакам	1	1
бы то ни	2	2
в тех же	1	2
по отношению к	3	3
с другой стороны	1	5
была направлена одноименная	1	1
в отличие от	2	1
великих дионисий и	1	2
женщины в народном	1	1
рабовладельческой демократии в	1	1
в целом стало	1	1
в тех случаях	1	1
в своем сочинении	1	1
которые делилась аттика	1	2
и внутренней политики	1	1
ей политических деятелей	1	1
v начала iv	1	1
основную массу аттического	1	1
в драматическом искусстве	1	1
афинян по поводу	1	2
в той же	2	1
cgf i с	1	1
хоть и не	3	2
годы пелопоннесской войны	1	4
уже античная критика	1	1
не означает что	1	1
последних произведениях аристофана	1	1
две комедии под	1	1
что у него	2	1
средние и мелкие	1	2
добавим к этому	1	1
с одной стороны	2	3
до самого конца	1	2
в vii в	1	1
во второй половине	1	2
в ответ на	2	1
примеров может быть	1	1
в то же	3	4
из пирея в	1	1
к тому же	10	5
как мы видели	1	1
афинской демократии и	1	1
на ленеях г	1	1
ни в одном	1	1
празднества великих дионисий	1	1
со своей стороны	1	1
см ниже №	1	1
с самого начала	1	1
в v веке	1	1
а то и	1	2
на этот раз	4	1
поставленный на ленеях	1	1
той же комедии	1	1
до сих пор	2	2
значительное место в	1	1
едва ли не	5	3
то и вовсе	1	1
так или иначе	3	1
в истории мировой	1	1
воды похожи на	1	1
сплошь да рядом	1	1
в его комедиях	2	1
так как он	1	1
iii в н	1	1
речь идет о	2	3
отношения афин с	1	1
говоря уже о	2	2
древней аттической комедии	2	6
начала iv в	1	1
ленеях г и	1	1
после того как	2	3
в чем же	1	1
в каждой комедии	1	1
в афинах в	3	2
в силу этого	2	1
независимо от того	2	1
что он не	1	1
гг v в	1	1
как будто бы	1	1
при марафоне и	1	1
тексты менандра по	1	1
в н э	5	1
как он был	1	1
по своему происхождению	1	1
v в до	1	2
не в состоянии	1	2
десятилетия iv в	1	1
комедии iv в	5	1
то время как	2	4
в народном собрании	2	5
направлена одноименная комедия	1	1
лет спустя после	1	1
на великих дионисиях	1	1
по свидетельству афинея	1	1
в самом начале	2	1
обращает на себя	5	1
между небом и	1	1
обстоит дело с	1	1
всей последней трети	1	1
а может быть	1	1
дошедших до нас	1	3
может быть увеличено	1	1
внешней и внутренней	1	2
чуть ли не	2	1
в этой области	1	1
внешней политики и	1	1
небом и землей	1	1
и в том	1	1
до н э	1	2
к внутреннему миру	1	1
одна из них	1	1
наиболее яркий материал	1	1
время пелопоннесской войны	1	1
в этой же	1	1
число примеров может	1	1
политики афин в	1	1
массу аттического населения	1	1
