3gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_3gram
ту мысль что	1	2
в первом случае	3	1
анализа иначе говоря	1	1
ином отношении к	1	1
для того чтобы	8	14
все равно что	1	1
проблема обучения и	1	1
но с точки	1	1
умственном развитии ребенка	1	2
в частности научных	1	2
этой точки зрения	1	4
что иное как	1	1
на первый план	1	1
на самом деле	1	1
могли бы сказать	2	2
вопрос о том	1	3
известные нам факты	1	1
не только не	2	3
в наших опытах	1	1
этом и заключается	1	1
низший порог обучения	2	1
бы в специальном	1	1
самой своей природе	4	2
усваивает иностранный язык	1	1
усваивает слово цветок	1	1
с помощью которого	1	2
и образования научных	1	1
известного к неизвестному	1	1
путем проб и	1	1
не иначе как	4	2
той или иной	1	1
его и произвольно	1	1
мы могли бы	9	6
но уже из	1	1
в зависимости от	5	2
так что в	1	2
от того что	6	2
одного и того	4	3
с устной речью	1	1
в том смысле	2	1
новообразований школьного возраста	1	1
научные понятия и	1	1
развитием научных и	2	1
по своей психологической	1	2
так же точно	3	1
а потому что	1	2
между развитием научных	1	1
в том что	19	11
оказывается не в	1	2
ко всем остальным	1	1
ступень в развитии	4	2
иностранный язык в	1	1
тем что оно	2	1
сравнению с устной	1	1
к началу школьного	1	1
показывает что в	1	1
эту точку зрения	2	1
то что ребенок	6	3
что он упал	1	1
экспериментальных понятий к	2	1
слово цветок чем	1	1
совпадает с кривой	1	1
первого осмысленного слова	1	1
по своему значению	1	1
так же как	6	7
в отличие от	1	2
повторения или воспроизведения	1	1
в процессе развития	1	3
и письменной речи	2	4
ребенок приходит к	1	1
сдвига или смещения	1	1
проб и ошибок	1	1
развития родного языка	1	4
развития родного и	1	1
кроме того что	1	1
и неспонтанных понятий	1	1
с другом но	1	1
иное отношение к	2	3
протяжении школьного возраста	1	2
мы видим таким	1	1
оси основных новообразований	1	1
приводят нас к	1	1
всем протяжении школьного	1	1
на сегодняшний день	2	1
наши исследования показали	1	1
том числе и	1	1
обучении и развитии	1	1
житейских и научных	6	1
понятиями по самой	1	1
от всякого следа	1	2
два независимых друг	1	1
детской мысли в	1	1
одновременно из действия	1	1
проистекающих одновременно из	1	1
устной и письменной	2	3
отношение между обучением	1	1
понятий для того	1	1
в собственном смысле	1	1
таким образом мы	2	1
с самого начала	7	5
в самом деле	1	2
каждого отдельного ученика	1	1
осознанию и овладению	1	1
какие звуки он	1	1
в отношении понятий	1	3
обучения в развитии	1	1
путь от известного	1	1
основных новообразований школьного	1	1
склоняет и спрягает	1	2
отдает себе отчета	1	1
ребенка от того	1	1
с точки зрения	10	9
нам остается только	1	1
мышления и не	1	1
ряда соподчиненных понятий	1	1
осознанность и произвольность	2	2
но как раз	1	1
мы не можем	1	1
в этом смысле	2	1
частности научных понятий	1	1
иного отношения к	1	1
к другим понятиям	6	1
в силу этого	1	1
будет так же	1	1
системы научных понятий	1	1
сохраняет свою силу	2	1
в своем развитии	4	4
но мы знаем	1	1
родного языка и	3	4
иностранного языка и	1	1
это не имеет	1	1
но не может	1	1
ребенок к этому	1	1
общности между понятиями	14	2
в том какие	1	1
к реальным понятиям	2	1
и житейских понятий	5	4
не совпадает с	1	1
а научные понятия	1	1
в умственном развитии	1	2
очередь не может	1	1
потому и может	1	1
в большей мере	1	1
о том как	1	2
в отношении которых	1	1
отношений общности которые	1	1
не то что	1	3
только в отношении	1	1
заключается в том	5	5
и произвольные функции	1	1
в его сознании	1	1
требует от него	2	1
как показывает исследование	6	2
удалось установить в	2	1
это часто бывает	1	1
но в этом	1	1
отношение к предмету	2	1
оба эти вопроса	2	1
в процессе обучения	7	5
и что можно	1	1
и того же	4	3
он склоняет и	1	2
первостепенное значение для	1	1
отношения между обучением	1	2
а не как	1	1
данной ступени развития	1	1
ребенок усваивает в	1	1
высших психических функций	2	5
является то что	1	2
значений слов так	1	1
упал с велосипеда	1	2
его отношение к	2	2
точки зрения обоих	1	1
вокруг оси основных	1	1
те же самые	3	1
могли бы сейчас	2	1
отчета в том	1	2
как частный случай	3	2
и научные понятия	3	1
что иностранный язык	1	2
никак не может	1	1
от известного к	1	1
именно то что	1	1
и спонтанных понятий	2	1
могли установить что	1	1
если бы оно	2	1
восприятия и памяти	3	1
того что он	2	1
психологической точки зрения	1	1
языка тот не	1	1
же как и	1	1
но он не	1	4
развитием не только	1	1
развития научных понятий	5	2
в экспериментальном исследовании	1	1
на высшую ступень	2	5
развития в этом	1	1
для объяснения этого	1	1
силу одного того	1	1
от звучащей стороны	1	1
если бы ребенок	1	1
в развитии понятий	5	1
в свою очередь	1	3
спонтанных и неспонтанных	1	2
в силу одного	2	2
по отношению к	10	12
с другой стороны	2	2
значит что он	1	2
того что ребенок	1	1
иной акт схватывания	1	1
нашей рабочей гипотезы	1	1
могли бы установить	1	1
так и по	2	1
в сфере научных	1	1
ребенок раньше усваивает	1	1
их развития в	1	1
поэтому мы и	1	1
есть не что	1	1
это сказывается в	1	1
что он должен	1	1
и овладение ими	1	2
целый ряд особенностей	1	1
обучения для развития	1	1
влияние обучения на	2	1
что кто не	1	1
научных и житейских	5	4
самым тесным образом	1	1
в ином отношении	1	1
вместо того чтобы	2	3
объекту и иной	1	1
у него еще	1	1
между понятиями и	2	1
научных понятий мы	1	1
бы сказать что	2	1
друг к другу	3	1
того что оно	1	1
мы знаем что	3	1
по аналогии с	1	1
развития понятий в	1	1
том смысле что	2	1
он оказывается не	1	2
я делаю это	1	1
и той же	3	1
обучением и развитием	5	11
закон повторения или	1	1
и высший план	1	1
и в развитии	1	1
представляют собой два	1	1
развития мы не	1	1
том что в	1	2
ребенка в школьном	2	1
высших и низших	1	1
тот не знает	1	1
мысли в которой	1	1
закон сдвига или	1	1
на данной ступени	3	1
в другом случае	1	1
основным школьным предметам	1	2
на этот вопрос	2	4
является одним из	1	1
развития значений слов	3	1
иначе говоря мысль	1	1
научных понятий для	2	1
обучения и развития	5	11
иностранного языка в	1	1
обучение и развитие	4	8
житейские понятия ребенка	1	1
подобно тому как	1	4
что научные понятия	4	3
иностранного языка так	1	1
мы видели на	1	1
раньше усваивает слово	1	1
и переход к	1	1
иностранного языка на	2	1
обучения на развитие	2	1
одного того что	1	1
процессе обучения и	1	1
но он оказывается	1	1
исходит из того	1	1
между обоими этими	1	1
в известном отношении	1	1
то что он	2	2
и в другом	1	2
чем слово роза	1	2
развитием научных понятий	2	2
в дошкольном возрасте	3	2
надо сказать что	1	1
сказывается в том	1	1
были бы невозможны	1	1
мы поясним это	1	1
из того что	3	4
установить в отношении	2	1
в новой области	2	1
речи так же	1	1
всех высших психических	1	2
письменной речи в	1	3
но не осознает	2	1
не имеет места	1	1
письменной речи и	3	2
предметом психологического исследования	1	1
друг с другом	5	7
не знает ни	1	1
и то что	2	2
в которой он	1	1
относится всецело и	1	1
в том числе	1	1
и спрягает но	1	1
мы показали выше	1	1
умственного развития ребенка	2	5
друг от друга	1	4
потому что в	1	2
ответить на этот	1	1
означает в сущности	1	2
те и другие	1	1
в голове каждого	1	1
слово потому что	2	1
становится понятным почему	1	1
ни одного иностранного	1	1
в основе этого	2	1
развитие тех и	1	1
стороны речи и	1	2
что у ребенка	1	2
включает в себя	1	2
своем развитии и	1	1
к тому что	7	1
одной и той	3	1
должны быть неосознаны	1	1
самого начала что	2	2
так как она	1	2
показывает исследование не	1	1
показать что все	2	1
не отдает себе	1	2
по сравнению с	14	5
и не может	2	2
не что иное	1	1
представленный в нем	1	1
только в пределах	1	2
себе отчета в	1	1
мы не станем	2	2
определенных отношениях общности	1	1
тот момент когда	1	2
что он может	1	2
поясним это на	2	1
через другие понятия	1	1
воспроизведения на высшей	1	1
в их развитии	1	1
но вместе с	1	1
голове каждого отдельного	1	1
что вместе с	1	1
усвоение иностранного языка	8	3
в связи с	2	1
именно в школьном	1	1
именно потому что	2	2
требует от ребенка	1	1
ту же самую	2	1
совершенно очевидно что	2	1
сам по себе	1	1
связей и отношений	1	3
говоря мысль ребенка	1	1
из действия и	1	1
вообще не может	1	2
эти же самые	1	1
что представляет собой	1	2
на всем протяжении	1	2
вместе с этим	1	1
там где они	2	1
и развития мы	1	1
письменная речь в	1	1
именно в этом	2	2
и научных понятий	7	2
оба эти процесса	1	1
в чем заключается	1	1
же самые особенности	1	1
о таких вещах	1	1
кто не знает	1	1
с одной стороны	1	3
когда ребенок усваивает	1	1
как это часто	1	1
иностранного языка тот	1	1
новый и высший	1	1
идет впереди развития	1	1
в этом отношении	3	5
приходит к осознанию	2	1
как мы видели	4	2
понятия потому что	1	1
к совокупности установок	1	1
что с помощью	1	1
то в чем	5	1
и т.д и	1	2
и по отношению	1	1
потому что эта	1	1
стоит в начале	1	1
одного иностранного языка	1	1
или письменная речь	1	1
собой ничего общего	1	1
чем к мысли	1	1
за пунктом уже	1	1
есть в сущности	1	1
как мы показали	1	1
этих феноменов и	1	1
о чем мы	1	1
случай более общего	1	1
и различия в	1	1
житейских понятий и	1	2
в направлении к	1	1
что ребенок в	3	1
смысле можно сказать	1	1
к мысли взрослого	1	1
через другие прежде	1	1
один и тот	1	3
культурного развития ребенка	1	1
ребенок в школе	1	1
в этом и	1	1
более сложных отношений	1	1
только в школьном	1	1
в состоянии выполнить	1	1
своей психологической природе	1	2
развития ребенка мы	1	1
в лучшем случае	1	3
мы можем говорить	1	2
по самой своей	4	2
только в том	1	1
в этот период	1	2
что спонтанные понятия	1	1
исследования показали что	3	4
не в состоянии	2	4
совершенно так же	1	1
то время как	5	4
процесса образования понятий	1	1
по мере развития	1	1
оказать свое влияние	1	1
развитие письменной речи	1	1
старая психология исходила	1	1
и в житейском	1	1
с этой точки	1	4
не может быть	2	3
мысли взрослого которая	1	1
всего сказанного выше	1	1
состоит в том	2	3
это на примере	1	1
это общий закон	1	1
в этой области	2	1
понятий и что	1	1
ближайшего развития и	2	1
на отдельные звуки	1	1
высшая ступень в	1	1
же самое что	1	2
в нашем исследовании	1	1
научные понятия не	1	1
особенностей детской мысли	1	1
психология исходила из	1	1
научных понятий предполагает	1	1
в старой психологии	1	1
понятий таким образом	1	2
этих предметов в	1	1
цветок чем слово	1	1
не могут быть	2	1
чтобы ответить на	1	1
научные понятия просто	1	1
можно было бы	5	3
что содержится в	1	2
не может не	1	1
свою очередь не	1	2
системе отношений общности	2	2
школьного возраста в	1	1
что происходит в	1	1
ступени в развитии	2	2
к одному и	1	2
вместе с тем	2	2
в этом случае	2	3
научные понятия по	1	1
высшую ступень в	1	2
отношение к объекту	2	5
и мышления и	1	1
отношений общности между	10	1
и своего собственного	1	1
в первую очередь	3	1
в системе понятий	1	2
таким образом что	1	2
чем перейти к	1	1
на примере письменной	1	1
в школьном возрасте	8	18
целиком и полностью	2	2
то и другое	1	2
видели на примере	1	1
же как алгебра	1	1
детской мысли ее	1	1
в этом пункте	1	1
сказать что усвоение	1	2
того факта что	1	2
как показывают исследования	1	2
связи и отношения	1	2
в этой сфере	1	1
ребенок усваивает иностранный	1	1
звучащей стороны речи	1	2
время как в	1	1
и развитием не	1	1
то обстоятельство что	1	2
что именно в	1	1
образования научных понятий	1	1
пиаже ссылается на	1	1
ничего другого как	1	1
и их развития	1	1
в то время	6	4
совокупности установок проистекающих	1	1
отношение к другим	3	1
к выводу что	1	1
после всего сказанного	1	1
вперед по сравнению	1	2
в развитии ребенка	1	1
связаны между собой	1	3
у ребенка в	1	1
тем не менее	1	1
понятий и их	1	1
понятия по самой	1	1
эта точка зрения	1	2
в раннем детстве	1	1
в том же	2	1
на пишущей машинке	1	1
понятий в школьном	2	3
при переходе от	5	1
в этом заключается	2	1
в равной мере	1	1
он упал и	1	1
сущности говоря только	1	1
примере письменной речи	1	1
мы можем установить	1	1
исследование показывает что	5	3
во всех областях	1	1
научное понятие в	1	1
что обучение и	2	3
что усвоение иностранного	2	1
новая структура обобщения	3	1
природе спонтанных понятий	1	1
не только по	1	1
смысле этого слова	1	1
школьного возраста и	1	1
так и здесь	1	1
потому что но	1	1
но и по	1	1
в скрытом виде	2	1
с велосипеда потому	1	2
а не на	1	1
научных понятий в	5	3
тех и других	5	1
спонтанные и научные	1	1
связанными между собой	1	1
можно сказать что	6	5
что ребенок умеет	3	1
школьном возрасте и	1	1
зоны ближайшего развития	6	1
и тот же	1	3
того объяснения которое	1	1
он не умеет	3	2
собственном смысле слова	1	1
велосипеда потому что	1	3
принять во внимание	2	1
может быть понято	1	1
независимых друг от	1	1
он мог бы	2	1
она исходит из	1	1
знает ни одного	1	1
звуки он произносит	1	1
от друга процесса	1	1
потому что он	4	5
у ребенка не	2	1
тех или иных	1	1
между обучением и	5	12
до сих пор	3	3
осознанные и произвольные	1	1
к объекту и	3	1
прежде чем перейти	1	1
ничего общего с	1	2
понятия к объекту	4	1
что совершается в	1	1
это и значит	1	1
частный случай более	2	1
видим таким образом	1	1
научными и житейскими	1	2
в сущности говоря	4	4
независимо от того	2	1
что он не	1	2
что всякое понятие	2	1
исследованию реальных понятий	2	1
том какие звуки	1	1
вызывая в нем	1	1
силу одного этого	1	1
в определенной ситуации	1	1
если верно что	2	2
развитие иностранного языка	4	1
в тот момент	1	2
то же самое	6	4
в этом возрасте	3	4
более общее чем	1	1
и житейскими понятиями	1	2
всякого научного понятия	1	1
и иной акт	1	1
прежде выработанные понятия	1	1
не тому что	1	1
пункт за пунктом	1	1
усваивает родной язык	1	1
установок проистекающих одновременно	1	1
в развитии и	2	1
развития в школьном	1	2
сила и слабость	1	1
научных понятий которые	1	1
один из них	1	1
и тем самым	5	1
между собой ничего	1	1
всецело и к	1	1
каждого отдельного понятия	2	1
к этому возрасту	1	1
но мы должны	1	1
