2gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part2_wordlist_2gram	Tiupa_HudozhestvennostChehovskogoRasskasa_partition_part1_wordlist_2gram
и тех	1	3
все же	3	2
одних и	1	1
его в	3	2
времени и	1	1
такова что	1	2
и хорошо	1	1
из нас	3	2
по нашему	2	1
и ей	2	3
не следует	2	1
ему самому	1	1
бытия как	1	2
личное существование	1	1
сути дела	1	1
никого не	1	2
бытия эти	1	1
было видно	2	2
н сухих	3	1
с покоем	1	1
думать о	2	1
в значительной	2	1
между я	1	1
обычно у	1	1
мысли о	2	2
концепции личности	5	2
даже в	3	1
интерес к	5	1
драматизм и	1	1
о которой	1	2
и к	4	2
конечном счете	2	3
к другому	4	1
на рассказе	1	1
в магнитном	1	1
диаметрально противоположны	2	1
как о	1	3
мы читаем	2	2
в город	1	1
таком случае	1	1
не хотелось	1	2
городе с	5	1
от нее	1	1
которые говорили	1	1
его и	1	2
так и	13	8
личным счастьем	1	1
согласия между	1	1
чем не	1	1
в другой	1	1
и т	11	4
в ялтинских	1	1
глава рассказа	1	1
когда мы	1	1
в городе	5	4
подробнее на	1	1
и у	1	2
как было	1	1
личности с	1	2
еще и	1	2
ориентации на	1	1
один и	1	1
в камянов	1	2
на свой	1	2
тем самым	1	2
самостоятельной позиции	1	1
то что	8	6
этой жизни	1	1
но как	2	1
видит себя	3	1
не как	1	2
с гуровым	3	1
так а	1	1
и от	4	2
художественности и	1	1
никак не	2	1
чеховского художественного	1	1
с собачкой	8	9
выражению в	1	1
ее глубокой	1	1
в г	1	2
напомним что	2	1
об одном	2	1
все его	1	3
в одном	1	3
рассказа что	1	1
несмотря на	4	3
той же	2	2
характерное для	1	1
мышления и	2	1
от себя	2	1
иначе говоря	2	1
та же	4	2
собачкой и	2	1
если бы	3	6
не любит	1	1
в самую	1	1
его личность	1	1
человека она	2	1
участие в	2	1
что в	6	5
его характер	2	1
зрелого периода	5	1
нас в	1	1
не узнаем	1	1
однако в	2	2
в ялте	6	4
друг от	1	1
в начале	2	1
творчества чехова	1	1
а как	1	2
о самом	1	1
за ним	2	1
личного бытия	1	3
как раз	4	4
в своей	10	6
следующей фразой	1	1
то сарказм	1	1
о личной	1	2
все в	1	1
к числу	1	2
в основе	1	2
