3gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_3gram
не только в	2	1
на кавказе и	1	3
то ни было	3	1
одному тому что	1	1
пока только еще	1	1
можно было бы	3	1
у нас и	1	2
во всяком случае	6	2
но еще и	1	1
также и то	4	2
для того чтобы	1	2
совершенно никак не	1	1
необходимо сказать что	2	4
о том что	3	9
на то что	1	2
личной и общественной	1	1
тоже представляет собою	1	1
и то что	7	3
этой точки зрения	2	1
что иное как	4	3
начала до конца	1	1
это уже не	2	2
мы должны сказать	3	1
если не считать	1	1
на самом деле	2	1
не менее в	1	1
это и есть	1	1
как раз и	4	1
а еще и	1	1
потому что они	2	2
никак не может	2	2
обратить внимание на	1	3
в результате этого	1	1
должны сказать что	3	1
а вовсе не	2	1
то и другое	1	2
и потому что	1	1
той или иной	8	1
таким образом если	1	1
мы могли бы	3	1
мы находим у	1	1
одним и тем	1	1
тот факт что	1	1
то есть с	2	1
по себе а	3	1
и в этом	6	1
и в его	3	1
в том смысле	3	1
от того что	1	1
со всей его	1	1
на первый взгляд	2	1
не просто о	1	1
точки зрения в	1	1
чем иным как	1	2
но и в	2	2
то обстоятельство что	1	1
и в частности	2	3
не что иное	4	3
по одному тому	1	1
в том что	9	8
в то время	4	3
но это не	1	1
имеет некоторого рода	1	1
смысле слова но	1	1
еще и потому	1	1
ничего общего не	1	1
и все же	1	1
и не в	1	2
имеется в виду	4	1
нам представляется что	1	1
хотя и не	2	1
которая может быть	1	1
да и то	2	1
тем не менее	10	5
только тем что	1	1
доходит до того	1	1
но даже и	4	2
и как бы	2	1
в связи с	7	7
по крайней мере	5	4
равно как и	1	2
то есть в	3	1
бы то ни	4	2
с другой стороны	5	5
сам по себе	6	1
никогда и не	1	1
когда он сначала	1	1
от этого брака	1	1
до некоторой степени	1	4
мы находим в	2	2
с большим трудом	1	1
том что он	1	2
в бесконечный ряд	7	2
уже не просто	1	1
вовсе не в	2	1
в нем не	1	1
в те времена	1	2
в данном случае	7	2
что здесь является	1	1
то есть символом	1	1
бросается в глаза	1	1
то ни стало	1	1
то что и	1	1
как и вообще	1	1
то есть он	2	1
он вовсе не	1	1
и то и	1	1
так и в	1	1
же в конце	1	1
можно сказать что	2	3
с одной стороны	1	3
который мы выше	1	1
или по крайней	4	1
в то же	4	1
все же не	1	3
только в связи	1	1
к тому же	1	1
уже не в	1	1
если мы будем	1	1
точно так же	3	3
порождает из себя	1	1
только потому что	2	1
все эти мифологические	1	1
как некоторого рода	1	1
тут же оказывается	1	1
в виду не	1	1
том смысле что	3	1
и никогда не	1	2
в самом деле	1	1
потому что он	4	2
хотя и в	1	1
тех или иных	4	2
что бы то	1	1
до сих пор	2	2
сама по себе	8	1
уже по одному	1	1
в таком случае	4	2
так или иначе	1	1
можно ли в	1	1
дело в том	3	2
с точки зрения	2	8
в этом стихотворении	2	2
то или иное	2	1
и тем же	1	1
только о том	2	1
дня и ночи	1	1
такого же рода	2	2
потому что оно	1	1
сказать что здесь	1	1
содержит в себе	3	1
что у человека	2	1
тому что в	1	1
ни о каком	2	1
как будто бы	3	3
и состоит из	1	1
вовсе и не	1	1
необходимо обратить внимание	1	1
не просто художественное	1	1
образом как и	1	1
остается на месте	1	1
ни в чем	2	1
остается для нас	1	1
в конце концов	3	6
но и о	1	2
крайней мере в	1	1
то время как	4	3
том что и	1	1
здесь перед нами	2	1
это возможно было	1	1
здесь не в	3	1
в настоящее время	2	3
ли в таком	1	1
во что бы	1	1
только и состоит	1	1
с начала до	1	1
указывает на то	1	1
с этой точки	1	1
не может быть	5	2
не чем иным	1	2
не то чтобы	1	1
для нас не	3	2
то есть на	1	1
общего не имеет	1	1
о том как	2	1
другой стороны это	1	1
и т д	13	1
если не прямо	1	2
все такого рода	2	1
ту или иную	1	1
в чем не	2	1
а именно что	1	1
только тогда когда	1	3
в понятии символа	1	1
нет совершенно ничего	1	1
связи с теми	1	1
мы находим и	1	2
в сравнении с	2	3
