3gram	Tiupa_AnalitikaHudozhestvennogo_partition_part3_wordlist_3gram	Tiupa_AnalitikaHudozhestvennogo_partition_part1_wordlist_3gram
не только в	1	1
в первом случае	2	1
не могут быть	2	1
субъекта и адресата	1	1
благословение и мешок	1	1
в частности ни	1	1
этого слова как	1	1
во всяком случае	1	2
так и не	1	5
в той или	3	1
в том чтобы	7	1
стороны коммуникативного события	1	1
и того же	2	3
для того чтобы	3	1
дело не с	1	1
ивана петровича белкина	1	8
о том что	3	5
мы имеем дело	4	4
что иное как	5	1
эстетического отношения не	1	1
между тем как	1	1
в полной мере	3	1
как и в	1	4
в станционном смотрителе	1	4
здесь мы имеем	1	1
дело не в	1	1
значении этого слова	6	1
а не с	1	1
не говоря уже	1	1
евангелия от луки	1	1
в частности как	1	1
той или иной	6	3
и соответствующую ей	1	1
не будет никогда	1	2
в свое время	2	2
далеко не всегда	2	1
в зависимости от	1	1
участников коммуникативного события	1	3
одного и того	2	3
со стороны адресата	1	2
лишь в том	3	1
представляет собой один	1	1
присутствия я в	1	3
одной и той	1	2
и в сущности	1	1
на заключительной стадии	1	1
собой один из	1	1
как уже говорилось	1	1
в этом ряду	2	2
и мешок с	1	1
не что иное	4	1
на наш взгляд	6	2
что не есть	1	1
в том что	9	7
в особенности же	1	1
идентификации повести покойного	1	1
был мертв и	1	1
искушений и испытаний	1	1
имеем дело уже	1	1
и все же	2	1
то же время	6	3
же время они	1	1
а в качестве	1	1
колпаке и шлафорке	1	1
старик в колпаке	1	1
в этой части	1	1
все того же	1	1
и как бы	1	1
в связи с	1	1
в равной степени	2	1
кто говорит и	1	2
во втором случае	1	1
по крайней мере	1	4
в свою очередь	1	4
художественного целого в	1	1
по отношению к	5	7
в конечном счете	4	2
почтенный старик в	1	1
целостности человеческого я	1	1
с другой стороны	2	5
художественное целое как	1	1
сам по себе	1	1
в отличие от	6	2
при этом как	1	2
текста в качестве	2	1
в отдельных случаях	1	1
я в мире	1	2
произведение искусства является	1	1
том что он	2	2
до тех пор	1	1
в данном случае	2	3
повести покойного ивана	1	3
составляет своего рода	2	1
именно в этом	2	1
в чужой стране	1	1
есть не что	3	1
в основе своей	2	1
и т.д в	1	1
как было показано	1	1
произведения в его	2	1
не сводится к	2	1
при обращении к	1	1
с одной стороны	3	2
как бы не	1	1
состоит лишь в	1	1
на себя конструктивную	1	1
в колпаке и	1	2
и тот же	1	1
в то же	8	3
предмет научной идентификации	1	1
факторов художественного впечатления	5	1
в этом отношении	2	3
состоит не в	1	1
к тому же	4	3
который поспешно принимает	1	1
как предмет научной	1	1
присутствия в мире	1	1
и как говорит	1	1
принимает на себя	1	1
того или иного	3	1
коммуникативного события как	1	1
самого произведения в	2	1
в известном смысле	1	1
но и как	1	1
и той же	1	2
данного художественного целого	3	1
в самом деле	2	1
в коммуникативной ситуации	1	1
в произведении искусства	3	1
случае мы имеем	1	1
как и сам	1	1
по природе своей	2	1
до сих пор	1	1
фиксации и систематизации	1	1
по этому пути	1	1
текста с художественным	1	1
в таком случае	3	1
как нам представляется	1	2
с точки зрения	4	2
креативная и рецептивная	2	1
между которыми располагается	1	1
говоря уже о	1	1
до полного текста	1	1
по этой причине	1	1
в этом смысле	1	1
один и тот	1	1
произведения как единого	1	1
в сущности говоря	1	1
при известии о	1	1
тогда как сам	1	1
говорит и как	1	1
научной идентификации повести	1	1
текста в случае	1	1
по своей природе	1	1
поскольку произведение искусства	1	1
может быть признано	1	1
подобно тому как	3	2
здесь как и	1	1
мысль о том	1	1
как если бы	1	1
не может быть	16	1
не в том	3	1
данного коммуникативного события	1	1
коммуникативного события что	1	1
в новом качестве	1	1
не столько в	1	1
но в таком	1	1
из евангелия от	1	2
петровича белкина изданные	1	3
мешок с деньгами	1	1
как и от	1	1
белкина изданные а.п	1	3
мертв и ожил	1	1
между тем в	1	1
не более чем	4	2
имеем дело с	3	1
покойного ивана петровича	1	4
а с другой	1	1
в глубине души	1	1
