3gram	Tiupa_AnalitikaHudozhestvennogo_partition_part1_wordlist_3gram	Tiupa_AnalitikaHudozhestvennogo_partition_part3_wordlist_3gram
не только в	1	1
в первом случае	1	2
не могут быть	1	2
субъекта и адресата	1	1
благословение и мешок	1	1
в частности ни	1	1
этого слова как	1	1
во всяком случае	2	1
так и не	5	1
в той или	1	3
в том чтобы	1	7
стороны коммуникативного события	1	1
и того же	3	2
для того чтобы	1	3
дело не с	1	1
ивана петровича белкина	8	1
о том что	5	3
мы имеем дело	4	4
что иное как	1	5
эстетического отношения не	1	1
между тем как	1	1
в полной мере	1	3
как и в	4	1
в станционном смотрителе	4	1
здесь мы имеем	1	1
дело не в	1	1
значении этого слова	1	6
а не с	1	1
не говоря уже	1	1
евангелия от луки	1	1
в частности как	1	1
той или иной	3	6
и соответствующую ей	1	1
не будет никогда	2	1
в свое время	2	2
далеко не всегда	1	2
в зависимости от	1	1
участников коммуникативного события	3	1
одного и того	3	2
со стороны адресата	2	1
лишь в том	1	3
представляет собой один	1	1
присутствия я в	3	1
одной и той	2	1
и в сущности	1	1
на заключительной стадии	1	1
собой один из	1	1
как уже говорилось	1	1
в этом ряду	2	2
и мешок с	1	1
не что иное	1	4
на наш взгляд	2	6
что не есть	1	1
в том что	7	9
в особенности же	1	1
идентификации повести покойного	1	1
был мертв и	1	1
искушений и испытаний	1	1
имеем дело уже	1	1
и все же	1	2
то же время	3	6
же время они	1	1
а в качестве	1	1
колпаке и шлафорке	1	1
старик в колпаке	1	1
в этой части	1	1
все того же	1	1
и как бы	1	1
в связи с	1	1
в равной степени	1	2
кто говорит и	2	1
во втором случае	1	1
по крайней мере	4	1
в свою очередь	4	1
художественного целого в	1	1
по отношению к	7	5
в конечном счете	2	4
почтенный старик в	1	1
целостности человеческого я	1	1
с другой стороны	5	2
художественное целое как	1	1
сам по себе	1	1
в отличие от	2	6
при этом как	2	1
текста в качестве	1	2
в отдельных случаях	1	1
я в мире	2	1
произведение искусства является	1	1
том что он	2	2
до тех пор	1	1
в данном случае	3	2
повести покойного ивана	3	1
составляет своего рода	1	2
именно в этом	1	2
в чужой стране	1	1
есть не что	1	3
в основе своей	1	2
и т.д в	1	1
как было показано	1	1
произведения в его	1	2
не сводится к	1	2
при обращении к	1	1
с одной стороны	2	3
как бы не	1	1
состоит лишь в	1	1
на себя конструктивную	1	1
в колпаке и	2	1
и тот же	1	1
в то же	3	8
предмет научной идентификации	1	1
факторов художественного впечатления	1	5
в этом отношении	3	2
состоит не в	1	1
к тому же	3	4
который поспешно принимает	1	1
как предмет научной	1	1
присутствия в мире	1	1
и как говорит	1	1
принимает на себя	1	1
того или иного	1	3
коммуникативного события как	1	1
самого произведения в	1	2
в известном смысле	1	1
но и как	1	1
и той же	2	1
данного художественного целого	1	3
в самом деле	1	2
в коммуникативной ситуации	1	1
в произведении искусства	1	3
случае мы имеем	1	1
как и сам	1	1
по природе своей	1	2
до сих пор	1	1
фиксации и систематизации	1	1
по этому пути	1	1
текста с художественным	1	1
в таком случае	1	3
как нам представляется	2	1
с точки зрения	2	4
креативная и рецептивная	1	2
между которыми располагается	1	1
говоря уже о	1	1
до полного текста	1	1
по этой причине	1	1
в этом смысле	1	1
один и тот	1	1
произведения как единого	1	1
в сущности говоря	1	1
при известии о	1	1
тогда как сам	1	1
говорит и как	1	1
научной идентификации повести	1	1
текста в случае	1	1
по своей природе	1	1
поскольку произведение искусства	1	1
может быть признано	1	1
подобно тому как	2	3
здесь как и	1	1
мысль о том	1	1
как если бы	1	1
не может быть	1	16
не в том	1	3
данного коммуникативного события	1	1
коммуникативного события что	1	1
в новом качестве	1	1
не столько в	1	1
но в таком	1	1
из евангелия от	2	1
петровича белкина изданные	3	1
мешок с деньгами	1	1
как и от	1	1
белкина изданные а.п	3	1
мертв и ожил	1	1
между тем в	1	1
не более чем	2	4
имеем дело с	1	3
покойного ивана петровича	4	1
а с другой	1	1
в глубине души	1	1
