2gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram
и сами	1	2
все же	2	6
его в	2	3
и весьма	2	1
и общества	1	2
необходимо чтобы	1	1
вся эта	2	3
символ и	8	18
только художественный	1	1
которые находятся	1	1
к какому	1	2
это вовсе	1	4
но тогда	1	3
кроме того	4	3
некоторого рода	2	10
выделить в	1	1
с бесконечным	1	1
чем не	1	3
и т	4	13
не является	10	11
и у	1	2
всяком художественном	1	1
в известном	2	2
то что	15	23
взятый сам	2	2
с понятием	1	3
той общности	1	1
его как	1	3
дело вовсе	1	2
отвлечься от	1	1
что мифологический	1	1
исключительно в	1	1
все его	1	1
тому же	2	1
нет никакой	4	1
на отдельные	1	2
несмотря на	4	1
нет никакого	3	4
связи с	3	8
же деле	2	4
действительность кроме	1	1
то время	2	4
между собой	2	1
как известного	1	1
ни сама	1	1
не всякий	3	1
он является	1	3
однако в	2	2
по волнам	1	1
не аллегория	2	1
на первый	1	4
другими соседними	1	1
только метафора	1	1
всего этого	1	1
этом мы	2	1
но символ	1	1
мы скажем	1	2
никто не	2	2
из которых	3	2
не есть	12	35
образная идейность	1	3
художественным образом	3	7
могут быть	1	2
произведения искусства	2	1
но никак	2	3
сказать о	3	1
и значит	1	1
в его	3	9
все равно	3	3
символа с	1	5
и прочие	1	1
и может	2	2
символики и	2	1
тип но	1	1
значимости но	1	1
который мы	1	1
да и	5	5
типом или	1	1
есть только	2	4
отличается и	1	1
эта картина	1	2
от аллегорической	1	1
сам предмет	1	1
что животные	1	1
пушкина только	1	1
были бы	3	2
вовсе не	21	37
символа от	2	2
же тут	1	1
ради которого	1	1
виде и	2	3
стороны это	1	1
ни было	2	3
из этого	3	3
единичностей которые	1	1
в символе	6	13
даже если	3	2
бы в	1	2
ни о	4	3
и нет	1	2
других знаков	1	1
сравнению с	1	2
перестал бы	1	1
символ потому	1	2
самой структуре	1	1
медного всадника	3	1
ни аллегорией	1	1
как предмет	2	1
на нечто	2	3
от символа	4	4
пушкиным и	1	1
натурального ряда	1	2
другой стороны	6	5
самый настоящий	2	3
живые существа	1	1
больше ничего	2	2
к выводу	1	1
то и	5	5
свидетельствует о	2	1
и поскольку	1	1
явления природы	1	1
по-человечески говорят	1	1
символа в	6	3
и все-таки	1	1
но для	1	1
и сама	3	2
говорит не	1	1
и не	28	35
действительности мы	2	1
или тип	1	1
со всеми	2	1
таким образом	8	9
по своему	6	2
символе и	1	2
связанные с	1	1
тем что	3	4
одно и	1	3
с теми	1	2
слова ни	1	1
отвлеченным понятием	1	1
и общественной	1	1
это общее	1	1
другие структурно-семантические	2	1
все эти	16	7
только путем	1	3
есть он	1	2
в общую	1	2
в данном	6	9
оказывается не	1	1
петра i	1	3
в литературе	2	1
вообще говоря	1	1
т д	3	13
мы находим	2	7
что является	1	2
на его	2	1
хотя часто	1	1
математики и	3	2
мы считаем	1	1
по образцу	1	1
и этот	3	1
перед нами	13	8
говорили выше	1	1
и прочих	2	1
в сравнении	2	2
сами по	2	6
до конца	1	1
особенно важно	2	1
сливаются в	3	1
отличается от	4	4
чисто художественные	1	1
в войне	1	1
понятия символа	9	1
как принцип	1	1
первый взгляд	1	2
сейчас и	1	1
символ первой	1	3
бы его	1	1
отражение действительности	5	1
дело в	2	4
поэтому и	1	2
вообще как	1	1
в своем	3	5
в нашем	12	5
и без	6	4
на сцене	1	1
конструирования но	1	1
по крайней	6	5
не являются	2	2
для писателя	1	1
как и	6	10
абстрактного понятия	3	1
или что	1	1
воздействовать на	1	2
но чисто	1	1
есть также	1	2
каком случае	3	2
поэтому в	1	1
не скажет	1	1
на более	1	1
конца xix	1	2
и в	20	44
даже ее	1	1
получает свое	1	1
но не	5	3
порок добродетель	1	1
взятый в	1	3
для нас	6	16
мы сказали	1	1
художественной метафорой	1	1
как знак	4	1
бы он	1	1
и об	1	1
ни только	2	2
ее отражение	1	1
с этим	4	2
действительность не	1	1
каждый такой	1	1
но это	6	8
художественная образность	3	5
сама вещь	1	1
символ но	5	3
когда он	1	2
же в	4	3
есть сама	1	1
произведением но	1	1
назвать символом	1	1
в заключение	1	3
это не	7	9
моделью для	2	3
и образ	4	2
художественной образности	2	4
здесь в	5	3
а если	3	1
в реализме	1	1
этого необходимо	1	2
это значит	10	4
модели и	1	2
общее и	3	6
бы нам	1	1
бы быть	2	3
более или	2	1
казалось бы	3	1
не обязательно	2	2
прежде всего	11	3
указывает на	4	7
общего ни	2	1
символа а	1	1
здесь нам	1	1
одно нераздельное	5	1
смысл этого	1	1
характером и	1	1
это тоже	1	2
хотели бы	2	1
как символ	6	1
подлежащая разложению	1	1
чем сам	1	1
в результате	8	2
они слишком	1	1
возникает только	1	1
не к	2	1
здесь картина	1	1
есть такое	1	3
перестает быть	2	1
есть именно	2	5
не что	2	4
здесь перед	5	2
стало для	1	1
с этой	1	3
самого себя	1	3
бесконечного ряда	8	1
об этом	6	3
неделимое на	1	1
в образе	1	1
сам этот	1	1
даже просто	1	2
под него	2	4
художественного образа	3	12
чистом виде	2	2
каждой из	2	1
а только	6	5
поскольку в	1	1
в первую	1	3
действительность однако	1	1
жизни вообще	1	1
не хотел	2	1
при условии	2	2
мы называем	1	1
медном всаднике	1	1
якова в	3	1
и есть	4	5
едва ли	10	5
самом деле	3	3
самом же	2	4
хотя и	5	5
представляется в	1	1
свойственная ему	1	1
то же	7	13
если только	1	1
так то	1	1
другими словами	3	6
художественные символы	1	2
нельзя сказать	1	2
нечего и	1	1
другое дело	2	2
значение и	1	5
поскольку эти	1	1
в чистом	2	3
говорят о	1	3
европу прорубить	1	1
самыми разнообразными	1	1
обращать на	1	1
категории в	2	1
то более	3	1
что символ	4	6
специального назначения	2	1
настоящий символ	1	2
слова символ	1	1
действительности а	1	1
ряд и	1	2
к этой	1	1
самодовлеющего созерцания	1	2
тургенева и	1	1
символа как	4	1
себе как	1	3
там и	1	3
и поэтому	1	1
ясно что	7	6
то тем	1	1
с точки	11	2
же и	3	4
можно только	2	1
бесконечный ряд	16	8
тезис о	1	1
на действительность	1	2
ли кто-нибудь	2	1
всех прочих	1	1
оно стало	1	1
скажет что	1	4
и чистая	1	1
аллегория поскольку	1	1
представляется что	2	1
но в	8	12
в контексте	1	2
всякого рода	3	4
не имеет	4	9
басенной общности	1	1
художественные образы	9	2
сих пор	1	2
если и	3	1
тоже будет	1	1
жизнь и	4	2
тем не	10	10
не значит	1	3
которого он	1	1
символ есть	6	5
или образная	1	3
о которых	2	3
от какой-нибудь	1	1
а потом	1	1
в другом	3	2
стремящихся к	1	1
эмблема есть	1	2
в котором	2	2
для него	3	3
да еще	1	2
бы даже	4	1
д и	1	4
другой и	2	1
совсем не	1	2
модель для	2	2
школьной логики	1	1
число в	1	1
можно было	4	4
и это	2	9
мы его	2	1
мы сейчас	3	2
кроме себя	1	1
идеи с	1	1
действительности но	1	2
просто тип	1	2
ничего общего	5	7
отношений но	1	1
указывает ни	1	2
символом то	1	1
так называемая	2	1
и непосредственно	2	1
от аллегории	1	2
самому предмету	1	1
и образная	1	1
уж во	2	3
и далее	1	1
таком понимании	1	1
от нее	1	1
от мифа	1	1
том виде	2	2
рисуется в	1	1
не чисто	1	1
уже давно	4	1
когда мы	5	15
еще и	3	7
аллегория ни	1	1
и от	6	9
часто и	1	1
пожалуй даже	1	1
сейчас мы	1	2
эти мифологические	1	1
десятичных знаков	2	1
в одном	4	1
очень художественной	1	2
иное как	2	4
себя не	1	2
символ если	1	2
в начале	3	2
о самом	1	1
писателя и	1	1
что дело	1	2
и больше	2	3
бы и	3	1
в той	8	3
себе в	3	1
прочих структурно-семантических	1	1
рода эмблемы	1	1
самого предмета	1	1
и все	8	3
разлагается в	2	2
в смысловом	2	1
которое указывает	1	1
человеческой жизни	5	2
вполне имманентна	1	1
представляет собою	1	1
мы только	2	2
и о	5	5
жизни и	5	6
еще только	2	1
но отнюдь	1	1
в них	5	1
как функцию	1	1
и ни	5	3
очень слабо	1	1
