2gram	Ircho_Komedia_partition_part3_wordlist_2gram	Ircho_Komedia_partition_part2_wordlist_2gram
древнейшему фольклорному	1	1
благополучному концу	1	2
все же	4	4
его в	4	8
времени и	1	1
вскоре же	1	1
было сделать	1	1
№ не	1	2
но об	1	1
отца или	1	1
человека который	1	2
выражение в	1	1
чуть не	1	1
общего с	1	1
в состоянии	1	1
реальной жизни	1	1
был уверен	1	1
современных ей	1	1
цитаты из	2	3
и стрелы	1	1
на основании	5	2
за пределами	1	2
зятя на	1	1
мы имеем	2	1
и к	2	3
конечном счете	1	2
разной степени	1	1
не меньше	1	1
своего отца	2	1
независимо от	5	1
полное право	1	1
в развитии	2	2
богатого молодого	1	1
материал для	1	1
речи о	1	4
имевшие место	2	1
афинской сцене	4	1
надоевшего ему	1	1
драматическом искусстве	1	1
от нее	1	3
при существующем	1	1
комедии iv	5	1
конце iv	1	1
да знаешь	1	1
воина на	1	1
сообщает о	1	1
так и	12	4
сведения о	1	1
степени сохранности	1	1
iv начала	2	1
менандра то	1	3
и т	2	4
не является	2	4
третейского суда	1	1
хитрого раба	1	1
как дочь	1	1
городов и	1	1
внес в	1	1
из остриженной	1	1
события имевшие	1	1
богатого и	1	1
и у	2	1
с какими-нибудь	1	1
до нас	4	4
г и	5	2
и почему	2	1
то что	6	4
стороны он	1	1
в v	5	1
дошедший до	1	1
показательно что	3	1
что последний	1	1
ноги пращи	1	1
голову мы	1	1
и от	4	1
чтобы сделать	1	1
плавтовского пиргополиника	2	3
из того	1	3
никак не	1	1
что комедия	1	1
комедия менандра	1	4
в г	17	2
ничего необычного	1	1
сохранилось от	1	1
представителя новой	1	1
в брюзге	11	2
сцене но	1	1
приводит все	1	1
стихов из	1	4
наряду с	6	2
чтобы дать	1	1
исследователи менандра	1	1
не будучи	1	1
бы то	2	2
с радостью	1	2
все его	1	1
в одном	2	2
аттической комедии	15	6
в свою	1	7
аспект в	1	1
из первых	1	1
действие комедии	1	1
дротики вместо	1	1
тому же	11	6
нам по	1	1
или на	2	1
не похож	1	1
раб приносит	1	1
несмотря на	1	4
той же	3	1
и начало	1	1
если бы	9	8
убеждается в	1	1
это отец	1	1
в обоих	3	1
связи с	3	5
важно заручиться	1	1
силу этого	2	1
ни в	5	10
из двух	1	1
сделать вывод	1	1
менандра как	2	3
сами эти	1	1
между собой	1	4
то время	3	2
в алфавитном	1	1
только после	1	1
что в	9	5
в руках	4	1
нас в	1	1
не поддаваться	1	1
в так	2	1
однако в	2	4
друг от	1	1
в начале	4	3
что их	2	2
за ним	1	2
в жены	2	5
в своей	3	5
классических греческих	1	1
как раз	1	6
но если	3	3
себе волосы	2	1
друг с	2	1
v в	14	1
на первый	1	1
в основе	1	2
подброшенных детей	1	1
с его	5	3
двух ст	1	1
менандра не	4	1
что она	2	4
после смерти	3	1
о чем	3	7
и что	2	6
ближе к	1	2
которые как	1	1
его для	1	1
и все	2	2
или менее	1	1
потерянными некогда	1	1
каирского папируса	1	1
на этот	4	3
ст сл	6	6
уж не	1	1
комедии только	3	2
посмел бы	1	1
не без	1	1
еще одно	1	2
что на	3	1
жизни и	3	1
демеи с	1	2
к человеку	1	2
после того	2	1
комедии в	6	1
что воин	1	1
оксиринхских папирусов	1	5
из которых	3	2
начале iv	2	1
как можно	1	1
что эта	1	2
в менандровских	1	1
в выпивке	1	1
в них	4	3
не дал	1	1
между родителями	1	1
ст и	2	5
и дрожа	1	1
место в	4	1
фрасонид или	1	1
в остриженной	2	2
денег для	1	1
щиты и	1	1
жизни в	1	1
действия и	1	1
хочет покончить	1	1
сам же	1	1
не может	3	3
его образ	1	1
кто из	2	2
кормит грудью	1	2
если не	2	3
пор не	1	2
сл сл	1	4
сказать что	1	1
в трудную	1	1
отнюдь не	2	4
в трагедии	1	1
около стихов	1	1
вместе с	9	9
тем у	1	1
такого рода	1	1
iii ii	2	1
алфавитном порядке	1	1
в том	11	12
мы знаем	3	2
состоянии текста	1	1
молодого человека	9	14
детьми и	1	1
в его	4	8
в новой	1	1
все известные	2	1
новой комедии	12	6
это время	3	1
похож на	2	1
отце и	1	1
комедиях менандра	3	1
греческих полисов	1	1
чем больше	1	1
приводит к	1	3
в связи	3	4
о том	6	8
между тем	4	2
от того	2	2
в отношениях	1	2
отношение к	2	5
и плохо	1	2
я взял	1	1
возможно что	3	3
пути к	2	1
похожи на	3	1
за другой	1	1
его не	1	2
то обстоятельство	1	2
отказаться от	1	2
молодой человек	9	8
в виду	2	2
бы к	2	1
к самому	1	1
да и	3	1
с помощью	1	4
ст в	2	1
на сладкое	1	1
в греческой	1	1
уже о	2	1
пифионикой фр	1	1
попытка найти	1	1
детей и	1	1
за горгия	1	1
вместо семячек	1	1
впрочем и	2	1
в комедиях	5	2
за которым	1	1
быть не	1	1
обломки от	1	1
свою вину	2	2
как мы	4	2
от своего	1	1
средством для	1	1
противоречие между	1	1
может быть	11	6
не должен	1	1
ее своей	1	1
и его	12	6
менандром и	1	2
в одной	2	1
словом если	1	1
сожаление что	1	1
поскольку за	1	1
же комедии	1	1
о матери	1	1
х годов	2	2
как его	1	1
перемолотые обломки	1	1
этот раз	4	2
в устах	1	1
связанного с	1	1
за своего	1	1
вовсе не	2	4
убеждает в	1	1
себя внимание	5	1
комедии мнесимаха	2	1
полагать что	1	2
на брак	1	2
хоть и	5	2
была бы	1	1
его от	1	2
то при	1	1
сюжетная схема	1	1
оценка аристофана	2	1
это как	1	1
ли не	7	2
не на	1	1
с тем	5	4
семей разоренных	1	1
порядке по	1	1
многие из	3	1
из филемона	1	1
здесь нет	1	4
какой мере	1	2
ни было	2	2
в до	2	1
из этого	2	2
за свое	1	1
масло из	1	1
по всему	3	3
в достаточной	1	1
даже если	1	2
в ненавистном	2	5
вступительный монолог	1	3
из других	1	1
в поход	1	1
отец и	2	3
афинской комедии	5	1
сцены из	1	1
бы в	2	4
мечами а	1	1
вслед за	2	1
менандр не	2	2
признания в	1	1
собой разумеется	1	2
всем том	1	2
конечно менандр	1	1
в ожидании	1	2
под голову	1	1
для комедии	2	1
говоря уже	2	1
отличие от	2	2
сравнению с	1	2
к древнейшему	2	1
тот же	2	2
в нравственном	1	1
его подруги	1	1
иначе обстоит	1	2
на которые	1	3
со стороны	2	11
как он	3	3
воина в	1	4
глаза его	1	1
обращаясь к	1	1
одно из	2	1
но нет	1	1
в глазах	2	8
iv и	1	2
воины менандра	1	1
светилен на	1	1
больше не	1	1
мы кладем	1	1
и оканчивался	1	1
в частности	4	3
внимание что	1	1
нет ничего	1	2
с которой	1	1
средней и	3	1
идет в	1	1
плавта и	2	2
из комедии	5	2
в стихов	1	2
в следующем	2	1
т п	2	4
себя их	1	1
качестве вина	1	1
ответ на	3	1
и даже	1	3
и готов	1	2
ироническое отношение	1	2
приемного сына	3	3
комедии из	1	1
старый холостяк	1	1
не было	3	2
еще раз	1	1
ненавидящей его	1	1
того чтобы	6	6
в герое	1	2
то это	2	5
только в	4	1
у плавта	2	1
в этой	3	3
больше всего	1	1
другой стороны	1	2
которой до	1	1
со своими	1	1
встретила сочувствия	1	1
менандра по	4	1
это имя	1	1
сразу же	4	4
т е	1	16
после этого	2	2
отношению к	3	3
фр и	2	1
вина пьем	1	1
надо было	3	1
идет о	2	3
к достижению	1	1
которые он	1	1
всяком случае	2	3
соответствии с	1	1
менандр и	3	2
к этому	5	6
видеть в	1	1
и эта	1	1
тому назад	1	4
то ли	2	4
откажется от	1	1
как в	3	2
нет ни	1	2
интриги еврипида	1	3
афинский гражданин	1	1
во всяком	2	3
и не	14	21
что у	4	1
от этого	2	1
и я	2	2
начала iii	2	2
и та	1	1
эту возможность	1	1
ближе всего	1	1
сказать в	1	1
таким образом	6	12
демеи в	1	2
достаточной степени	1	1
тем более	1	4
не одно	1	1
больше того	4	2
марафоне и	1	1
по своему	2	3
фрасонид не	1	1
не говоря	2	1
истинной причины	1	1
оказался в	1	2
тем что	3	5
уже в	4	2
добавим к	1	1
и после	2	2
пока же	1	1
в изображении	2	2
не только	7	5
всего похож	1	1
в льстеце	1	1
гораздо чаще	1	1
судя по	4	3
он не	2	5
о супружестве	1	1
середине iv	2	1
чем царь	1	1
с утра	1	1
комедии менандра	4	7
там же	1	1
знаем их	1	1
все эти	1	1
по содержанию	2	1
одну за	1	1
сомневаться что	1	1
что из	2	1
это был	1	1
в разработке	1	1
характеризуется как	1	1
как уже	1	1
в пределах	1	2
названия комедии	1	1
мосхиона за	1	1
гораздо ближе	1	1
к своим	1	1
в истории	5	1
тем же	1	3
приемного отца	1	1
целого ряда	1	1
и саламине	1	1
на рубеже	1	1
со своим	1	1
с самого	2	4
первого акта	1	2
комической сцене	3	1
в их	3	2
было в	1	1
мы находим	2	1
катапульт фр	1	1
в себе	1	4
ее возвращении	1	1
с той	2	1
между ними	1	2
молодые люди	1	1
на его	1	2
монолог фрасонида	2	2
как на	1	1
где в	1	1
рвет на	1	1
приносит нам	1	1
старика а	1	1
к тому	12	6
признание парменона	1	1
из дому	3	4
на себе	1	1
таким же	1	1
брак с	3	2
ли ты	1	1
страшась и	1	1
от копий	1	1
из классических	1	1
с потерянными	1	1
начала iv	1	1
обстоит дело	1	2
одной стороны	2	3
кто верит	1	1
только как	1	2
само собой	1	4
в соответствии	1	1
у сводника	3	1
пьес менандра	2	1
относящихся к	1	1
из них	7	5
мало кто	1	1
все тот	1	1
с другом	2	1
и для	4	4
первый план	1	1
до вечера	1	1
этому времени	2	1
отрывки из	3	2
в области	1	2
до конца	1	4
с участием	2	2
вавилонской царицей	1	1
с планго	2	5
новой аттической	4	5
так давно	1	1
истории античной	3	1
при марафоне	1	1
в первом	2	1
обстоятельство что	1	2
до начала	3	2
человеку и	2	1
отрицать что	2	1
известной комедии	1	3
любовь к	1	3
не менее	4	5
вещей и	1	1
еще не	6	6
к фрасониду	1	3
ни одного	1	1
со временем	3	3
целый ряд	2	2
готовность к	1	2
не столько	1	1
сюжетной ситуации	1	2
знаешь ли	1	1
с ним	1	5
к его	2	1
пиру увенчиваемся	1	1
ситуаций и	2	1
хрисиды демея	1	1
не могла	1	3
в конце	2	7
стрелы а	1	1
в афинах	10	6
другая комедия	1	1
среди которых	1	3
все еще	1	2
их зрителей	1	1
фиеста и	1	1
а в	3	7
тому что	4	2
сладкое после	1	1
комедии от	2	1
вступить с	1	1
всего в	2	1
наточенными мечами	1	1
представляет собой	1	3
фр ii	14	3
в каждом	3	1
менандра можно	1	1
лет спустя	1	1
его против	1	1
горят диким	1	1
от привычного	1	1
бы его	1	1
что речь	1	1
персонажей в	1	1
скрывать от	2	1
возникающую из	1	1
такую же	1	1
в своем	6	8
афинского общества	1	1
да уж	1	1
одного из	1	3
за то	4	2
и без	1	2
в нашем	2	1
и на	7	2
с удовлетворением	1	1
на пиру	1	1
начнем с	1	1
в уже	2	2
из которой	1	2
диким огнем	1	1
на сцене	2	1
которые в	2	1
iii в	6	6
не по	4	7
от друга	1	1
в когда	4	1
не находит	1	1
в дом	1	14
с гетерой	2	1
не являются	1	1
дает основание	1	1
в разной	1	1
в двух	6	3
так или	3	2
с менандром	1	1
таким путем	1	1
них в	1	1
стало быть	1	1
следует остановиться	1	1
для молодого	2	1
для того	5	6
значительные различия	1	1
по адресу	4	1
первом случае	1	1
ничего нет	1	1
как и	4	3
бог и	2	1
собой в	1	1
к благополучному	4	2
совпадают с	1	4
числе и	1	1
комедии и	4	3
потому что	6	10
друг друга	3	4
что для	4	2
нуждается в	1	2
вывод что	1	2
ему в	1	1
ни одно	1	1
в самом	4	9
обращение к	1	1
демея как	1	1
к девушке	1	1
его дочь	1	2
а то	1	1
при всем	3	2
же время	3	5
по этому	1	1
сюжетных схем	1	1
творчества менандра	1	1
уверен в	1	2
в то	6	6
комедий менандра	5	3
обеда раб	1	1
по отношению	3	5
никогда не	1	3
в н	5	1
при его	1	1
его горят	1	1
ведь мы	2	1
лет тому	1	4
настаивает на	1	2
и в	26	22
дают нам	1	1
все время	2	2
уже упоминавшемся	1	1
в эпоху	1	2
так же	1	4
из горящих	1	1
фр из	1	2
в мире	2	2
с какими	1	1
под названием	2	1
так что	5	6
какой-то персонаж	1	1
истинное положение	1	2
с отцом	1	2
а на	2	2
женился на	1	1
из его	2	2
ii в	4	2
так как	4	11
не пытался	1	1
в т	1	3
но не	3	1
отношениях с	3	1
одновременно с	2	1
плача и	1	1
к концу	3	2
хотя в	1	1
своей возлюбленной	1	2
нравственном плане	1	1
это касается	1	1
не в	2	4
он провел	1	1
для нас	3	1
даже не	3	3
восходит к	4	1
ход действия	1	1
стихов в	1	3
цитатами из	1	1
или к	1	1
с гликерой	1	2
комедиографов iv	1	1
кого-то из	1	1
по мнению	1	2
копий под	1	1
сводится к	1	1
чем они	1	2
из фрагментов	1	1
на этом	2	1
на улицу	1	2
и во	2	2
по существу	1	2
по имени	4	3
для которого	1	1
на орхестре	1	1
бы он	1	3
однако она	1	1
своего приемного	1	1
полемона и	1	3
мы располагаем	1	1
впрочем не	1	1
в известной	1	2
для характеристики	1	1
мы обедаем	1	1
нечто подобное	1	1
замуж за	2	1
аристофана византийского	3	2
афинах в	3	2
всю свою	1	1
лет до	1	2
как это	4	5
ремнями от	1	1
из себя	1	3
в пользу	2	1
на любовницу	1	1
с этим	5	3
в менандровской	1	1
из самиянки	1	1
более чем	4	5
этом еще	1	1
перед лицом	2	2
панцири в	1	1
законной женой	1	1
кто такая	1	1
речь идет	3	5
и с	5	4
брака и	1	1
iv в	34	5
больше чем	5	2
признать что	2	1
исходя из	1	2
от отца	1	2
менандра и	8	2
ii вв	2	1
друг другу	3	1
отцом и	1	3
когда он	1	4
узнавания в	2	1
так называемых	2	1
отца не	1	3
и хотя	2	2
дочь кормит	1	2
конечно не	1	3
бы ожидать	2	1
на дочери	1	2
на плавтовского	1	1
тут же	2	4
другой пример	1	1
самого менандра	1	3
этой же	1	1
это не	2	2
к свадьбе	2	3
а сами	1	1
образом и	1	1
отрывок из	1	2
эта мысль	1	1
с другой	2	4
к женщине	1	1
и как	1	1
тебе предстоит	1	1
приданое для	1	1
разбогатевший в	1	1
т т	1	1
того как	3	1
было бы	8	3
и креуса	1	1
в чем	1	1
отца с	1	1
этим повод	1	1
в самиянке	7	12
как бы	2	3
более или	1	1
обоих случаях	2	1
имени демея	1	1
на любовь	1	1
названия комедий	1	1
дело с	3	3
между отцом	1	2
прежде всего	4	5
пращи и	1	1
о его	4	2
в компании	1	1
точки зрения	4	4
не мог	1	2
первого и	1	1
а с	1	1
были известны	2	1
меньше чем	2	2
до н	1	1
на это	2	3
человека с	1	1
но и	10	4
мы понимаем	2	1
кратией и	1	1
у того	2	3
к своему	1	2
из шедевров	1	1
же что	1	1
утра до	1	1
влюбленного молодого	2	1
на фоне	1	1
отца на	1	1
нет и	2	4
кладем щиты	1	1
в ее	2	3
а затем	5	2
пола в	1	1
до сих	2	9
не знает	1	3
сражение? ведь	1	1
в законный	1	1
напился больше	1	1
в ноги	1	1
не имеющей	1	1
в обеих	3	1
том чтобы	1	1
около г	1	3
в большинстве	1	1
мы не	2	2
какими людьми	1	1
своему происхождению	1	1
чем в	2	3
одной из	4	3
до тех	3	3
мы можем	3	3
примерно в	1	3
которые их	1	1
сюжета составляло	1	1
только для	1	2
в третейском	7	6
не слишком	1	2
на многие	1	1
афинских граждан	2	1
и сравнительно	1	1
все к	1	2
в результате	1	2
пьесы и	2	1
роль в	2	2
после обеда	1	1
ли в	1	2
роль играет	1	1
отрывках из	5	1
без приданого	1	1
не был	1	1
на долю	1	3
молодыми людьми	1	3
семячек перемолотые	1	1
времени не	1	1
из людей	1	1
в целом	4	3
событий а	1	1
как сын	1	1
достаточно назвать	2	1
мнесимаха филипп	1	1
комедии не	3	1
молодому человеку	3	1
что не	1	3
в другой	2	1
с хрисидой	2	5
а не	1	4
тех пор	3	3
под тем	2	1
без слов	1	1
с этой	3	3
говорить о	2	3
рассказывает как	1	1
с одной	2	3
