2gram	Vygotskiy_Psychologia_partition_part2_wordlist_2gram	Vygotskiy_Psychologia_partition_part1_wordlist_2gram
мы станем	1	1
когда они	1	1
есть как	1	2
деятельностью и	1	1
и действие	1	2
все же	5	4
его в	2	1
s в	1	1
времени и	1	1
в область	2	1
все дело	2	1
это совершенно	1	2
себе не	3	1
не следует	1	1
том и	2	2
в одну	1	1
числителя и	1	1
между обеими	1	1
мы читая	1	1
в собственном	3	1
объясняется то	1	1
подобно тому	5	2
в психологию	1	2
материал которым	1	1
она есть	1	1
в состоянии	3	2
на основании	7	1
искусства однако	1	2
это утверждение	1	1
мы имеем	4	4
и к	3	3
конечном счете	3	3
наглядным образом	1	2
самое понятие	1	2
переживания и	1	1
для установления	1	1
с он	1	2
независимо от	2	1
те психологические	1	2
художественную форму	1	2
того и	1	2
а есть	1	1
таком случае	2	1
нашей деятельности	1	1
выходит так	2	1
это понятие	1	1
мы совершенно	2	1
прямо говорит	1	2
что при	3	9
иначе как	2	1
таком понимании	1	2
лучше всяких	1	1
нашего исследования	3	1
его и	3	1
быть признано	1	1
так и	3	3
решительно все	1	1
в другой	2	1
дело идет	1	1
и т	26	10
как нельзя	4	2
при таком	1	4
нас от	1	1
когда мы	3	2
законы искусства	1	1
удовольствия и	1	1
и у	4	2
за пределы	1	1
фантазии и	1	1
один и	1	1
эстетики и	2	1
разъяснил что	1	1
он же	2	1
есть нечто	2	2
означает что	2	1
и почему	1	1
приходится иметь	1	4
самому существу	3	1
то что	32	21
но как	2	3
искусства потому	1	1
тем самым	2	1
сводить к	1	1
поэзии и	2	7
в каком	2	3
в более	1	1
и от	2	2
есть по	1	4
с в	3	2
никак не	4	4
с понятием	1	1
социальной психологии	11	6
мы вынуждены	1	1
имеет в	2	1
в особенности	1	2
восприятия то	1	1
свободно и	1	1
подход к	1	2
на такой	1	1
легче всего	3	3
согласии с	2	3
бы то	1	2
в одном	2	2
в свою	1	3
идет не	1	2
потеряет в	1	1
иное как	1	1
тому же	3	1
присоединить сюда	1	1
и знаменателя	1	1
подходят к	1	1
несмотря на	5	4
той же	3	8
чем к	1	2
если бы	6	6
иначе говоря	5	4
та же	3	3
связи с	1	1
же точно	3	10
ни в	9	2
из двух	1	1
к одному	1	4
этом совершенно	1	1
и той	3	4
то время	5	3
как не	1	2
что в	23	20
совершенно очевидно	3	1
этих вопросов	1	1
возможны только	1	2
они приводят	1	1
однако в	1	1
вывел бы	1	1
принадлежат к	2	2
но совершенно	2	3
а как	1	1
за ним	1	1
в своей	3	3
и музыки	1	1
как раз	2	5
форм и	1	2
уже и	2	1
но если	1	1
сказал бы	1	1
все в	1	1
достаточной ясностью	1	1
к числу	2	1
в основе	2	11
когда оно	2	1
очень легко	2	1
напротив того	2	1
же самая	2	1
с его	1	2
читателя не	1	1
непременно должны	1	1
этих двух	2	2
как только	1	2
для психологии	1	2
из ее	1	1
и больше	1	1
бы если	1	1
что она	6	16
в той	1	1
этот закон	1	1
собой если	1	1
бы и	2	3
что если	1	6
