2gram	Tiupa_LitereturaIMentalnost_partition_part3_wordlist_2gram	Tiupa_LitereturaIMentalnost_partition_part1_wordlist_2gram
все же	4	2
его в	3	2
xx века	2	1
советской эпохи	1	1
никем не	1	2
эстетического отношения	1	2
никого не	1	1
но такой	1	1
что ему	3	2
подобно тому	2	2
свое место	1	3
русской и	1	1
в значительной	1	1
согласия бахтин	1	1
общего с	2	1
между я	3	1
толстого что	1	1
мира []	3	1
как совокупность	3	1
целенаправленно провоцирует	1	1
даже в	2	4
в советской	1	2
этом как	3	1
мысль иннокентия	1	1
ни авангардизм	1	1
а от	1	1
экспериментаторства его	1	1
конечном счете	4	1
право на	1	2
общественном сознании	1	1
в филологических	1	1
бахтина автор	1	1
художественное творчество	1	2
начинается и	1	1
жизни здесь	1	2
впрочем в	1	1
как о	1	2
эстетического субъекта	9	7
художественном тексте	1	1
один в	1	2
а жизнь	1	1
или цветаевой	1	1
мыслит себя	1	1
романтической и	3	1
в историческом	1	1
булат окуджава	1	1
в концовке	1	1
для творческого	2	1
от автора	2	1
так и	4	9
йенских романтиков	1	1
и экспериментаторства	1	1
как дискурс	2	2
на другого	2	1
контакту с	1	1
еще и	3	2
для кого	1	1
личности с	1	3
и у	1	1
за пределы	2	1
у них	1	1
нашего столетия	3	2
с читателем	2	1
очень точно	1	1
тем самым	5	7
как сам	1	1
то что	10	12
творческого акта	1	1
эффективность воздействия	1	1
из заявки	1	1
зарождающаяся в	1	1
не как	4	2
и от	1	1
его основная	1	1
его участников	1	1
бытия в	1	2
из того	2	2
и жизни	1	3
лона символизма	1	1
в г	1	3
наблюдателю неотождествимыми	1	1
культурная общность	1	1
по которым	1	1
не будучи	1	1
хх веке	5	3
не удивительно	1	2
задачи кроется	1	1
бы то	1	2
читатель зритель	1	1
но без	2	2
в одном	1	4
в свою	1	2
из первых	1	1
оказывается можно	1	1
альманаха ванна	1	1
своей свободе	1	1
но одновременно	2	2
тому же	2	5
добавления эстетика	1	1
несмотря на	3	2
той же	3	3
мышления и	2	1
стихотворения в	1	1
я когда	1	1
неотрадициональной ориентации	1	1
перекликается с	1	1
кризис советской	1	1
это уже	2	1
от себя	2	2
связи с	6	2
если бы	1	2
из двух	1	1
с литературной	1	1
что в	3	2
задача это	1	1
согласно которой	1	1
жизнь понятую	1	1
на адресата	1	1
собственно говоря	1	1
однако в	2	4
мне прочти	1	1
в начале	1	4
миром наедине	2	1
за ним	1	2
культуре х	1	1
пассивного материала	1	1
в своей	4	7
как раз	4	2
роскошь самоизвращения	1	1
ее адресата	1	1
уже и	1	1
распад форм	1	1
и постромантической	3	1
мне но	2	1
на первый	1	1
означает не	1	1
в основе	3	5
и воспринимающих	1	1
писал в	2	1
эстетический объект	3	3
с его	5	6
состоит как	1	1
и адресата	4	2
постановка проблемы	1	1
все более	2	2
на наш	5	1
в той	1	1
как правило	2	1
согласно р	1	1
по мысли	2	6
фрагменты йенских	1	1
от центра	1	1
у маяковского	1	2
разорви слово	1	1
природы искусства	4	1
в таинственной	1	1
парадигму художественности	1	1
к объективной	1	1
и все	1	1
сферу адресата	1	2
устремляются интенциональные	1	1
духовную сферу	1	2
мыслилось романтиками	1	1
на несостоявшееся	1	1
будь то	2	1
границей к	1	1
говорил он	1	1
стремится утвердить	1	1
бы они	1	1
его действительности	1	1
в жизнь	1	4
и о	1	1
советской культуре	1	1
жизни и	3	3
таково искусство	1	1
себя и	1	2
и кризис	1	1
века к	1	1
бытия которая	1	1
в противоположность	1	2
самоутверждаясь в	1	1
п смирновым	1	1
замечает б	1	1
постсимволизм это	1	1
