4gram	Vygotskiy_Psychologia_partition_part5_wordlist_4gram	Vygotskiy_Psychologia_partition_part2_wordlist_4gram
заключается в том что	7	4
что в основе его	1	1
в том виде как	2	1
одного и того же	1	2
указывает на то что	1	2
том что он не	1	1
в том что в	2	1
в этом отношении совершенно	1	1
с этой точки зрения	1	1
то как если бы	1	1
сам по себе не	1	1
в то время как	2	1
но совершенно ясно что	2	1
согласны в том что	1	1
приводит к тому что	1	1
для того чтобы заметить	2	1
том и заключается чтобы	1	1
никак не может быть	1	1
того чтобы заметить что	1	1
в том и заключается	2	2
ответ на этот вопрос	1	2
том и заключается что	1	1
так же точно как	3	2
с и когда он	1	1
не что иное как	1	2
для того чтобы сделать	1	1
так же точно и	2	1
указывали на то что	1	1
мы примем во внимание	1	1
с так же точно	1	1
же точно как в	1	1
одной и той же	4	2
привело к тому что	1	1
совершенно ясно что в	1	2
так же как и	1	1
что в то время	1	1
одно и то же	1	3
в зависимости от того	1	2
и в самом деле	4	1
до тех пор пока	1	2
один и тот же	1	1
а с другой стороны	1	2
этом отношении совершенно напоминает	1	1
в силу того что	1	1
и т д мы	1	1
как раз обратным образом	1	1
том виде как она	1	1
нужно принять во внимание	1	1
с той же точки	1	1
той же точки зрения	1	1
заключается в том чтобы	1	1
для того чтобы показать	2	1
приемом искусства является прием	1	1
в том что он	3	1
указанием на то что	1	1
совершенно ясно что тогда	1	1
