4gram	Tiupa_NarrotologicheskiyChehov_partition_part2_wordlist_4gram	Tiupa_NarrotologicheskiyChehov_partition_part1_wordlist_4gram
то же самое следует	1	1
не мигая глядела на	1	1
небо залитое солнцем и	1	1
дядю преосвященного как бы	1	1
катя не мигая глядела	1	1
состоит в том что	2	4
на своего дядю преосвященного	1	1
в этом последнем мы	1	1
бы желая разгадать что	1	1
свободен теперь как птица	3	1
сильное желание поделиться с	1	1
как бы желая разгадать	1	1
в той или иной	1	1
и другая протекавшая тайно	1	1
а стало быть и	1	1
солнцем и он свободен	1	1
в самом первом эпизоде	1	1
возникает вследствие того что	1	1
человеческого я в мире	1	1
есть на самом деле	1	1
желание поделиться с кем-нибудь	1	1
архиереях и пережил их	1	1
поделиться с кем-нибудь своими	1	1
одна явная [...] и	1	1
желая разгадать что это	1	1
разгадать что это за	1	1
было как будто он	1	1
две жизни одна явная	1	1
мигая глядела на своего	1	1
одного и того же	1	1
освободиться от этих невыносимых	1	1
дело не только в	1	1
больше дьяконицей чем матерью	1	1
пережил их одиннадцать душ	1	1
мы и сами участвуем	1	1
и пережил их одиннадцать	1	1
свою жизнь находился при	1	1
ровным счетом ничего не	1	1
и он свободен теперь	1	1
будто он прямо родился	1	1
что у нее тревожно	1	1
своего дядю преосвященного как	1	1
жизнь находился при архиереях	1	1
в то же время	4	3
как будто он прямо	1	1
раз в том что	1	1
преосвященного как бы желая	1	1
в человеке в футляре	1	1
сами участвуем как слушатели-читатели	1	1
дьяконицей чем матерью а	1	1
как освободиться от этих	1	1
присутствия человеческого я в	1	1
всю свою жизнь находился	1	1
явная [...] и другая	1	1
встречи с анной сергеевной	1	1
похоже было как будто	1	1
мы имеем дело с	2	2
и сами участвуем как	1	1
томило сильное желание поделиться	1	1
и в то же	1	1
последнем мы и сами	1	1
широкое небо залитое солнцем	1	1
и не может быть	1	1
и не сводится к	1	1
в даме с собачкой	5	1
смысле можно сказать что	1	1
как раз в том	1	1
что это за человек	1	1
себя больше дьяконицей чем	1	1
чувствовала себя больше дьяконицей	1	1
с кем-нибудь своими воспоминаниями	1	1
жизни одна явная [...]	1	1
этом последнем мы и	1	1
рассказывания в этом последнем	1	1
а не все что	1	1
самого рассказывания в этом	1	1
глядела на своего дядю	1	1
плачут и долго думают	1	1
известном смысле можно сказать	1	1
сисой всю свою жизнь	1	1
он свободен теперь как	1	1
событийности в прозе чехова	1	1
[...] и другая протекавшая	1	1
находился при архиереях и	1	1
опыта присутствия человеческого я	1	1
залитое солнцем и он	1	1
между началом и концом	1	1
от этих невыносимых пут?	1	1
образовались две жизни одна	1	1
с той или иной	1	1
какая-то куцая бескрылая жизнь	1	1
он прямо родился монахом	1	1
при архиереях и пережил	1	1
в известном смысле можно	1	1
