3gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_3gram
тем что должно	1	1
детского мышления является	1	1
проблемы обучения и	5	2
между обоими процессами	3	1
ином отношении к	1	1
одному тому что	1	1
всей теории пиаже	1	1
в том чтобы	1	2
доказательство того что	1	1
для того чтобы	14	5
о том что	4	3
в частности научных	2	2
этой точки зрения	4	4
в определенной системе	1	1
что иное как	1	1
было бы чудом	3	1
на первый план	1	4
на самом деле	1	1
в одинаковой мере	2	2
могли бы сказать	2	2
вопрос о том	3	1
не только не	3	5
между собой и	1	2
усваивает слово цветок	1	1
с помощью которого	2	2
так как это	3	1
с помощью которой	1	1
спонтанных понятий которые	2	1
не иначе как	2	1
умственное развитие ребенка	1	3
мы могли бы	6	9
они относятся к	1	1
в зависимости от	2	1
одного и того	3	5
в том смысле	1	2
неспонтанных в частности	1	1
в мысли ребенка	2	1
понятий с помощью	1	1
из основных задач	1	1
уже говорили выше	1	2
и в частности	2	1
мере опирается на	1	1
школьного обучения но	1	1
в том что	11	31
оно имеет свою	1	1
ступень в развитии	2	3
конфликта и антагонизма	1	1
показывает что в	1	1
согласно которому научные	1	1
слово цветок чем	1	1
так же как	7	5
по своему значению	1	3
и то же	1	6
равной мере и	1	1
должны предположить что	1	1
процессов в этом	1	1
в отличие от	2	2
в процессе развития	3	1
появляется у ребенка	1	1
ребенок приходит к	1	2
противоположные тем которые	1	1
сторонами одного и	1	1
но все же	2	1
мы видим таким	1	4
приводят нас к	1	1
одному и тому	2	4
что должно быть	2	1
том числе и	1	2
житейских и научных	1	2
собственного опыта ребенка	1	1
первый план в	1	2
и тому же	2	4
в собственном смысле	1	7
с самого начала	5	1
мыслью ребенка и	1	1
в самом деле	2	6
неспонтанных понятий с	1	1
обучения в развитии	1	1
пиаже в отношении	1	1
детских понятий и	1	1
то же что	1	1
этого понятия не	1	1
что в действительности	1	1
более и более	1	2
с точки зрения	9	11
двумя сторонами одного	1	1
в этом смысле	1	8
в настоящей книге	1	1
частности научных понятий	1	1
что в этом	1	1
как и во	1	1
сохраняет свою силу	1	1
что процесс образования	1	1
а не наоборот	1	1
понятий но что	1	1
и подобно тому	1	1
за отбрасывающим ее	1	1
что на деле	1	1
и житейских понятий	4	1
само по себе	2	1
основе которых лежит	1	1
сказывается на развитии	1	1
делает вывод что	2	1
развития научных и	1	1
о том как	2	1
мы видим что	2	2
что обе эти	1	1
только в отношении	1	1
заключается в том	5	14
оказываются сходными между	1	1
по нашему мнению	1	2
единого процесса образования	1	1
как показывает исследование	2	1
в процессе обучения	5	4
в готовом виде	1	5
и того же	3	5
вообще в этом	1	1
нет никаких оснований	1	1
взаимного влияния этих	1	1
в его развитии	1	2
в обоих случаях	1	3
и не делает	1	1
не может объяснить	1	1
по мере своего	1	1
и научные понятия	1	1
тень за отбрасывающим	1	1
именно то что	1	2
понятия если бы	1	1
но само по	1	1
что уже в	1	1
настоящего исследования и	1	1
же как и	1	4
развития научных понятий	2	8
в экспериментальном исследовании	1	1
в процессе собственного	1	1
мы говорим о	2	1
на высшую ступень	5	2
в развитии понятий	1	2
как в этом	1	1
в школе и	1	2
ребенка и что	1	1
образования понятия и	1	1
обе эти функции	1	1
в свою очередь	3	2
спонтанных и неспонтанных	2	1
по отношению к	12	1
с другой стороны	2	8
того что ребенок	1	1
нашей рабочей гипотезы	1	3
и неспонтанные понятия	1	1
до логического предела	1	1
с другом не	1	1
понятий в сущности	1	1
и внешние условия	1	1
ожидать что развитие	1	1
не имеют ничего	1	1
в их основе	1	1
в основе которых	1	1
с практической стороны	1	1
научных и житейских	4	2
в ином отношении	1	1
детского мышления и	1	4
вместо того чтобы	3	1
активности детской мысли	2	2
научных понятий мы	1	1
бы сказать что	1	3
друг к другу	1	1
развития детских понятий	1	4
детского мышления как	1	1
мы знаем что	1	1
развития понятий в	1	1
том смысле что	1	1
и той же	1	4
в том виде	1	2
обучением и развитием	11	2
такой же мере	3	1
уже по одному	4	1
на этом вопросе	2	2
одни и те	1	3
том что в	2	1
тогда когда это	1	1
момент когда ребенок	1	2
и как они	1	1
на данной ступени	1	1
что они являются	1	2
мы никогда не	1	1
но если мы	2	1
научных понятий для	1	1
в которой они	1	1
обучения и развития	11	4
по своей природе	1	1
в вопросе о	1	2
развитии детских понятий	1	2
в силу их	1	1
подобно тому как	4	2
что научные понятия	3	6
так же невозможно	1	1
раньше усваивает слово	1	1
в какой степени	1	2
спонтанные и неспонтанные	1	1
в известном отношении	1	1
образом в основе	1	1
обоих этих процессов	3	1
в сознании ребенка	1	3
новые и новые	1	1
мы будем иметь	1	1
детской мысли как	1	1
в совершенно других	1	1
вопроса о том	1	1
то что с	1	1
как тень за	1	1
имеет еще и	1	1
во всяком случае	1	3
как мы это	1	1
развития ребенка с	1	1
ребенка с помощью	1	1
друг с другом	7	7
в высшей степени	2	2
и то что	2	4
в процессе решения	1	1
в том числе	1	2
умственного развития ребенка	5	6
то здесь мы	1	1
научных понятий должны	1	1
друг от друга	4	1
потому что в	2	1
мы говорили прежде	1	1
таким образом как	1	1
те и другие	1	9
в основе этого	1	2
бы чудом если	3	1
образование научных понятий	1	1
ребенка раньше чем	1	1
развития детской мысли	1	2
пиаже как постепенное	1	1
с логической точки	1	2
к тому что	1	1
одной и той	1	4
мы узнаем что	1	1
по сравнению с	5	3
не что иное	1	1
по одному тому	1	1
мы не станем	2	1
и на область	1	1
из истории развития	1	1
тот момент когда	2	1
внутренние и внешние	1	1
понятия мы могли	1	1
тем и другим	1	1
но вместе с	1	2
что вместе с	1	1
в связи с	1	3
пиаже нигде не	1	1
ту же самую	1	1
что нам известно	2	1
связей и отношений	3	2
внутренних и внешних	1	1
строение и связь	1	1
процессы обучения и	1	1
самом деле если	1	1
что с логической	1	1
на всем протяжении	2	2
благодаря тому что	1	1
не знает что	2	2
второй ошибочный момент	1	1
и научных понятий	2	4
как уже сказано	1	4
оба эти процесса	1	1
неспонтанных и в	1	1
том виде как	1	1
школьном возрасте в	1	1
кто не знает	1	1
в такой же	3	1
то что составляет	1	1
с одной стороны	3	9
в этом отношении	5	7
как мы видели	2	2
том что ребенок	1	3
что с помощью	1	1
то в чем	1	1
и т.д и	2	1
видим что все	1	1
результаты экспериментального исследования	1	1
приводит нас к	2	1
отбрасывающим ее предметом	1	1
интересующей нас проблемы	1	2
повторяет пути развития	1	1
на вопрос о	3	1
как мы показали	1	1
что ребенок не	1	2
в ходе развития	2	1
один и тот	3	7
является одной из	1	1
все более и	1	2
мы постараемся показать	1	1
только в том	1	2
не в состоянии	4	1
его применяет в	1	1
не повторяет пути	1	1
то время как	4	1
процесса образования понятий	1	5
и что в	1	2
одно и то	1	6
у ребенка но	1	1
это значит что	4	2
понятия ребенка в	1	1
он протекает в	1	1
с этой точки	4	4
не может быть	3	1
что сила и	1	1
состоит в том	3	3
в этой области	1	2
имеют ничего общего	1	1
что обобщение в	1	1
научные понятия не	1	2
особенностей детской мысли	1	2
а с другой	2	2
непосредственно вытекает из	1	1
понятий таким образом	2	3
не могут быть	1	2
к этому вопросу	1	1
можно было бы	3	5
не может не	1	2
ступени в развитии	2	5
к одному и	2	4
что в сфере	1	1
которому научные понятия	1	1
как это мы	1	2
вместе с тем	2	3
его собственной мысли	1	1
в этом случае	3	3
с ним но	1	1
но и что	1	1
они ни были	1	1
и развития в	1	2
в первую очередь	1	4
между тем и	1	1
таким образом что	2	4
заключенное в нем	1	1
чем перейти к	1	1
в школьном возрасте	18	5
говорит он что	1	1
то и другое	2	1
рабочей гипотезы и	1	2
иным отношением к	1	1
исключает всякую возможность	1	2
ребенок мыслит в	1	1
в свое время	2	2
