3gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part2_wordlist_3gram	Medvedev_FormalnyjMetodvLiteraturovedenii_partition_part1_wordlist_3gram
формального метода не	1	1
и пр и	2	4
независимо от произведения	1	1
т е какие	1	1
и до настоящего	1	1
его форм и	1	1
во всяком случае	4	5
т е как	2	2
в том чтобы	2	1
мы полагаем что	2	1
не выходя за	1	1
метод в истории	1	1
ничего не останется	1	1
вместе с тем	1	4
полнее всего выражает	1	1
в высшей степени	1	4
науки о литературе	2	1
каждый элемент ее	1	1
а не как	1	1
одного без другого	1	1
роковую роль в	1	1
и ни на	1	1
в большинстве случаев	2	3
на самом деле	6	3
при этом не	1	1
занимает очень важное	1	1
или иное значение	1	1
живом взаимодействии с	2	1
в его целом	8	1
таким образом не	1	2
этого прежде всего	1	1
художественной структуры как	1	1
в этом романе	1	1
п одним словом	1	1
как раз и	1	3
более или менее	6	1
всех этих основных	1	1
единстве социальной жизни	4	1
а вовсе не	2	1
не говоря уже	1	1
на то чтобы	1	1
может быть и	3	3
в своей статье	3	3
очень важное место	1	1
прежде всего в	3	2
что и в	1	1
в этом пункте	2	2
и в то	1	3
поэтики должно быть	1	1
язык и поэзия	1	1
как мы увидим	2	1
на их почве	1	1
в зависимости от	2	3
к тому что	1	2
формального метода на	1	1
и в этом	2	5
конкретном единстве идеологического	1	1
первый период развития	1	1
но и в	1	3
особое место в	1	1
в противном случае	1	1
превращения его в	1	1
пр и пр	2	4
и не может	2	3
в литературном произведении	2	1
в конкретном единстве	2	1
до последнего времени	1	1
вне художественной структуры	1	1
конструкции поэтического произведения	1	1
всего может быть	1	1
в том что	1	2
же наивно как	1	1
в художественном произведении	2	1
и пр т	1	1
художественного произведения в	2	2
и не в	2	2
то же время	8	5
в первый период	1	5
основные тенденции их	1	1
и т п	4	9
в широком смысле	1	1
и отчетливости в	1	1
в конструкцию произведения	1	1
лишь в процессе	1	1
имеет значение лишь	1	1
дело идет о	2	2
так сказать в	1	1
роль в истории	1	1
технически служебные и	1	1
тем не менее	1	1
и ее в	1	1
единстве идеологического кругозора	1	1
но даже и	1	1
произведения т е	1	2
в художественную конструкцию	1	3
тех тенденций и	1	1
идеологического кругозора в	2	1
в связи с	2	10
не могло не	2	1
во всех своих	1	1
в свою очередь	6	1
один из возможных	1	1
нас не было	1	1
бы то ни	3	1
с другой стороны	1	3
элементы художественной конструкции	1	1
и здесь не	1	1
в отличие от	1	2
отсюда отнюдь не	1	2
ради нее самой	1	1
связи с этим	2	3
истории формального метода	1	2
в единстве социальной	4	1
направления т е	1	1
поэтика должна быть	2	1
но все эти	1	1
чем же является	1	2
смысле этого слова	3	1
если произведение действительно	1	1
мы видели является	1	1
является конститутивным моментом	1	1
совсем не так	1	1
для этого прежде	1	1
идеологической жизни а	1	1
в данном случае	1	1
и всякое иное	1	1
формальный метод в	3	2
элементы художественной программы	1	1
какого-нибудь литературного направления	1	1
но все же	1	2
и глубже чем	1	1
то ни стало	2	2
только и может	2	2
другими идеологическими явлениями	1	1
в той же	1	1
поэтического языка и	1	1
новое научное направление	1	1
в ней и	1	1
взаимодействии с другими	2	1
методы истории литературы	2	1
так и в	4	3
всех своих моментах	1	1
произведение т е	1	1
чем это казалось	1	1
с одной стороны	4	1
что перед нами	1	1
и хорошо но	1	1
в применении к	2	2
т п в	1	1
в то же	8	5
пр т е	1	1
воздействующий на литературу	1	1
в этом отношении	1	7
но и с	1	1
т е в	1	1
и др однако	1	1
вот как формулирует	1	1
произведение как таковое	1	1
отнюдь не следует	1	2
этом пункте как	1	1
как мы видели	2	4
того или иного	2	4
между этими двумя	1	2
лишь как один	1	1
по аналогии с	3	1
можно говорить о	1	1
его целом ни	1	1
формального метода в	4	2
с самого начала	1	2
и до сих	1	1
в отрыве от	1	1
мы знаем совершился	1	1
в нем как	1	1
к тому чтобы	1	2
с другими идеологическими	1	1
что бы то	2	1
что конструктивное значение	1	2
до сих пор	6	1
ничего общего с	1	1
к основным явлениям	1	1
с тем пониманием	1	1
сама по себе	2	1
развития формального метода	2	1
социальной жизни и	2	1
же время и	1	1
до настоящего времени	2	1
так или иначе	1	1
более и более	2	1
с точки зрения	13	7
на почве самого	1	1
как такового в	1	2
мы ни взяли	1	1
в процессе борьбы	1	1
хотя бы в	1	3
именно в том	1	1
и даже основные	1	1
говоря уже о	1	1
ни взяли мы	1	1
важное место в	1	1
мы не можем	2	1
в этом смысле	1	2
русский формальный метод	2	2
в последнем счете	1	1
это казалось раньше	1	1
раз и навсегда	1	1
в истории литературы	2	2
же время не	1	1
т п одним	1	1
фактор воздействующий на	1	1
и методы истории	2	1
как мы знаем	1	2
и входит в	1	1
все более и	2	1
поэтому мы не	1	1
теории поэтического языка	1	2
но в то	2	1
по теории поэтического	1	1
в настоящее время	10	1
во что бы	2	1
нем как в	1	1
при таком положении	2	1
главным образом на	2	1
не может быть	5	10
становящемуся ряду развития	1	1
изображения и выражения	1	1
конструктивного значения в	1	1
как один из	1	1
постановке методологических проблем	1	1
сами по себе	2	2
методы их разрешения	1	1
в предисловии к	1	2
автор все время	1	1
его конструктивного значения	1	1
формалисты исходили из	1	1
а отчасти и	2	1
и т д	8	5
с другими областями	1	1
заумный язык и	1	2
сводится к тому	2	1
не по принципу	1	1
т д ?	1	1
каждого его элемента	1	1
и тем самым	1	1
и пр являются	1	1
у нас не	2	1
в его специфичности	1	1
менее всего может	1	1
только при соблюдении	1	1
его конкретной полноте	1	1
