3gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part1_wordlist_3gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part2_wordlist_3gram
не только в	5	2
инверсии и фольклорного	1	1
мы не касаемся	1	1
как мы уже	4	8
важное значение имеет	1	1
в той или	1	1
имеет существенное значение	1	1
все эти особенности	1	1
и того же	1	5
о которых мы	1	1
последующей истории романа	1	3
вещи и явления	1	1
он ни был	1	1
о том что	1	1
на протяжении всего	2	1
а также и	1	2
друг с другом	4	1
вместе с тем	1	2
для того чтобы	7	5
за пределами романа	1	1
в этом случае	2	1
с ним но	1	1
на первый план	2	1
функции плута шута	1	1
почти вовсе не	1	1
в виду что	1	1
в том числе	3	4
как и в	1	2
в последующие эпохи	1	2
случайных одновременностей и	1	2
таким образом и	1	1
в основе этих	1	1
в истории романа	2	1
а вовсе не	1	1
доклассового фольклора и	1	1
же в этом	1	1
всего бытия и	1	1
может быть и	2	2
одновременностей и разновременностей	1	1
же что и	1	2
той или иной	1	2
было бы не	1	1
прежде всего в	2	1
и в то	3	5
и речи об	1	1
с идеей тождества	1	1
наряду с этим	1	2
мы имеем в	2	1
как мы увидим	1	1
самому своему существу	1	1
в новое и	1	1
для романного жанра	1	1
всего необходимо отметить	1	2
в частности с	1	1
и в этом	3	1
одного и того	1	5
ни с чем	1	1
своей жизни в	1	1
жизни но и	1	1
освоения времени в	1	1
но и в	3	2
уже за пределами	1	1
и в сущности	1	2
отношения к себе	1	1
во все стороны	2	1
vii раблезианский хронотоп	1	1
проблема исторической инверсии	1	1
по сравнению с	1	2
хронотоп в нашем	1	1
в этом ряду	2	1
в пределах каждой	1	1
плута шута дурака	1	1
но он не	1	1
в пространстве и	4	1
а следовательно и	2	1
от греческого и	1	1
далью и близостью	1	1
из того же	1	1
в том что	3	2
в то время	1	3
греческом романе в	1	1
то же время	4	9
особенно важное значение	1	1
бы он ни	1	1
и т п	11	8
в широком смысле	1	2
здесь дается как	1	1
и с которой	1	1
человека в литературе	1	1
во всех ее	1	1
роль в истории	1	1
чем в греческом	1	1
единство человеческого образа	1	1
греческом романе и	2	2
v рыцарский роман	1	1
так сказать в	1	1
и в греческом	1	2
и прежде всего	3	2
в этом времени	1	4
и как бы	1	1
в связи с	7	5
в этом мире	6	2
и то же	1	3
автобиографии и биографии	1	1
в свою очередь	1	1
в том же	4	1
то есть в	1	1
равно как и	2	2
не касаемся здесь	1	1
пространства и времени	2	3
и во времени	2	1
времени и пространстве	1	1
еще вернемся в	2	1
его от греческого	1	1
в отличие от	1	2
связи с этим	2	2
времени в романе	1	1
с этим в	1	1
в авантюрном времени	2	5
и фольклорного хронотопа	1	1
и франсион у	1	1
вещей и явлений	6	1
большую роль в	1	1
греческого романа и	1	2
исторической инверсии и	1	1
мы уже сказали	3	2
оказали громадное влияние	1	1
его в связи	1	1
быть и речи	1	1
сюда же примыкают	1	1
в данном случае	1	1
те же что	1	1
в себя и	1	1
средние века и	2	1
случайную одновременность и	1	1
но все же	1	2
же в значительной	1	1
и подслушивания частной	1	2
форм большого эпоса	1	1
дурака в романе	1	1
и в особенности	3	2
существенную роль в	1	2
в значительной мере	1	1
и все его	1	1
в пределах отдельных	2	2
образ человека в	1	3
пределах отдельных авантюр	2	2
во всех этих	3	1
протяжении всего романа	2	1
и во всех	2	1
с одной стороны	1	2
с чем не	1	1
том числе и	2	2
и своей жизни	1	1
мы еще вернемся	3	1
в то же	4	6
в этом отношении	2	3
по существу не	1	1
же примыкают и	1	1
прежде всего необходимо	1	3
со всех сторон	1	1
т п наконец	1	1
и на развитие	1	1
человека и его	1	7
в другом месте	2	1
с самого начала	1	2
имеем в виду	3	1
он не знает	1	1
человека в пространстве	2	1
но в отношении	1	1
плутовского романа в	1	1
нормального хода жизни	1	1
с тем что	1	1
до сих пор	2	3
также и в	1	2
по самому своему	1	1
vi функции плута	1	1
и не только	1	2
так как он	1	1
более и более	1	1
с точки зрения	8	2
для превращения в	1	2
к себе самому	3	4
в европейском романе	1	1
подсматривания и подслушивания	1	2
в этих условиях	1	1
мы уже говорили	3	3
шута дурака в	1	1
в точках разрыва	1	1
в последнем счете	2	1
не похож на	2	1
по всем правилам	1	1
позже то есть	1	1
в точном смысле	1	2
вовсе не является	1	1
все более и	1	1
друг на друга	2	2
но в то	1	1
ни в чем	1	2
вернемся в последующем	1	1
романе и в	1	1
пространственных и временных	1	2
то время как	1	2
литературы в том	1	1
с самим собою	1	3
iv проблема исторической	1	1
человеческой жизни и	2	1
одно и то	1	3
в особенности в	1	1
мир в авантюрном	1	2
время распадается на	1	1
в авантюрно-бытовом романе	2	1
не может быть	1	3
но в этом	1	1
времени то есть	1	1
в последующей истории	2	4
героев греческого романа	1	1
сами по себе	2	1
человек в нем	1	1
они не могут	1	1
к тому времени	1	1
не для того	2	2
себе самому и	1	1
в греческом романе	3	22
и его жизни	2	4
в средние века	3	1
в чем не	1	2
человеческой жизни в	1	2
подслушивания частной жизни	1	2
то есть не	1	2
важный момент при	1	1
мы будем говорить	1	1
не входят в	1	1
того что было	1	1
