4gram	Propp_RusskieAgrarnyePrazdniki_partition_part1_wordlist_4gram	Propp_RusskieAgrarnyePrazdniki_partition_part2_wordlist_4gram
и в этом случае	1	1
имели целью воздействовать на	1	1
возжиганием огромных костров и	1	1
состояла в том что	2	1
в том что в	1	5
п в шейн сообщает	7	1
все это показывает что	3	2
она как мы увидим	1	1
с в максимов описывает	1	1
в тех случаях когда	1	1
п с ефименко сообщает	1	1
а а макаренко сообщает	1	2
н афанасьев и другие	1	1
как мы увидим не	1	1
состоит в том что	13	8
это имело место при	1	1
на этой неделе назывался	1	1
но вместе с тем	2	1
и м снегирев сообщает	4	3
что в этот день	1	1
ср сахаров ii кн	1	2
п в шейном в	1	2
как это имеет место	1	2
шейн сообщает что в	1	1
сообщает и м снегирев	1	1
это имеет место с	1	1
воздействовать на плодородие земли	1	1
костров и перепрыгиванием через	1	1
и п сахаров сообщает	4	1
шейн i ч №	2	1
переход от плача к	1	2
в шейн сообщает что	1	1
не что иное как	2	2
о том же а	1	1
а н афанасьев в	1	1
м снегирев сообщает в	1	1
в последний день масленицы	1	1
не оставляет сомнений в	1	1
на самом же деле	2	1
огромных костров и перепрыгиванием	1	1
как мы уже знаем	1	1
в том что это	2	1
и перепрыгиванием через них	1	1
и в советское время	1	2
так же как и	2	1
а н афанасьев и	1	3
г где говорится что	1	1
и п калинский пишет	2	2
шейн i ч с	4	1
не имеет существенного значения	1	1
ii кн vii в	1	1
в и чичеров в	1	1
сахаров ii кн vii	12	8
внезапный переход от плача	1	1
во всяком случае не	1	1
такие же сведения имеются	1	1
в период зимнего солнцеворота	1	1
же сведения имеются из	1	1
макаренко сообщает из сибири	1	1
и в другие сроки	1	1
а макаренко сообщает из	1	1
как сообщает и м	1	1
как это имело место	1	1
том же а а	1	1
и м снегирев в	1	1
по этому поводу пишет	1	2
п в шейн по	1	1
