2gram	Propp_RusskieAgrarnyePrazdniki_partition_part2_wordlist_2gram	Propp_RusskieAgrarnyePrazdniki_partition_part1_wordlist_2gram
и сами	1	1
когда они	1	2
широко распространен	1	1
им не	1	1
все же	5	2
его в	1	8
праздник в	2	2
приводят нас	1	1
вытекает из	1	1
и свои	1	1
так называемая	1	1
насмешливых песен	1	1
в семик	2	2
к тем	3	1
масленицу сжигают	1	1
смоленской губернии	2	4
из основных	1	2
зимний солнцеворот	1	1
так например	6	1
этих случаях	1	4
обрядовых празднеств	2	2
и обрядам	1	1
макаренко сообщает	2	1
подобно тому	1	3
довольно много	2	1
же происходит	1	1
на урожай	2	2
по свидетельству	1	1
в советской	1	2
на основании	1	1
ко всему	1	1
внезапный переход	1	1
животных и	4	1
то кроме	1	1
мы имеем	4	6
гродненской губернии	1	1
виду что	1	1
происходило в	1	1
независимо от	2	1
на масленицу	14	8
в максимов	3	8
в развитии	1	1
тем это	1	2
чучело масленицы	1	4
кроме того	1	2
советской науке	1	1
плачем и	1	1
на ивана	3	6
нет но	1	1
поступали с	1	1
мы здесь	1	2
время масленицы	1	1
губернии здесь	1	1
сообщает о	4	1
своих предшественников	1	1
из владимирской	1	4
так и	7	1
в иных	1	1
и т	10	5
не является	1	1
крестьяне не	1	1
так называемый	2	1
влияние на	1	2
совсем точно	1	1
русские обряды	1	1
думает что	1	1
связывали с	1	1
он же	3	1
губернии накануне	1	1
означает что	2	1
этой неделе	2	1
на весь	2	1
то что	6	5
аналогичных обрядов	1	1
с места	1	1
на землю	1	3
многих отношениях	1	1
рассматривается как	1	2
д к	8	3
чтобы сделать	1	1
пытается объяснить	1	1
с в	4	8
п калинский	5	4
на смерть	1	1
чтобы у	1	1
отметим пока	1	1
в г	4	2
с плачем	1	1
плача к	2	1
в особенности	2	1
не единственный	1	1
этот праздник	1	3
в говорится	1	1
скрупулезного изучения	1	1
в эти	4	1
дерево или	1	3
и песни	2	1
обрядовых действий	2	1
в русских	1	4
в одном	3	1
в свою	3	1
и обрядов	6	2
иное как	2	2
некоторых местах	1	4
тому же	1	1
или на	3	8
кто же	1	1
шейн сообщает	1	8
несмотря на	3	1
сибири что	1	1
если бы	1	1
та же	2	2
можно больше	1	2
о божествах	1	1
связи с	4	2
же деле	1	2
умерших родственников	1	1
то время	1	2
между собой	2	2
что в	19	22
в руках	1	2
совершенно очевидно	1	2
калинский пишет	2	2
зимнего периода	1	1
при всех	1	1
огромных костров	1	2
из смоленской	2	1
в сказке	1	1
как средство	1	2
песен и	3	1
в фольклоре	2	4
нас в	1	1
кн vii	8	12
можно встретить	1	2
сообщает и	1	2
ниже в	1	2
по всей	1	3
но если	1	3
величальные песни	2	1
древнее архаическое	1	1
к числу	1	2
вокруг этого	2	2
в основе	1	1
зимой и	1	1
обеспечить урожай	1	1
как только	1	1
этом случае	5	6
что она	2	3
как правило	3	1
что если	1	1
разгула и	1	1
о чем	3	4
домах на	1	1
и что	4	5
б зерновой	1	3
солярной теории	1	2
которые как	1	1
не противоречит	1	1
со скотом	1	1
многие другие	2	2
афанасьев и	3	1
что души	1	1
в период	1	1
и все	1	4
i ч	3	9
масленицы в	1	1
только молодежь	1	1
по представлениям	1	2
делали с	1	1
сообщает что	4	8
в ночь	1	2
всем этим	1	1
что на	4	2
продуцирующий обряд	1	1
и о	1	3
в аничков	5	5
хороший урожай	1	1
так п	1	1
народа в	1	1
сомнений в	2	1
некоторые из	1	1
также на	3	1
после того	2	2
подробно описывает	1	1
русские праздники	3	1
из которых	1	2
как можно	2	2
в них	6	4
афанасьев в	1	1
в окошко	1	1
могилах в	1	1
место в	1	1
при изучении	5	1
обрядах и	1	1
иметь в	1	1
этому поводу	2	2
что все	1	1
и так	1	1
древнем риме	2	1
обряд который	1	1
других местах	3	8
с обрядом	1	1
пели песни	2	2
не может	4	5
перепрыгиванием через	1	1
могут быть	2	2
это имеет	2	2
следующим образом	4	5
и за	1	1
там где	2	2
связано с	1	2
аграрных обрядах	1	1
в праздник	3	1
масленицу и	1	3
на семик	3	3
мы видели	1	7
под образа	1	1
отнюдь не	2	1
сказать что	1	1
проводов масленицы	1	1
можно будет	1	2
за святками	1	1
