2gram	Berdyaev_MirosozercanieDostoevskogo_partition_part1_wordlist_2gram	Berdyaev_MirosozercanieDostoevskogo_partition_part2_wordlist_2gram
европейского человека	1	1
это отрицание	1	1
его в	3	3
доводит до	1	1
и каждый	1	1
к какому	1	1
человека нет	1	1
он отказывается	1	1
на два	1	1
великого инквизитора	4	5
ответствен за	3	1
у всех	2	2
чем не	2	1
принадлежат изумительные	1	1
мировая гармония	3	1
начало в	1	2
и у	1	2
папской теократии	1	1
совести не	1	1
то что	5	5
о последнем	1	1
– с	1	1
большей силой	1	1
замыкается в	2	1
то от	1	1
русского человека	7	2
русского народа	1	1
власти и	1	1
свободы человека	1	1
в папской	1	1
кто не	1	1
характер его	1	1
насмешливой физиономией	1	3
его свободы	1	2
кириллов версилов	1	1
предполагает свободу	1	3
ней все	1	1
отрывается от	1	2
дух их	1	1
что раскрывается	1	1
отрицанию свободы	1	4
у кого	1	1
пути человека	2	1
лишь момент	2	2
русского нигилизма	1	2
нем есть	6	1
никто не	1	2
чувствовал что	1	1
душа эта	1	1
не есть	13	9
и русская	2	1
которым все	1	2
бог есть	2	2
– не	3	5
связано с	3	2
сознания и	2	1
на поверхности	4	5
в тихом	1	1
человека для	3	1
к грядущему	2	2
в его	5	9
свободе во	1	1
отношение к	8	4
в движении	1	3
культуры и	1	1
революционный социализм	1	1
еще в	2	2
да и	2	1
до последних	2	1
карамазовым и	1	1
природе своей	1	1
прозрения достоевского	1	1
сам достоевский	3	3
в п	1	1
к конечному	1	1
в записках	1	1
все русские	2	1
свободы человек	1	1
была идея	1	1
между двумя	1	1
про себя	1	1
зла но	2	1
глубины понимал	1	1
федора павловича	2	1
его художественного	1	1
бы в	2	2
и нет	3	2
грядущему и	1	1
сравнению с	1	1
свободе в	1	4
достоевского и	2	10
стихии в	2	1
во имя	16	10
человеческая личность	2	1
человек должен	2	6
своего первородства	1	1
отношение достоевского	3	1
пройти через	2	2
кризис культуры	1	1
без бога	1	1
и мир	2	2
отношению к	2	2
версилова и	1	1
его с	2	2
идеал содомский	3	1
к этому	1	2
собственной природы	1	1
был революционером	1	1
ставрогин кириллов	1	3
даже до	1	1
нет ни	2	1
свободы духа	5	6
и не	18	11
путь свободы	5	5
же о	1	1
и та	2	1
лежит в	1	1
по своему	1	2
души ее	1	1
проникает в	1	2
и против	3	1
тем что	3	4
выходя из	1	1
открывает в	1	1
безграничным деспотизмом	1	1
может более	1	1
к социализму	1	1
приходят к	1	2
человека если	2	1
все эти	1	2
это был	1	1
этот процесс	2	3
в атмосфере	2	1
значительной степени	1	1
и вечной	1	1
стать на	1	1
из самых	1	8
мира и	1	5
достоевского к	5	5
него есть	1	1
герои достоевского	2	4
личности в	2	2
всем а	1	1
и зла	6	5
человека на	2	5
чистый человек	1	2
органическая часть	1	1
а лишь	2	1
те которые	3	9
в землю	1	1
достоевского нет	2	5
этими двумя	1	1
и губит	2	1
быть может	2	7
