3gram	Tiupa_NarrotologicheskiyChehov_partition_part1_wordlist_3gram	Tiupa_NarrotologicheskiyChehov_partition_part2_wordlist_3gram
у нее тревожно	1	1
не только в	6	6
а не все	1	1
сами участвуем как	1	1
опыта присутствия человеческого	1	1
низких потолков и	1	1
раз в том	1	1
изменения исходной ситуации	1	1
преосвященного как бы	1	1
в даме с	1	5
может быть рассказано	1	1
но при этом	3	1
жизни одна явная	1	1
во всяком случае	1	2
в той или	1	1
как будто он	1	1
нашего событийного опыта	1	1
и того же	1	1
все об одном	1	1
в частности в	1	1
для того чтобы	1	3
мигая глядела на	1	1
о том что	4	2
по мысли рикёра	1	1
в сознании которого	1	1
какая-то куцая бескрылая	1	1
мы имеем дело	2	2
что иное как	1	1
желание поделиться с	1	1
рассказываемой жизни и	1	1
в художественных текстах	1	2
внутренний мир персонажа	1	1
последнем мы и	1	1
одна явная [...]	1	1
на самом деле	2	1
и другая протекавшая	1	1
событийности в прозе	1	1
человеческого я в	1	1
этих невыносимых пут?	1	1
[...] и другая	1	1
в финале рассказа	1	1
текста так и	1	1
более или менее	1	1
анна сергеевна и	1	1
пережил их одиннадцать	1	1
есть на самом	1	1
кадры ментального видения	1	3
ровным счетом ничего	1	1
в человеке в	1	1
той или иной	3	4
не входит в	1	1
у чехова иначе	1	1
предполагает со стороны	1	1
оснований сомневаться в	1	1
и в то	1	1
томило сильное желание	1	1
как раз в	1	2
в зависимости от	1	2
глядела на своего	1	1
смысл именно в	1	1
к тому что	3	1
одного и того	1	1
похоже было как	1	1
широкое небо залитое	1	1
но и в	2	2
плачут и долго	1	1
поделиться с кем-нибудь	1	1
свободен теперь как	1	3
ретрансляции событийного опыта	1	1
и не может	2	1
с легкой руки	1	1
небо залитое солнцем	1	1
следует подчеркнуть что	2	1
можно ли признать	1	1
последних днях жизни	1	1
как освободиться от	1	1
в том что	8	5
и он свободен	1	1
дядю преосвященного как	1	1
не все что	1	1
чем матерью а	1	1
и все же	2	2
поименованное в тексте	1	1
папа и мама	1	1
то же время	3	4
свидетеля и судии	2	2
если бы она	1	1
кем-нибудь своими воспоминаниями	1	1
теперь как птица	1	3
начало и конец	1	3
оно и не	1	1
к страстям господним	1	1
куцая бескрылая жизнь	1	2
в е годы	1	1
оказывается всего лишь	1	1
было как будто	1	1
солнцем и он	1	1
тем не менее	4	3
в соответствии с	3	4
а стало быть	1	1
в современной нарратологии	2	2
в связи с	1	2
в равной степени	2	2
что она в	1	1
а во время	1	1
по отношению к	5	3
в конечном счете	3	1
человеческой жизни а	1	1
иначе говоря это	1	1
от первого лица	3	1
в смысловом отношении	1	1
в отличие от	5	2
дома с мезонином	3	1
в прозе чехова	1	2
сисой всю свою	1	1
матери и племянницы	1	3
при всей своей	2	1
четыре центральных эпизода	1	1
формирования хранения и	1	1
их одиннадцать душ	1	1
в строгом значении	1	1
не будет продолжаться	1	1
сильное желание поделиться	1	1
с кем-нибудь своими	1	1
я в мире	2	1
не мигая глядела	1	1
не могло быть	1	1
об этом и	1	1
и сами участвуем	1	1
же самое следует	1	1
и пережил их	1	1
с анной сергеевной	1	5
и по длительности	1	1
в нем не	1	1
в данном случае	6	8
рассказывания в этом	1	1
каждый из нас	1	1
на своего дядю	1	1
ни о чем	1	1
кругозор нарратора в	1	1
персонажа к его	1	1
свою жизнь находился	1	1
существенную роль в	2	1
в самом первом	1	1
что у него	1	1
катя не мигая	1	1
не сводится к	6	2
желая разгадать что	1	1
участвуем как слушатели-читатели	1	1
можно сказать что	3	2
что это за	1	1
собой своего рода	2	1
с одной стороны	5	1
залитое солнцем и	1	1
которая не может	1	1
начала и конца	1	3
всеми кроме матери	1	1
разгадать что это	1	1
больше дьяконицей чем	1	1
в ответ на	2	1
по большей части	3	3
в то же	3	4
в этом отношении	3	3
приказал долго жить	1	1
к тому же	4	5
точно так же	2	1
событийного опыта который	1	1
и не сводится	1	1
он свободен теперь	1	1
встречи с анной	1	1
о приезде матери	1	1
на протяжении рассказа	2	1
человеке в футляре	1	1
в известном смысле	3	2
присутствия человеческого я	1	1
между началом и	1	1
чувствовала себя больше	1	1
себя больше дьяконицей	1	1
текста в целом	1	1
в самом деле	1	2
в принципе невозможно	1	1
до сих пор	1	2
возникает вследствие того	1	1
едва ли не	1	1
даме с собачкой	1	6
событийного опыта в	1	1
без этой инстанции	1	1
обратим внимание на	1	1
перформативных и ментативных	1	1
на другой день	1	3
с точки зрения	2	1
человеческого присутствия в	1	1
по сути дела	1	1
в городе с	1	1
стало быть и	1	1
бы желая разгадать	1	1
он прямо родился	1	1
смысле можно сказать	1	1
как бы желая	1	1
в ряде случаев	1	1
всю свою жизнь	1	1
в сознании героя	1	1
эпизодов кроется ключ	1	1
кто видит в	1	1
об этом в	1	1
зрелого чеховского творчества	1	1
здесь не только	1	1
самого рассказывания в	1	1
внешнего и внутреннего	1	1
например в рассказе	1	1
зрелых чеховских рассказов	1	2
в случае с	1	1
началом и концом	2	1
и долго думают	1	1
находился при архиереях	1	1
счетом ничего не	1	1
будто он прямо	1	1
то же самое	1	2
о своей матери	1	1
архиереях и пережил	1	1
мы и сами	1	1
говорящего и слушающих	1	1
подобно тому как	2	3
прямо родился монахом	1	1
освободиться от этих	1	1
что у нее	1	2
в этом последнем	1	1
которая состоит в	2	1
вследствие того что	1	1
в своем воображении	1	1
образовались две жизни	1	1
не может быть	2	4
известном смысле можно	1	1
коммуникативное событие рассказывания	1	1
дело не только	1	1
дама с собачкой	1	1
дьяконицей чем матерью	1	1
собственно говоря и	1	1
самом первом эпизоде	1	1
две жизни одна	1	1
для другого сознания	1	1
состоит в том	4	2
явная [...] и	1	1
жизнь находился при	1	1
в повествуемом мире	1	1
это за человек	1	1
дамы с собачкой	7	2
но и не	1	1
при архиереях и	1	1
другая протекавшая тайно	1	1
с той или	1	1
в данном рассказе	2	2
надежда на будущее	1	1
от этих невыносимых	1	1
своего дядю преосвященного	1	1
