4gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_4gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_4gram
одним и тем же	1	1
с одной стороны это	1	1
но тем не менее	1	1
в заключение необходимо сказать	1	1
в том числе и	1	2
в то время как	3	1
также и то что	2	2
тем не менее в	1	1
желая во что бы	1	1
свидетельствует о том что	1	1
не чем иным как	2	1
или по крайней мере	1	3
также и на земле	1	1
что бы то ни	1	1
не что иное как	3	3
в данном случае только	1	1
заключение необходимо сказать что	1	1
поводу необходимо сказать что	1	1
не говоря уже о	1	4
о том что не	1	1
в связи с этим	1	2
на логической ошибке idem	1	1
с такой точки зрения	1	1
бы то ни было	1	1
по крайней мере в	1	2
ошибке idem per idem	1	1
этому поводу необходимо сказать	1	1
а с другой стороны	3	1
говоря уже о том	1	1
бы то ни стало	1	1
только в связи с	1	2
уже о том что	1	1
логической ошибке idem per	1	1
во что бы то	1	1
несмотря на то что	1	1
по этому поводу необходимо	1	1
в конце концов не	1	1
мы должны сказать что	1	1
