4gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_4gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_4gram
заключается в том что	2	1
для нас не только	1	1
в нашем смысле слова	1	10
во всяком художественном образе	1	1
только при условии их	1	1
общее и единичное в	1	1
взятый в чистом виде	1	1
ни к какому ее	1	1
если иметь в виду	1	1
также и то что	4	1
здесь нам суждено в	1	1
потому что дело здесь	1	1
разлагается в бесконечный ряд	2	2
то же самое время	4	2
никто не скажет что	1	1
взятое само по себе	2	1
о том или другом	1	1
д и т д	4	1
не что иное как	4	2
в той или иной	2	7
на самом же деле	4	2
указывает на нечто иное	1	1
значение сам по себе	1	1
ни в каком случае	2	3
же в конце концов	1	1
уже во всяком случае	1	1
уже символ второй степени	1	1
разложению в бесконечный ряд	1	1
во всяком случае не	1	1
образность или образная идейность	3	1
не указывает ни на	2	1
если принять во внимание	1	1
суждено в европу прорубить	1	1
является не чем иным	1	1
отличается и от типа	1	1
природой здесь нам суждено	1	1
отнюдь не всякий символ	1	1
мы должны сказать что	2	1
в одно нераздельное целое	1	5
в том виде как	2	2
в том смысле что	3	1
в том что всякий	1	1
с начала до конца	1	1
как и во всяком	1	1
с этой точки зрения	1	1
есть не что иное	4	2
то же самое можно	1	2
в то время как	4	2
тем не менее в	1	1
самое можно сказать о	1	1
и т д и	4	1
не чем иным как	1	2
в чем не заинтересованного	1	1
каком случае не является	1	1
что дело здесь не	1	1
говорить о том что	1	1
и ни в чем	2	1
как мы только что	1	1
общее и более абстрактное	1	1
то более то менее	1	1
нечего и говорить о	1	1
это можно было бы	1	1
то это значит что	2	1
еще и потому что	1	1
но отнюдь не всякий	1	1
идейная образность или образная	3	1
бесконечным числом десятичных знаков	1	1
это не значит что	1	1
в связи с той	1	1
от символа и от	1	1
самодовлеющего и ни в	1	1
ни в чем не	2	1
взятые сами по себе	4	1
до сих пор мы	1	1
xix и начала xx	1	1
в войне и мире	1	1
что тут перед нами	1	1
ни аллегория ни олицетворение	1	1
каких бы то ни	1	1
же самое можно сказать	1	1
в каком случае не	1	3
подлежащая разложению в бесконечный	1	1
символа и от мифа	1	1
а может быть даже	1	1
раздался звучный глас петра	1	1
свыше вдохновенный раздался звучный	1	1
нам суждено в европу	1	1
же в таком случае	1	1
на нечто иное чем	1	2
бы даже и не	1	1
так же как и	1	1
не имеет ничего общего	3	2
убеждаемся в том что	1	1
т д и т	4	1
указывает ни на какой	1	1
дело в том что	2	1
вовсе не являются только	1	1
может быть даже и	1	1
чем же в конце	1	1
взятый сам по себе	2	2
уж во всяком случае	3	2
тогда-то свыше вдохновенный раздался	1	1
художественный образ тоже есть	1	1
что он не просто	1	1
мы убеждаемся в том	1	1
чем же в таком	1	1
не всякий символ есть	1	3
вещей лиц и событий	1	1
они вовсе не являются	1	1
и тем не менее	3	3
или по крайней мере	4	2
символ потому что он	1	1
должны сказать что если	1	1
и начала xx в	1	1
более общее и более	1	1
ничего общего ни с	1	2
итак символ отличается от	1	1
в то же самое	4	2
то есть другими словами	1	1
предмета к самому предмету	1	1
бы то ни было	3	1
имеет ничего общего с	1	1
по крайней мере в	1	1
что здесь перед нами	1	3
той или иной мере	2	3
для тех или иных	1	1
а то что здесь	1	1
дело здесь не в	2	1
в европу прорубить окно	1	1
вдохновенный раздался звучный глас	1	1
заключается в том чтобы	1	1
конца xix и начала	1	1
это значит что и	1	1
сливаются в одно нераздельное	1	1
и говорить о том	1	1
с бесконечным числом десятичных	1	1
