4gram	Potebnia_Myslijsyk_partition_part1_wordlist_4gram	Potebnia_Myslijsyk_partition_part2_wordlist_4gram
бы иначе если бы	1	1
в том смысле что	1	1
но тем не менее	3	3
в обширном смысле этого	1	1
обширном смысле этого слова	2	1
близких к нам по	1	1
одного и того же	6	2
том виде в каком	1	1
в одном и том	1	2
на то же выйдет	1	1
тем не менее в	1	1
том смысле в каком	1	3
а между тем в	1	1
ни для кого не	1	1
речи humboldt т с	1	1
и как бы ни	1	1
можно заметить что не	1	1
в одно время с	1	1
или по крайней мере	2	1
по мере того как	4	3
чувство удовольствия и неудовольствия	2	1
воздействия души на внешние	1	1
не могут быть выведены	1	1
только в том что	1	4
в применении к языку	1	2
не может быть названо	1	1
обратить внимание на следующее	1	1
по себе не может	1	1
путем то есть посредством	1	1
понимание было бы невозможно	1	1
нас в эту минуту	1	1
humboldt т с а	1	1
ср humboldt т с	1	1
не в том что	1	2
не заключает в себе	2	1
только в обществе и	1	1
своих слов humboldt т	1	1
с одной стороны и	1	1
развивается только в обществе	1	1
сливались бы с прежними	1	1
или что на то	1	1
одной и той же	1	3
одном и том же	1	2
могут быть выведены из	1	1
себя только испытавши на	1	1
начнем с указания на	1	1
бы то ни было	1	1
в то же время	2	3
в том смысле в	1	3
в то время когда	1	1
смысле в каком имеет	1	1
дело в том что	1	2
слова потому что в	1	1
так а не иначе	1	1
а не есть б	1	2
и то и другое	1	1
что на то же	1	1
мере того как мы	1	1
применении к языку это	1	2
понятность своих слов humboldt	1	1
язык говорит гумбольдт в	1	1
лишь по мере того	1	1
слов humboldt т с	1	1
души на внешние возбуждения	1	1
в том виде в	1	1
не в том смысле	1	1
по своей последующей судьбе	1	1
