3gram	Potebnia_Myslijsyk_partition_part1_wordlist_3gram	Potebnia_Myslijsyk_partition_part3_wordlist_3gram
все то что	1	2
в себе самом	1	1
в первом случае	2	1
в ребенке только	1	1
вместе непонимание всякое	1	1
можно бы было	1	1
для того чтобы	3	2
о том что	1	1
на то что	1	1
словом и мыслью	1	1
на самом деле	1	1
не только не	2	2
как и в	2	2
не есть еще	2	1
более или менее	3	1
для душевной жизни	1	1
что и в	3	3
понимают друг друга	1	1
остаются неопределенными humboldt	1	1
что как бы	1	1
так что в	1	2
от того что	5	1
по себе а	4	1
в том смысле	3	4
есть нечто постоянно	1	1
и в слове	2	1
обозримое в целом	1	1
заключена только в	1	1
для нас в	1	1
то же единство	1	1
с этим последним	1	2
в том что	16	13
ее не было	1	1
если б ее	1	1
это так кажется	1	1
по всей вероятности	1	1
с таким образом	1	1
отношение слова к	1	1
смотреть как на	3	1
притом не только	1	2
не может стать	1	1
в этих словах	1	1
посредником между людьми	1	1
в мыслях вместе	1	1
с этой стороны	2	1
того что не	1	1
но не в	1	1
но тем не	2	3
в то же	5	3
но вслед за	1	1
можно заметить что	1	1
потому что я	1	1
то же следует	1	1
по себе и	1	1
в собственном смысле	2	1
истории языка в	1	1
и слово так	1	1
в живой речи	2	1
сама по себе	2	3
т с но	1	3
в таком случае	2	2
в зародыше но	1	1
зависит от того	2	2
мы не в	1	1
б ее не	1	1
в логике но	1	1
нам остается только	1	1
об том что	1	1
то тем самым	3	1
мы не можем	2	1
после того как	1	1
не заключает в	2	1
судить о ее	1	1
так что законы	1	1
племени народа человечества	1	1
именно того что	1	1
не могут понять	1	1
таким а не	1	1
легко может быть	1	1
то время когда	1	1
само по себе	3	4
сами по себе	1	1
и связанное с	1	1
сила не в	1	1
между тем в	1	1
заключается в том	1	1
себя то и	1	1
тем что в	1	1
будет принять что	2	1
не только в	4	3
если б мы	1	1
конечно если бы	1	1
уменьшится от того	1	1
в том как	3	3
и может быть	2	2
слова от мысли	1	1
только посредством него	1	1
и в говорящем	1	1
бы не были	1	1
быть не может	1	2
том смысле в	1	3
только при помощи	1	1
следующие за ним	1	1
что мысль в	1	2
лишь в том	1	1
потому что не	3	4
язык во всем	1	2
с такой точки	1	1
же следует сказать	1	1
то же время	5	3
необходимость слова для	1	1
точно так как	6	6
может быть назван	1	1
к божественному началу	1	1
в свою очередь	3	4
по отношению к	5	13
с нею в	1	1
таким образом в	1	1
с другой стороны	4	5
имея в виду	1	1
следует прибавить еще	1	1
состояние души не	1	1
ребенке только что	1	1
точно так и	1	2
нужно будет принять	1	1
заключить что в	1	1
в эту минуту	1	1
чем-то внешним и	1	1
а не других	1	1
разницу между этими	1	1
его связь с	1	1
в языке и	1	1
в каждом отдельном	1	1
может быть не	1	1
только что начинающем	1	1
том смысле что	1	1
и той же	2	3
в том виде	1	1
мысль в слове	1	1
вечно создается притом	1	1
что содержание слова	1	1
между людьми и	1	1
себе не может	1	1
то все же	1	1
потому что эти	1	1
в нас самих	1	1
первое время жизни	1	1
и в каждом	1	1
во многих случаях	1	1
в языке есть	1	3
подобно тому как	2	3
например что когда	1	1
в некотором смысле	2	2
есть вместе непонимание	1	1
нельзя себе представить	1	2
из виду что	1	1
и т д	3	4
из коих один	2	1
и без сомнения	2	1
так как чувство	1	1
могло бы быть	1	1
да и самое	1	1
из того что	1	1
понимание есть вместе	1	2
т с ср	1	2
что язык есть	1	5
не существует и	1	1
