2gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_2gram
с типом	1	1
все же	6	1
его в	3	6
идея которая	1	1
необходимо чтобы	1	3
мы указали	1	1
символ и	18	8
подобно тому	1	2
и знак	2	1
есть функция	1	2
что смысл	2	1
это вовсе	4	2
но тогда	3	1
символа ведь	1	1
а есть	1	4
кроме того	3	2
некоторого рода	10	5
чтобы ее	1	1
нашего исследования	2	2
в полтаве	1	1
сказано у	1	1
и т	13	11
не является	11	5
в ту	1	1
только чисто	1	1
значение этих	1	1
в которые	1	1
в известном	2	1
то что	23	42
чтобы его	1	2
взятый сам	2	1
с понятием	3	1
его как	3	2
химической формуле	1	1
тому же	1	1
нет никакой	1	2
общности в	1	1
несмотря на	1	3
связи с	8	5
же деле	4	1
именно символом	1	2
то время	4	1
и той	1	1
не всякий	1	4
собственно говоря	5	2
он является	3	1
однако в	2	2
или об	1	1
на первый	4	2
свой собственный	3	2
другими соседними	1	2
контекст а	1	1
этом случае	5	2
но символ	1	3
мы скажем	2	1
дело символ	1	1
сливается с	1	1
мы говорим	4	3
есть ее	4	24
искусствоведческих категорий	1	1
образ а	2	1
и эту	1	2
из которых	2	1
обозначения который	1	1
не есть	35	29
или иное	2	1
синих предметов	1	5
художественным образом	7	1
могут быть	2	2
цвета и	1	1
здесь еще	1	1
сказать о	1	2
и значит	1	1
точно и	1	1
у чехова	3	2
в его	9	6
все равно	3	5
структура символа	1	1
символа с	5	2
мы бы	1	1
и может	2	2
реально-исторических произведениях	2	1
мы конечно	1	1
нас никаких	1	1
знак есть	6	2
поскольку символ	1	1
подпадает под	1	1
который мы	1	2
во всей	3	3
да и	5	3
есть только	4	8
имеется в	4	1
момент поскольку	1	1
для этой	1	1
полное различие	1	1
особого рода	1	2
не можем	1	2
действительность а	2	1
повторяем только	1	1
этот раз	3	2
что иначе	1	1
вовсе не	37	35
символа от	2	3
ни было	3	1
символа о	1	1
и мощь	1	1
единичностей которые	1	2
образом что	1	1
в символе	13	17
даже если	2	4
знака мы	1	2
ни о	3	5
и нет	2	1
других знаков	1	1
есть знак	1	8
символ потому	2	2
и означаемое	1	1
медного всадника	1	2
как смысл	1	1
идейной образности	6	4
связаны между	1	1
на нечто	3	8
значение но	2	1
получить и	1	1
другой стороны	5	3
которых она	1	1
со своими	1	1
самый настоящий	3	1
то и	5	6
свидетельствует о	1	3
к этому	1	1
символа в	3	3
и все-таки	1	2
но для	1	3
и сама	2	2
же о	1	1
и не	35	31
или тип	1	1
тоже ведь	1	1
со всеми	1	2
и та	1	1
таким образом	9	6
по своему	2	9
символе и	2	1
связанные с	1	1
тогда когда	1	1
тем что	4	7
хотелось бы	1	1
одно и	3	1
это общее	1	4
что-нибудь другое	1	1
дает нам	2	1
все эти	7	8
есть он	2	1
в данном	9	9
петра i	3	2
в литературе	1	4
вообще говоря	1	1
не содержат	2	1
т д	13	10
мы находим	7	2
и того	1	2
на его	1	2
возможны и	1	1
и модельно	1	1
мы считаем	1	1
этом понятии	2	1
и этот	1	1
перед нами	8	5
говорили выше	1	2
выше говорили	1	1
и достаточно	1	1
на понятие	1	1
в сравнении	2	1
сами по	6	3
можно понимать	1	1
особенно важно	1	1
сливаются в	1	3
отвлечения от	1	1
в первом	1	2
понятия символа	1	7
предмета но	2	2
большей частью	1	2
такое родовое	1	1
без всяких	1	2
вместо этого	1	1
как принцип	1	1
он только	2	1
все наше	1	2
другом субстрате	1	2
первый взгляд	2	1
в языкознании	2	1
бы его	1	1
отражение действительности	1	1
миф и	1	1
дело в	4	3
поэтому и	2	2
с первого	3	1
то уже	1	3
в своем	5	5
и без	4	1
субстрате и	1	1
оно было	1	1
это является	3	1
по крайней	5	2
не являются	2	5
как и	10	3
на котором	2	1
или попросту	1	1
есть также	2	3
каком случае	2	3
поэтому в	1	1
действительности то	1	1
конца xix	2	2
эта идейная	5	1
и в	44	32
эту вещь	2	2
не суть	1	1
но не	3	9
ни стало	1	1
и будет	2	1
наших дней	1	1
для нас	16	5
тоже никак	1	1
чем символ	1	1
не связан	1	1
мы сказали	1	1
сторона вещи	1	2
вернуться к	2	1
по существу	2	2
как знак	1	2
бы он	1	1
и об	1	1
ни только	2	4
ее отражение	1	4
с этим	2	3
действительность не	1	1
но это	8	8
мы до	1	1
слов в	1	1
сама вещь	1	1
символ но	3	5
не стоит	2	2
ее в	1	2
знаем что	1	2
образом не	1	1
же в	3	4
в брак	1	1
есть сама	1	1
символ который	2	1
разные типы	1	1
просто как	2	1
ведь если	2	2
на тот	1	2
моделью для	3	1
это не	9	6
они сливаются	1	1
и образ	2	1
не имела	1	1
здесь в	3	3
а если	1	1
ведь всякий	2	1
необходимо обратить	1	1
но он	1	3
это значит	4	1
вопрос однако	1	1
общее и	6	1
бы нам	1	2
более или	1	3
имеет значение	6	1
казалось бы	1	4
не обязательно	2	3
прежде всего	3	10
указывает на	7	14
же такое	3	1
указанные у	1	1
в определенном	1	1
символа а	1	1
то ему	1	1
ровно нет	1	1
несущественного и	1	1
этот предмет	2	3
это тоже	2	2
хотели бы	1	1
как символ	1	6
не что-нибудь	2	2
термин символ	5	6
и своя	1	2
чем сам	1	1
в результате	2	2
большее количество	1	1
возникает только	1	1
не к	1	1
еще какой-то	1	1
что за	1	1
есть именно	5	5
не что	4	2
здесь перед	2	3
с этой	3	1
обязательно есть	2	2
эту действительность	2	1
об этом	3	10
этого вопроса	1	1
под него	4	2
состоящее из	1	1
нечто вполне	1	1
чистом виде	2	1
произведение в	2	1
почти все	1	1
а только	5	5
и соседние	1	1
поскольку в	1	2
как родовое	1	3
в первую	3	1
действительность однако	1	1
мы называем	1	2
и есть	5	6
едва ли	5	2
самом деле	3	6
это а	1	1
не сможем	1	2
самом же	4	1
хотя и	5	6
например в	1	2
то же	13	10
могло бы	3	1
другими словами	6	3
нельзя сказать	2	2
же только	1	1
мы при	1	1
бы совершенно	1	1
формуле воды	1	2
в свете	1	1
говорят о	3	2
а все	1	1
на ее	2	1
представляется нам	1	1
то более	1	1
что символ	6	13
слова символ	1	1
действительности а	1	7
здесь является	1	2
полтавского боя	1	2
никаких представлений	1	1
к этой	1	1
чтобы в	1	1
символа как	1	5
и поэтому	1	1
ясно что	6	3
отношения к	3	1
с точки	2	3
же и	4	3
бесконечный ряд	8	12
этого термина	2	4
например есть	1	1
уже некоторого	1	1
ли кто-нибудь	1	1
оно стало	1	1
скажет что	4	1
обычно не	1	1
представляется что	1	1
свои уравнения	1	1
но в	12	14
вещей в	1	1
всякого рода	4	1
не имеет	9	2
делать этого	1	2
сих пор	2	3
если и	1	1
тем не	10	18
не значит	3	2
которого он	1	2
символ есть	5	10
здесь нужно	1	1
о которых	3	3
есть прежде	1	1
а потом	1	2
себе никакого	1	1
в другом	2	1
у теоретиков	1	1
и чтобы	1	2
внимание их	1	1
в котором	2	5
образом на	1	1
для него	3	2
исключительно только	1	1
вещи для	1	1
бы даже	1	1
д и	4	4
совсем не	2	4
модель для	2	1
поскольку он	1	2
существенно а	1	2
школьной логики	1	3
себе может	1	1
знак не	1	1
можно было	4	3
мы сразу	2	1
и это	9	9
этот вывод	1	1
не с	1	1
