2gram	Ircho_Komedia_partition_part2_wordlist_2gram	Ircho_Komedia_partition_part1_wordlist_2gram
на войну	1	1
все же	3	4
его в	3	4
основную массу	1	1
v начала	1	1
поставленный на	1	1
времени и	2	1
в драматическом	1	1
связь с	1	1
платон в	1	2
сплошь да	1	1
не следует	2	2
которые были	1	1
комедия является	1	1
творческий путь	2	1
в состоянии	2	1
по свидетельству	2	1
римских грамматиков	1	1
современных ей	1	1
на основании	3	5
даже в	3	2
ко всему	1	1
в античном	1	1
и к	1	2
антиплутократические тенденции	1	1
бога трибалла	1	1
и целые	1	1
независимо от	2	5
на сцену	2	3
уже античная	1	1
этого приема	1	1
материал для	1	1
драматическом искусстве	1	1
комедии iv	1	5
сведения о	1	1
так и	5	12
в древних	1	1
и т	9	2
своей стороны	1	1
политический характер	1	1
и у	3	2
из комедий	2	3
означает что	1	1
до нас	5	4
и почему	1	2
г и	3	5
то что	2	6
в v	2	5
на ленеях	5	2
показательно что	1	3
в каком	1	1
в более	3	1
а их	1	1
времени а	1	1
из того	1	1
не один	1	1
что комедия	5	1
или для	1	1
в г	11	17
трагедии еврипида	1	1
ниже №	1	1
наряду с	2	6
следовало бы	1	1
по которым	4	2
стихов из	1	1
бы то	2	2
не обходится	1	1
все его	1	1
в одном	8	2
аттической комедии	9	15
в свою	2	1
действие комедии	1	1
можно найти	1	1
тому же	6	11
несмотря на	4	1
той же	1	3
мы найдем	2	3
к которому	3	1
это уже	1	1
быть увеличено	1	1
в обоих	1	3
силу этого	1	2
ни в	6	5
зрителям только	1	1
сделать вывод	1	1
из двух	1	1
было сделано	1	1
в годы	6	1
то время	5	3
древнегреческой литературы	1	1
что в	6	9
е а	1	1
в vii	3	1
аристофана в	4	1
этой цели	2	1
нас в	2	1
протяжении всего	2	1
однако в	3	2
друг от	1	1
в начале	3	4
что их	1	2
за ним	1	1
женщин и	1	1
как раз	3	1
но если	1	3
комедий в	1	2
расцвета афинского	1	2
и этическими	1	1
v в	13	14
чуть больше	1	1
что она	1	2
все более	3	1
как правило	3	3
в той	1	2
небом и	1	1
после смерти	3	3
о чем	1	3
и что	1	2
афин и	1	1
ближе к	1	1
в между	1	1
всего этого	2	1
дионисий и	2	1
его для	1	1
самого аристофана	1	1
и все	3	2
в период	2	3
содержания и	1	1
время пелопоннесской	1	1
спустя после	1	2
или менее	2	1
в отражении	1	1
нескольких сотен	1	1
на этот	1	4
никто не	1	3
комедии только	1	3
как две	1	1
что на	1	3
жизни и	1	3
этих комедий	1	2
к человеку	1	1
после того	3	2
в ахарнянах	2	4
комедии в	7	6
из которых	2	3
начале iv	1	2
ст и	1	2
в них	3	4
действующим лицам	1	1
рабовладельческой верхушки	1	2
названных здесь	1	1
место в	3	4
на пиры	1	1
и внутренней	2	1
хуже чем	1	1
и землей	1	1
в демах	4	2
действия и	1	1
государства и	1	1
не может	2	3
выводы о	1	1
и за	1	2
впоследствии к	1	1
в хронологическом	2	1
ли можно	1	3
мы видели	2	1
сказать что	1	1
отнюдь не	1	2
его комедии	1	2
не дали	1	1
в трагедии	2	1
вместе с	2	9
демократии так	2	1
такого рода	6	1
для аттической	1	1
сказать о	1	2
мало чем	1	1
темы в	1	1
ранние комедии	1	1
в том	11	11
мы знаем	2	3
цитат из	1	1
последней трети	2	1
в лисистрате	3	2
в его	5	4
вв до	1	1
это время	2	3
на две	2	1
с младенцем	1	1
iv вв	1	1
г а	1	1
от голода	1	1
его творчество	2	1
уважение к	1	1
приводит к	1	1
от того	1	2
о том	8	6
между тем	5	4
числа афинян	1	1
комедия с	2	1
отношение к	3	2
возможно что	1	3
похожи на	1	3
молодой человек	1	9
отказаться от	1	1
еще в	5	4
да и	3	3
в греческой	1	1
уже о	2	2
большинстве случаев	1	1
одноименная комедия	1	1
при жизни	1	1
у аристофана	6	2
становится ясно	1	1
в комедиях	9	5
для этой	1	2
не все	1	1
главным образом	3	1
как мы	4	4
в духе	1	2
однако не	1	1
также в	2	2
противоречие между	1	1
женщины в	1	1
может быть	9	11
находим в	1	1
и его	8	12
менандром и	1	1
случаях когда	1	1
же комедии	2	1
правда в	2	1
х годов	3	2
афин на	1	1
с достаточной	2	2
этот раз	1	4
даже для	1	1
античная критика	1	2
по стилистическим	1	1
вовсе не	2	2
впрочем независимо	1	1
себя внимание	1	5
из сиракуз	1	1
играли в	1	1
в афинскую	1	1
хоть и	2	5
его от	1	1
первое место	3	1
в тех	3	3
ли не	4	7
дионисию фракийскому	1	1
с тем	1	5
число мелких	1	1
чужеземном происхождении	1	1
демократического строя	3	2
ни было	2	2
богу дионису	1	1
в до	2	2
народном собрании	5	2
за свое	1	1
за собой	1	2
даже если	2	1
нас только	1	1
из других	2	1
первой из	1	1
сцены из	1	1
бы в	1	2
вслед за	2	2
либо все	1	1
