3gram	Vygotskiy_Psychologia_partition_part2_wordlist_3gram	Vygotskiy_Psychologia_partition_part5_wordlist_3gram
не могут быть	1	1
и совершенно прав	1	1
что если шекспир	1	1
силу того что	1	1
можно было бы	3	4
в основе его	1	1
то что она	1	3
и заключается чтобы	2	1
в том чтобы	2	3
и того же	2	1
король и королева	2	1
для того чтобы	19	13
мы едва ли	1	1
его истинный смысл	1	1
о том что	6	4
этой точки зрения	1	2
на то что	16	6
друг с другом	3	1
вместе с тем	3	1
и то что	3	2
звуков в стихе	1	2
что иное как	2	1
а не как	1	1
и показать что	1	1
в этом случае	2	1
по тому же	1	1
и сейчас же	1	1
если мы примем	1	1
отношении совершенно напоминает	1	1
на самом деле	2	5
когда говорит что	2	2
и что он	1	1
принадлежат к числу	1	1
в основе искусства	1	2
не только не	4	1
в первой главе	1	1
ответ на этот	2	1
друг от друга	2	1
не есть еще	1	1
потому что в	2	1
более или менее	1	1
никак не может	3	1
к действительности но	1	1
же точно и	1	2
прямо сказать что	1	1
же точки зрения	1	2
совершенно справедливо указывает	1	2
могут быть отнесены	1	1
мы примем во	1	1
мы могли бы	4	1
имеет дело с	2	2
мы имеем в	1	1
в жизни и	1	2
чрезвычайно важный для	1	1
к тому что	6	2
в зависимости от	6	1
тот факт что	4	1
нас как бы	1	1
одного и того	2	1
в том смысле	1	1
ясно что тогда	1	1
одной и той	2	4
в русском языке	1	1
совершенно понятно что	1	1
то обстоятельство что	1	1
и если в	1	1
и так как	1	1
отсюда понятно что	1	1
по сравнению с	4	2
в литературном произведении	1	1
и в частности	1	1
к указанию на	1	1
не что иное	2	1
так же точно	5	7
но он не	1	1
то что мы	2	1
в том и	2	2
же как и	1	1
том что она	1	3
в том что	14	17
то что чувства	1	1
в то время	1	3
лежит в основе	1	1
и вот это	1	1
в художественном произведении	1	5
нужно принять во	1	1
вбирает в себя	1	1
никак не к	1	1
и указывает что	1	1
что это только	1	1
поэтического произведения с	1	1
и т п	3	8
увидим что они	1	1
с таким образом	2	8
то как если	1	1
не кажется ли	1	1
художественное произведение вызывает	1	1
том что по	1	1
того чтобы сделать	1	1
и то же	3	1
приводит к тому	1	1
так же как	2	4
чтобы показать что	1	1
по крайней мере	1	1
в свою очередь	1	2
то есть не	1	1
той же точки	1	1
таким образом все	2	2
именно потому что	2	1
ту же самую	2	2
с другой стороны	5	2
в конечном счете	1	3
совершенно очевидно что	2	1
ни в каком	1	2
и когда он	2	2
в отличие от	2	1
того чтобы заметить	1	2
сам по себе	3	4
только предположить что	1	1
но еще не	1	1
