2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part7_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part4_wordlist_2gram
сказке он	4	2
мы опять	2	1
случаях герой	1	3
его в	9	3
все же	9	9
ключи и	1	1
это совершенно	1	1
теперь к	1	1
связь с	12	2
так например	2	2
этих случаях	8	16
в одну	2	2
есть та	1	1
на заре	1	1
в точности	5	1
довольно много	1	2
же происходит	3	1
своей жены	1	3
производит не	1	1
аф таким	1	1
не от	1	2
за него	1	4
некоторых случаях	4	1
встречается часто	1	1
эти материалы	1	2
он ее	2	1
что им	1	1
мифе мы	1	1
воas неи	1	1
из него	1	1
мы имеем	7	12
в иное	7	1
и к	1	1
право на	2	5
к другому	1	1
у смирнова	1	1
уже дает	1	1
в северной	2	1
но здесь	1	2
была принесена	1	1
своего отца	3	4
независимо от	1	1
впоследствии этот	1	1
чем речь	2	1
угол дунул	1	1
волшебного средства	1	1
и всей	1	1
что при	1	2
мы здесь	2	2
вар совершенно	1	1
сказку как	2	1
до этого	1	1
связан с	3	1
так и	10	5
есть помощник	1	1
в иных	1	1
харузин неи	1	1
так создается	3	1
частный случай	4	1
и т	27	17
в другой	3	3
золотые волосы	1	1
наши задачи	1	1
они имеют	2	1
и у	5	2
веселовский неи	1	1
он же	2	1
д в	1	2
тем самым	1	1
то что	16	7
регистрируем этот	1	1
из сказки	1	1
предлагает ему	1	1
могут служить	1	1
не один	1	1
его как	2	1
имеет в	1	1
в особенности	2	2
случай показывает	2	2
чтобы дать	1	1
которые и	1	1
должна быть	2	1
в русских	2	2
сказки а	1	1
все его	1	2
долг и	1	1
можно найти	2	2
показывает ему	1	2
коня не	1	1
себя не	1	1
если бы	2	1
та же	1	2
прочим и	1	2
пока только	2	1
связи с	3	3
сослаться на	1	1
три раза	2	1
в мифе	2	2
ни в	2	2
живущей воды	1	3
и которые	1	1
хозяина в	2	1
то время	1	2
между собой	1	1
как не	1	1
только после	1	2
понятно почему	2	1
что в	14	13
воды на	1	1
в сказке	47	36
герой попадает	1	1
волшебного помощника	2	1
он является	1	1
в начале	1	1
и они	2	1
а как	2	1
см а	1	1
так раньше	1	1
в своей	4	1
интересен тем	1	1
у народов	1	1
женской линии	1	1
но если	1	1
того кто	1	2
на острове	2	2
в основе	1	2
можно еще	1	1
не должно	1	1
этом случае	3	1
стороны не	1	2
что она	3	5
что если	1	1
очень часто	1	1
их имена	1	1
о чем	3	1
женитьбу на	1	1
зависимости от	1	1
и что	5	10
от огня	1	2
этом мы	1	2
верно если	1	1
что золото	1	2
ночь см	1	1
фольклорный материал	1	2
и все	2	6
тридесятое государство	1	1
тут он	1	1
наблюдать что	1	1
с героем	1	2
на этот	2	2
герой их	1	2
ждет своего	2	1
они представляют	1	1
еще одно	1	1
жизни и	1	1
вспоминается и	1	1
после того	2	4
для чего	1	1
или он	3	3
из которых	5	1
становится понятным	2	1
стоит на	2	1
что эта	3	1
в них	1	3
указать что	2	2
старик говорит	1	1
о смерти	1	1
сказке помощник	1	1
среди которых	1	1
имеющихся в	1	2
его тем	1	1
и весь	1	1
фигурирует в	1	1
при изучении	2	1
явление и	1	1
те же	3	1
вопроса первый	1	1
и так	1	2
д имеют	1	1
вар об	1	1
тебе все	2	1
ему все	1	2
рода своей	1	1
очень мало	1	1
не может	6	14
должен доказать	1	1
о связи	1	1
и за	2	1
земле в	2	1
из которого	1	1
связано с	1	3
там где	3	5
они показывают	2	1
мы видели	6	7
репертуаре русской	1	1
сказать что	2	2
к пониманию	1	1
пребывание в	1	2
аф вар	3	4
как испытатель	1	1
вместе с	6	7
говорит ему	1	2
взял его	1	2
в лесу	12	2
в том	3	7
мы знаем	8	2
представлений о	2	1
царства мертвых	2	3
женится на	1	2
происходит в	2	3
в его	5	1
показывают как	1	1
и мост	1	1
происходит не	1	1
что тот	1	2
из форм	1	1
с золотыми	3	1
и может	1	1
к другой	1	1
баня остыла	1	1
загробном мире	1	1
под его	1	1
о том	4	9
в связи	2	2
от того	2	1
представления что	1	2
русских сказках	2	2
живет в	2	1
см в	1	1
отношение к	2	5
к той	1	1
возможно что	2	3
этот мотив	4	3
есть ли	1	1
животного или	1	1
магическая сила	2	1
хотят его	1	1
не сохранила	3	1
в руки	3	1
на то	3	3
происходит иначе	1	1
или птицу	1	1
на вопрос	3	4
в животное	5	1
вступающего в	1	1
большинстве случаев	1	1
случаи когда	2	2
имеется в	2	2
и смысл	1	1
материалов по	1	1
есть некоторые	1	1
должны быть	1	3
мы и	1	1
и наоборот	2	1
в некоторых	5	1
вскочил в	1	1
не все	1	3
как мы	5	3
можно указать	2	2
от своего	3	1
по мере	1	1
на левой	1	1
может быть	14	14
известно что	2	2
случаях когда	3	4
и его	10	3
отражающие его	1	1
в одной	3	2
не можем	1	2
на ту	1	2
только тогда	3	1
шесть волов	1	1
у боаса	1	1
герою в	2	1
многих других	3	1
вовсе не	4	4
она не	3	2
вопрос же	1	1
узнать от	1	1
между двумя	12	1
есть не	1	1
к ним	2	2
его от	2	1
поставить вопрос	2	1
в тех	4	5
ответить на	1	1
этого мотива	3	5
в виде	2	1
что герой	2	12
с тем	2	1
на смену	3	1
он приобретает	2	1
здесь нет	1	3
случаев можно	1	1
две стороны	1	1
то сказка	1	1
по всему	1	1
в отдельности	2	2
в баню	1	1
здесь не	4	2
как указано	2	1
волос есть	1	2
отец и	2	2
увидим что	2	2
вода есть	1	1
к которой	1	2
другой же	1	1
и связь	1	1
ведут борьбу	1	1
тот же	1	2
и действительно	3	1
русской сказки	1	1
ему не	1	1
со стороны	1	2
по наследству	1	1
верна то	1	1
как он	6	6
заре земледелия	1	1
пока просто	1	1
три года	4	2
сказка как	1	1
том свете	1	1
нас к	7	2
что здесь	7	7
два вопроса	1	1
в частности	2	1
другой сказке	1	1
на небо	7	1
трудными задачами	1	2
то он	1	1
это дает	1	1
мотив не	1	1
у некоторых	1	2
показывает что	10	8
здесь можно	2	2
и даже	4	3
мотив трудных	1	1
по дороге	1	3
и тем	2	2
и при	3	1
то это	5	5
с ними	5	1
только в	3	6
приведем еще	1	1
в этой	2	1
другой стороны	4	8
можем здесь	2	1
со своими	1	1
с того	3	4
первобытного человека	1	1
т е	18	16
некотором царстве	1	1
опять видим	1	1
когда она	1	2
оказалось что	1	1
в мифах	2	3
был большой	1	1
царство в	1	1
то и	1	4
