3gram	Ircho_Komedia_partition_part1_wordlist_3gram	Ircho_Komedia_partition_part3_wordlist_3gram
к этому времени	1	1
но при этом	1	1
же самое касается	2	1
то ни было	2	2
ответа на вопрос	1	1
или вовсе не	1	1
когда бы то	1	2
сделать вывод что	1	1
во всяком случае	3	2
но и все	1	1
в v в	1	1
для того чтобы	6	1
к одному и	1	1
о том что	4	3
этой точки зрения	1	1
на то что	1	2
можно сделать вывод	1	1
из чего следует	1	1
вместе с тем	3	1
в обоих случаях	1	1
в том числе	1	1
из них не	1	1
друг от друга	1	1
в первую очередь	1	2
более или менее	1	1
на себя внимание	1	1
мы встречаем в	1	1
не говоря уже	1	2
марафоне и саламине	1	1
в своих комедиях	1	1
на то чтобы	1	1
и его современники	1	1
в отношении к	1	1
при всем том	2	1
самым ярким примером	1	1
к одной из	1	1
к тому что	1	1
в зависимости от	1	1
с известной долей	1	1
в этой комедии	1	4
под открытым небом	1	1
встречаем в комедии	1	1
из того же	2	1
в том что	9	9
в то время	2	5
одной из сторон	1	1
в до н	1	1
сцена с участием	1	1
ни малейшего намека	1	1
то же время	4	4
комедии и ее	1	1
хотя и не	2	1
не выражал ни	1	1
и т п	3	5
к этому же	1	1
малейшего намека на	1	1
и к тому	1	1
тому же не	1	1
тем не менее	3	1
видно только что	1	1
в соответствии с	1	1
выражал ни малейшего	1	1
именно потому что	2	2
в том же	1	1
бы то ни	2	2
с другой стороны	2	5
по отношению к	3	3
т е из	1	1
середины х годов	1	1
в отличие от	1	1
на мой взгляд	1	1
и чаще всего	1	1
один шаг до	1	1
одному и тому	1	1
что у него	1	1
не последнее место	1	1
добавим к этому	1	1
с одной стороны	3	3
в ответ на	1	1
в то же	4	4
в этом отношении	2	3
т е в	2	2
к тому же	4	5
и тому же	1	1
как раз эта	1	1
с самого начала	4	1
все остальные в	1	1
на этот раз	2	1
не уступающую по	1	1
до сих пор	9	2
едва ли не	1	3
так или иначе	2	1
комедии в ней	1	1
так как он	1	1
iii в н	1	1
речь идет о	3	3
говоря уже о	1	2
начала х годов	1	1
начала iv в	1	1
после того как	1	3
что к нему	1	1
в афинах в	2	2
в силу этого	1	1
независимо от того	1	1
что он не	2	1
из двух фрагментов	1	1
ставит нас перед	1	1
при марафоне и	1	1
в н э	1	1
мы можем судить	1	2
между еврипидом и	1	1
по своему происхождению	1	1
не в состоянии	1	2
в конце концов	2	4
то же самое	3	2
то время как	2	4
в афинах после	1	1
был изображен в	1	2
ни одной из	1	1
подобно тому как	1	1
в самом начале	1	1
обращает на себя	1	1
фр добавим к	1	1
обстоит дело с	2	1
с этой точки	1	1
чем когда бы	1	2
не по годам	1	1
дошедших до нас	2	3
чуть ли не	1	1
в афинах последней	1	1
состоит в том	2	1
и т д	1	4
но едва ли	1	1
в течение всей	1	1
его т е	1	1
до н э	1	2
же ничего не	1	1
этой же комедии	1	1
чего следует что	1	1
