2gram	Vinokur_StatiiOPushkine_partition_part3_wordlist_2gram	Vinokur_StatiiOPushkine_partition_part1_wordlist_2gram
и тех	1	1
годунова и	1	3
к пушкину	2	1
одних и	1	1
его в	2	1
все же	8	4
времени и	1	2
вытекает из	2	1
нет не	1	2
смотреть на	1	1
слов о	1	1
д разумеется	1	1
определенной исторической	1	1
самим пушкиным	1	1
этот стих	1	1
эти факты	1	1
целиком совпадает	1	1
др но	1	2
в числе	2	1
даже в	3	1
о которой	3	2
мы имеем	2	5
почему пушкин	1	1
и к	1	4
в рукописи	4	4
работы над	1	2
в данной	2	1
как о	2	2
в развитии	1	2
б с	1	1
чем у	2	1
кроме того	1	3
лишь о	1	1
и далее	1	3
которым мы	1	1
фонтана по	2	1
на язык	1	3
по моему	1	1
из таких	1	1
малой мере	1	1
так и	9	5
этому пути	1	1
и т	30	8
не является	3	3
уже давно	1	1
пушкина или	1	1
при таком	2	1
эти вопросы	3	1
для кого	1	1
когда мы	1	1
и у	2	2
за пределы	2	1
у них	1	1
ср в	5	3
в последнем	1	2
еще и	2	1
в известном	1	1
г и	2	12
и почему	4	1
доходят до	1	1
то что	18	12
но как	1	2
пушкин по	2	2
не как	1	2
в каком	3	4
немцев которые	1	1
карамзина в	1	3
им в	1	2
с пушкинскими	1	1
в г	3	12
должна быть	3	1
начала xix	1	1
все его	1	1
в пушкинское	2	1
отношении что	2	1
в одном	1	1
можно найти	2	2
традиции но	1	1
несмотря на	2	3
той же	5	2
значение этого	1	1
от себя	1	1
если бы	9	4
жизни пушкина	1	2
к которому	4	3
нет никакого	1	3
как пушкин	1	1
и такие	2	2
ни в	3	5
бориса годунова	15	34
из двух	3	1
между собой	1	1
то время	2	4
на такие	1	1
но то	1	1
для потомства	2	1
что в	30	19
из писем	1	1
один общий	1	1
биографии пушкина	6	2
согласно которой	1	1
он является	1	1
них и	1	1
языка не	2	1
в начале	3	4
а как	2	4
в своей	6	4
к сожалению	3	2
как раз	4	3
этап в	1	2
в прочих	2	1
языке пушкина	1	1
писал в	1	1
с его	1	3
начале xix	1	3
этих двух	3	2
значения как	1	1
что она	4	1
чаще чем	1	1
в той	6	1
очень часто	3	1
о чем	1	1
он эту	1	1
и что	4	3
в остальном	1	2
в применении	3	1
в период	1	1
и все	2	1
том отношении	4	1
представляет собою	2	2
и о	1	1
жизни и	5	1
характерны для	1	1
произведений пушкина	3	1
из которых	1	4
как можно	2	2
пушкина это	4	8
что эта	2	2
в них	1	5
по отдельным	1	1
или нет	1	1
борисе годунове	2	40
место в	1	6
ничего а	1	1
языка пушкина	4	2
ср еще	2	2
этому поводу	2	2
мере не	1	1
пушкина что	2	4
и так	3	1
а того	1	1
что все	2	3
не может	8	7
могут быть	5	2
язык и	1	1
и за	3	2
если не	2	1
там где	5	1
связано с	1	5
сказать что	7	4
то есть	2	2
тему о	1	2
того или	4	1
в значении	1	1
еще до	1	1
не могло	1	1
вместе с	1	2
виде в	1	1
он должен	2	1
такого рода	2	5
в том	36	20
точно и	2	1
и который	1	1
же нужно	1	1
места в	2	1
этого материала	1	1
ср у	1	1
в его	9	12
только у	2	1
мой взгляд	1	1
г а	1	3
разного рода	1	1
до меня	1	1
я считаю	4	1
о том	17	8
между тем	3	6
от того	1	2
отношение к	2	4
возможно что	3	1
объясняется и	1	1
его не	1	2
занимает в	2	1
являются лишь	1	1
пушкин и	1	3
на вопрос	4	3
было не	2	1
на то	4	5
то обстоятельство	2	5
молодой человек	2	2
в виду	1	2
во всей	1	1
уже о	5	1
которых я	1	2
для этой	1	1
в некоторых	1	3
быть не	1	2
в литературном	2	1
он писал	1	2
считаться с	2	1
а потому	2	2
поэзии пушкина	1	3
в духе	1	2
также в	2	1
как я	1	2
как мы	1	2
и примитивными	1	1
не все	3	1
iii стр	2	1
может быть	15	19
пушкинской комиссии	1	1
известно что	1	2
и его	8	3
то в	3	4
что значит	1	1
в одной	1	2
в выборе	1	2
другом случае	1	1
посмотрим на	1	1
что как	2	1
с каким	1	1
отношение в	1	1
в отношении	9	2
это место	2	2
многих случаях	2	1
стиха в	2	8
вовсе не	19	2
форм как	1	1
можно назвать	2	4
современности на	1	1
была бы	5	4
не больше	1	1
каждая из	1	3
в виде	3	3
не на	1	2
с тем	1	4
пушкина слово	1	1
здесь нет	1	2
который в	1	1
пушкина может	1	1
мы встречаем	1	1
из этого	1	4
ссылки на	1	1
том смысле	2	2
д д	6	2
во многих	3	2
той или	1	1
является его	1	1
бы в	1	1
то было	1	1
которая является	1	1
б в	1	3
можно спорить	1	1
и ему	1	1
говоря уже	1	1
выходящими за	1	1
последнее время	1	1
языка пушкинской	1	3
что нет	2	1
и других	1	2
которых в	3	1
со стороны	6	3
свою собственную	2	1
все с	1	1
но там	1	1
состоит из	1	1
как он	1	1
чем пушкин	2	1
одно из	2	2
пушкина все	1	2
были отдельные	1	1
нас к	1	2
что здесь	2	4
произведения пушкина	1	2
в частности	4	1
как говорит	1	1
показаться что	1	1
такое мнение	1	1
эпохи в	3	1
пребывания в	1	1
т п	9	6
показывает что	1	3
евгений онегин	2	1
на форму	1	1
ответ на	3	5
не было	4	4
может не	2	1
и очень	4	1
в биографии	2	2
и тем	3	4
того чтобы	11	1
во внимание	1	1
и при	1	1
то это	3	1
в своих	2	8
только в	10	6
в этой	11	14
чтобы и	1	1
и язык	1	1
другой стороны	7	5
или иного	4	1
пушкина начиная	1	1
т е	15	8
идет о	2	1
пушкина нужно	3	1
всяком случае	6	4
от необходимости	1	1
к вопросу	1	1
неясно и	1	1
