2gram	Tiupa_NarrotologicheskiyChehov_partition_part2_wordlist_2gram	Tiupa_NarrotologicheskiyChehov_partition_part1_wordlist_2gram
и сами	1	1
во сне	2	2
вглядеться в	1	1
в даме	5	1
особое место	1	3
все же	4	6
чеховских повествований	1	1
присутствия человеческого	1	1
мир персонажа	1	1
без этой	1	1
времени и	9	4
такова что	2	1
из нас	2	1
оказывается и	1	1
пока что	1	1
сути дела	1	1
центральное событие	2	2
подобно тому	3	2
сознании которого	1	1
известном смысле	2	3
слова и	1	1
случае следует	1	1
интерес к	1	2
за пределами	2	3
катя не	1	2
для другого	1	1
в повествуемом	1	1
мы имеем	3	3
и к	1	6
конечном счете	1	3
долго жить	1	1
жизни героя	3	1
с готовыми	1	1
второй главы	1	1
как нарративной	1	1
в архиерее	2	2
от этих	2	1
в единство	1	1
в данной	1	1
христианской культуры	1	1
истории а	1	2
с детской	1	1
в диалогической	1	1
за человек	2	1
рецептивного сознания	1	2
систему персонажей	1	2
городе с	1	1
в концовке	1	2
писал бахтин	1	1
нарративных практик	2	1
по обыкновению	1	1
так и	5	9
существенную роль	1	3
и т	1	2
не является	3	4
рассказано в	1	1
реальной действительности	1	1
жизнь обоих	1	1
повествуемый мир	2	2
в городе	1	1
и у	1	4
к своей	1	1
в известном	2	3
возникает и	1	1
с читателем	1	1
тем самым	5	5
то что	9	8
с гуровым	1	1
выявить в	1	1
и от	2	1
имеет смысл	1	1
самое следует	1	1
как для	1	1
бытия в	1	2
никак не	2	3
с собачкой	9	10
к различным	1	1
является искусством	1	1
его как	1	1
оснований сомневаться	1	1
наряду с	1	1
исключительно в	2	2
об одном	1	1
в точке	1	1
в одном	4	1
в свою	2	2
иное как	1	1
что обычно	1	1
тому же	6	4
жизненный опыт	2	1
нарратора не	2	1
той же	1	2
в другом	1	4
если бы	7	4
иначе говоря	8	7
рассказывания и	1	1
в обоих	2	2
связи с	2	1
принадлежит гурову	1	1
участие в	1	2
мира на	1	1
между собой	2	3
дома с	1	3
сопряжение двух	1	1
порой и	2	1
что в	3	4
оглядываясь на	1	1
говоря это	1	2
повествования и	3	1
собственно говоря	1	2
литературной наррации	1	2
в ялте	3	2
в начале	3	2
однако в	3	2
он является	1	3
опоры в	1	1
в своей	5	4
как раз	6	3
низких потолков	1	1
кадров ментального	2	1
содержаний сознания	1	1
и другая	1	1
состоит во	1	1
собственно и	1	2
с его	4	3
первый раз	1	1
истории не	3	1
освободиться от	1	1
другому человеку	1	1
в состав	3	3
что она	1	2
как правило	5	3
в той	2	5
о чем	4	2
событие не	1	1
зависимости от	2	1
по мысли	3	5
его внутренней	1	2
как восстановление	1	1
не происходит	1	2
и все	3	4
в алтаре	1	1
из базовых	1	1
в нее	1	1
или менее	1	1
в смысловом	1	1
сисой всю	1	1
на этот	1	1
детей в	1	1
человеческой жизни	2	1
повествуемого мира	5	4
чеховского повествования	4	1
через посредство	2	1
и о	3	1
жизни и	6	4
мигая глядела	1	1
жизни гурова	1	1
и притом	2	1
современной нарратологии	6	2
в реальной	1	1
как можно	1	1
и слушающих	1	2
повествовательных кадров	1	1
в кадры	2	1
по сути	2	1
на одном	1	2
анной сергеевной	5	1
ни слова	1	2
от позиции	1	2
является повествование	1	1
нарративная структура	4	1
строгом значении	1	1
не может	8	8
дама с	1	1
если не	2	2
[...] и	3	2
связано с	1	1
позволяет нам	2	1
как гадость	1	1
сказать что	2	3
то есть	9	9
отнюдь не	2	4
благодаря присутствию	1	1
архиерей и	1	2
по длительности	1	1
залитое солнцем	1	1
вместе с	2	1
дети не	1	1
не могло	2	2
сознания и	1	1
и связывания	1	1
такого рода	10	12
большей части	3	3
одна явная	1	1
в том	8	14
матери и	4	1
и событие	2	1
своем воображении	1	1
ваше преосвященство	1	1
в его	6	6
первом эпизоде	1	1
у чехова	6	9
нашего событийного	1	1
персонажей и	1	2
это время	1	1
и т.п	8	6
границы между	1	1
своими воспоминаниями	1	1
моей жизни	1	2
вследствие того	1	1
не входит	1	1
не существует	3	1
была мать	1	1
приводит к	1	1
преобразившегося героя	1	1
поскольку не	1	3
о том	4	5
между тем	3	3
нельзя назвать	1	1
чем он	2	1
обратим внимание	1	1
потолков и	1	1
дядя петруша	1	1
отношение к	1	1
похожи на	1	1
являет собой	4	1
в виду	1	1
было не	1	1
на то	2	2
при такой	2	1
было как	4	1
еще в	3	1
да и	2	3
с помощью	1	1
которых он	1	1
они неразрывно	1	1
которая не	1	2
в зрелых	1	1
мы и	1	1
все было	1	1
долго думают	1	1
в литературном	1	1
без которого	1	1
протяжении рассказа	1	2
похоже было	1	1
как мы	2	1
а потому	1	1
часто не	1	2
героя благодаря	1	1
также в	1	1
выступающего в	1	1
не все	1	2
истории о	2	1
может быть	15	10
[...] в	2	1
не несет	1	1
и его	10	3
прошлого и	2	1
не сводит	1	1
то в	4	1
не можем	1	1
его нарратор	1	2
о матери	1	1
после него	1	1
котят и	1	2
а теперь	1	1
пока еще	1	3
зрелого чеховского	1	2
из церкви	1	1
и состоит	4	2
его смерти	1	1
от которой	1	1
в нарративных	1	2
она не	2	1
но перед	1	1
матерью а	1	1
нарратора в	2	2
желая разгадать	1	1
человеческого я	1	5
отсылают к	1	1
между двумя	5	1
события рассказывания	1	7
внешнего и	1	1
повествуемой истории	3	1
ли не	2	1
не на	1	1
лев толстой	1	1
поименованное в	1	1
больше дьяконицей	1	1
за собой	1	1
оказывается всего	1	1
главное в	1	1
весело светилось	1	1
чувствовала себя	1	1
более не	2	1
чехова по	1	1
такое повествование	1	1
здесь не	2	2
даже если	1	1
о себе	1	1
ли он	1	1
с кем-нибудь	1	1
каждый из	2	1
на стороне	1	2
той или	5	3
ни о	2	1
чтобы стать	1	1
вслед за	1	6
жизни мы	1	2
мать и	2	1
своего существования	1	1
нам историю	1	1
эпизодов в	2	1
второго лица	1	2
отличие от	2	5
может именоваться	1	1
своего дядю	1	1
она в	2	1
событийность и	1	1
могло быть	1	1
повествование о	1	1
этом в	1	1
рассказ событие	2	1
и пережил	1	1
с мезонином	1	3
мира в	4	4
со стороны	8	6
как он	1	2
текста и	1	2
воспринимающем сознании	1	1
в глазах	3	4
восприниматься как	1	1
в таком	2	3
наррации это	2	1
в частности	14	11
[...] а	1	1
напряжение между	1	3
пребывания в	1	3
начало и	3	1
в следующем	1	1
и читатель	1	2
ответ на	1	5
и даже	2	3
следует подчеркнуть	1	3
в аналогичной	1	1
поскольку обладает	1	1
о жизни	1	4
мысли рикёра	1	1
еще раз	3	1
сердце у	2	1
и тем	4	5
того чтобы	4	3
статус событийности	1	1
из рассказа	1	1
с ними	2	3
только в	12	11
в этой	6	4
появляется в	1	1
о ней	3	3
в едином	2	1
так сказать	2	3
разгадать что	1	1
со своими	1	2
автора нередко	1	1
отношению к	3	5
когда она	1	1
будет продолжаться	1	1
в чеховском	1	2
то и	1	3
этих невыносимых	1	1
всяком случае	2	1
при архиереях	1	1
интроспективное повествование	1	1
свидетельствует о	1	4
например как	1	1
к этому	1	1
данный аспект	1	1
и мама	1	1
но для	3	2
находился при	1	1
оно и	1	1
высказывания в	2	1
всеми кроме	1	1
не оказывается	1	2
как в	4	5
рассказчика и	1	1
он прямо	1	1
не случайно	1	2
во всяком	2	1
и не	23	14
что у	4	2
же о	1	1
на своего	1	1
в пределе	1	1
со всеми	1	2
говорить и	1	1
нашем сознании	1	1
таким образом	1	5
тем более	1	2
по своему	2	2
жизни в	2	6
желание поделиться	1	1
началом и	1	2
если же	1	1
подобный вопрос	1	1
на будущее	1	1
осуществляется посредством	1	1
на своих	1	1
их одиннадцать	1	1
тем что	1	1
выходя из	1	1
кадра в	1	1
фокализатором выступает	1	1
и уж	1	1
и после	2	1
в жизни	3	6
это и	1	1
бытия то	1	1
последних днях	1	1
центральных эпизода	1	1
матери а	1	1
не только	31	26
по аналогии	1	1
главного героя	3	2
на другой	5	1
он не	3	5
в футляре	1	2
не ндравится	1	1
в человеке	1	1
центрального героя	1	1
начала и	3	2
наконец в	1	1
внимание к	1	1
своей матери	2	1
у костра	1	1
единство нарративного	1	1
участок текста	2	1
особенно в	2	1
в данном	11	10
в детстве	2	2
первого евангелия	1	1
тем же	2	1
нарратора и	2	3
актуальная нарратология	2	1
правило не	1	1
но о	1	1
это еще	1	1
в литературе	4	4
и потому	1	1
архиереях и	1	1
даме с	6	1
на рубеже	1	1
в специальном	1	1
к герою	1	1
от классической	1	1
в себе	6	8
образовались две	1	1
с той	1	1
и того	2	3
события как	1	1
в рассказе	8	4
и он	6	2
человеческого опыта	3	2
между ними	2	1
где в	2	1
к тому	6	9
не имел	1	1
данного общества	1	1
как у	2	4
чеховских рассказов	3	1
и персонажа	1	1
нарративной истории	3	4
формирования хранения	1	1
как все	1	1
в культуре	1	2
исходной ситуации	1	4
перед нами	5	4
теперь как	3	2
одной стороны	1	5
данного рассказа	4	1
бы не	1	1
в соответствии	5	3
анны сергеевны	3	1
и прочих	1	1
является событием	2	2
повествовательного текста	3	1
и для	2	3
жизни это	1	1
времени в	2	1
он свободен	1	1
в области	2	2
имеем дело	2	2
с легкой	1	1
персонажей глава	1	1
целесообразно именовать	1	1
него уже	1	1
изменения исходной	1	1
взывает к	1	1
и уже	1	4
как птица	3	1
одного и	1	1
и связывании	1	1
в душе	1	2
в разрывании	1	1
в событии	2	1
подчеркнуть что	1	2
не менее	3	4
еще не	4	2
ни одного	1	1
случае он	1	1
речью повествователя	1	1
он сам	3	2
сергеевна и	1	1
на подводе	1	2
сознания в	2	1
нарратор и	1	1
с ним	2	4
представляют собой	3	2
к его	2	3
и конец	3	1
же самое	2	1
не могла	2	1
в конце	2	4
и долго	1	1
в принципе	4	2
в ситуации	1	1
не вполне	2	2
а в	13	9
нарратология не	1	1
тому что	1	3
детской в	1	1
речи повествователя	1	1
представляет собой	8	16
только с	1	1
без нарративной	1	1
свести к	1	1
самого рассказывания	2	2
своей жизни	1	1
кроется ключ	1	1
героя субъекта	1	1
в своем	3	6
солнца и	1	1
в нашем	3	2
шире чем	1	1
в ходе	3	1
вплоть до	4	1
некий фон	1	1
небо залитое	1	1
не по	4	1
в молчание	1	1
в прозе	3	1
жизнь находился	1	1
к центральному	1	1
кроме матери	1	1
дамы с	2	7
центрального персонажа	3	2
куцая бескрылая	2	1
в двух	1	1
предполагает со	1	1
это весьма	1	1
по его	1	2
сильное желание	1	1
стало быть	3	2
зрелых чеховских	2	1
к нарративному	1	1
для того	3	1
понятие введенное	1	1
это за	1	1
на роль	1	1
как и	13	4
тому как	3	2
потому что	5	2
поделиться с	1	1
ему в	2	2
ретрансляции событийного	1	1
опыта который	1	1
имплицитный автор	1	1
событийный статус	5	2
открытый финал	1	1
в самом	6	2
а то	1	2
на том	1	3
тогда как	10	15
же время	4	3
видит в	1	2
его матери	1	1
анну сергеевну	1	1
в то	4	5
глядят на	1	1
анне сергеевне	2	1
по отношению	3	5
никогда не	4	6
раз в	2	2
этом отношении	3	3
можно ли	1	1
сводятся к	2	2
и в	11	13
все время	1	1
так же	1	2
не мигая	1	1
значимость в	1	1
в мире	4	4
этом последнем	1	1
не просто	1	1
не сводится	2	7
но не	4	3
говорящего и	1	1
события в	2	1
пережил их	1	1
событийности но	1	1
субъекта и	1	1
не в	6	8
человека как	1	1
говоря о	1	1
как будто	3	1
для нас	1	2
даже не	1	1
ни для	1	2
так у	1	1
по мнению	1	1
невыносимых пут?	1	1
сводится к	3	9
следует вести	1	2
выступает в	1	1
человеческого присутствия	2	1
как самостоятельный	1	1
очевидным что	1	1
вольф шмид	6	2
в половине	1	1
художественного письма	3	2
в которых	1	1
равной степени	2	2
думал он	1	1
участвуем как	1	1
для которого	1	1
референтная сторона	1	1
днях жизни	1	1
кто видит	1	1
представить себе	1	3
рассказываемой жизни	1	1
персонажа к	1	1
ю.м лотман	1	1
на нее	1	1
страстям господним	1	1
мир не	1	1
текста в	3	1
в конечном	3	3
