3gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_3gram
у нас в	2	1
а это требует	1	1
одному тому что	1	1
i в полтаве	1	1
обозначающего и обозначаемого	1	1
в том чтобы	1	1
также и то	4	2
для того чтобы	1	8
необходимо сказать что	2	2
о том что	3	5
на то что	1	8
что иное как	4	2
на первый план	2	1
для нее вовсе	1	1
на самом деле	2	4
не только не	1	3
как и в	1	1
с другими соседними	1	2
акте обозначения который	1	1
и тем не	3	8
сих пор мы	1	2
более или менее	1	3
но только с	1	1
а вовсе не	2	1
и как нечто	1	1
сливаются в одно	1	2
может быть и	3	3
той или иной	8	4
одним и тем	1	1
нее вовсе не	1	1
в символе и	2	1
одного и того	1	2
чем иным как	1	1
то или другое	1	1
а потому что	1	1
в том и	1	1
действительности когда мы	1	1
в том что	9	5
конца то есть	1	1
он есть принцип	1	1
символ тоже не	1	1
эта идейная образность	5	1
нам представляется что	1	1
хотя и не	2	2
требует от нас	1	1
по себе она	1	1
бы мы ни	1	1
и модель для	1	1
не имела бы	1	1
так же как	1	2
и то же	4	1
иметь в виду	1	3
но все дело	1	1
понимать как нечто	1	2
в себе никакого	1	1
в смысловом отношении	1	1
не имеет ничего	3	2
что такое знак	2	1
действительности но как	1	1
требует для себя	1	1
в этом понятии	2	1
уже не просто	1	1
идейной образности вещи	1	1
в этих случаях	1	2
и молот не	1	1
символ потому что	2	2
происходит только в	1	1
как мы сказали	1	1
что даже если	1	1
не есть только	1	1
в виде ее	1	1
и является символом	1	1
символ указывает на	1	1
в то же	4	4
мы хорошо знаем	1	1
нет никакой возможности	1	1
вовсе не являются	1	4
что всякий символ	2	3
и что такое	1	1
в самом деле	1	2
с художественным образом	1	1
сама по себе	8	4
в таком случае	4	6
можно сколько угодно	1	1
ни к каким	1	1
с точки зрения	2	3
то или иное	2	1
потому что иначе	1	1
сказано у нас	1	1
сказать что здесь	1	1
как будто бы	3	1
тут перед нами	1	1
хорошо знаем что	1	1
всякий символ обязательно	1	2
взятый сам по	2	1
некоторого рода смысл	1	1
здесь не только	1	2
ровно ничего не	2	1
не обязательна и	1	1
есть принцип конструирования	2	1
но ведь этот	1	1
в нем тоже	1	1
никакого отношения к	3	1
во что бы	1	1
вовсе не на	1	1
нужно сказать и	1	2
мы говорим что	1	2
как родовое понятие	1	3
сами по себе	6	3
самое нужно сказать	1	2
о том как	2	2
не что-нибудь другое	1	1
и художественный образ	1	1
заключается в том	3	1
нами только для	1	1
уже во всяком	2	1
в понятии символа	1	2
т д и	4	4
как бы они	1	1
изображения и его	1	1
не только в	2	1
в конкретном языке	1	1
не есть ни	3	5
мы выше называли	1	1
не в буквальном	1	1
для себя не	1	1
и того же	1	2
себе не содержат	1	1
и может быть	1	1
и тем более	2	1
отграничение символа от	1	1
в реально-исторических произведениях	2	1
и начала xx	1	2
художественное произведение в	1	1
как раз и	4	7
никак не может	2	1
обратить внимание на	1	1
должны сказать что	3	1
есть некоторого рода	2	1
и потому что	1	1
есть также и	2	2
это в виду	1	1
художественность в аллегории	1	1
с первого взгляда	3	1
тех или других	1	1
то есть чисто	1	1
что в нем	1	3
содержащий в себе	1	1
в их конкретности	1	1
не делать этого	1	2
не есть символ	4	5
когда мы говорим	3	2
же как и	2	1
может быть даже	3	2
сказать и о	1	3
и если мы	2	3
есть порождающая модель	2	1
если мы возьмем	2	1
но даже и	4	1
такое общее которое	1	1
жизни и тем	1	1
уже перестанет быть	1	1
с другой стороны	5	3
таким образом в	1	1
всегда есть нечто	2	1
то что здесь	1	1
о самом акте	1	1
мы находим в	2	1
общего с тем	2	2
с большим трудом	1	1
он есть также	1	1
несет с собой	1	2
не имеют ничего	1	4
прочих структурно-семантических категорий	1	1
то ни стало	1	1
того и другого	1	1
есть не что	4	2
в себе закон	1	1
это вовсе не	4	2
химической формуле воды	1	1
если же мы	1	1
себе закон для	1	1
к тому же	1	1
и только в	2	1
сознания с которыми	1	1
точно так же	3	4
тем что он	1	1
в каком случае	2	3
того или иного	3	2
мы ровно ничего	1	1
хотя и в	1	1
не значит что	2	1
то что обычно	1	1
с самой вещью	1	1
что бы то	1	1
с тем что	1	2
уже по одному	1	1
так или иначе	1	2
из наблюдаемых нами	1	1
xix и начала	1	2
дело в том	3	3
и тем же	1	1
уже видели что	1	1
самом акте обозначения	1	1
тому или иному	1	1
не имеют никакого	2	1
необходимо обратить внимание	1	1
каком случае не	1	2
вовсе не является	2	3
но если мы	1	2
ровно нет ничего	1	1
конца xix и	1	2
а не просто	3	4
то естественно что	1	1
есть нечто более	2	1
в художественном образе	1	1
самом же деле	4	1
что тут перед	1	1
а может быть	1	2
идейно-образная сторона вещи	1	1
