3gram	Tiupa_LitereturaIMentalnost_partition_part3_wordlist_3gram	Tiupa_LitereturaIMentalnost_partition_part2_wordlist_3gram
захвата рассчитанного обычно	1	1
неотрадиционалист будучи всерьез	1	1
единодушия и единомыслия	1	1
отражения в образах	1	1
есть одновременно самоактуализация	1	1
творца не может	1	1
путь никем не	1	1
по сути своей	1	1
безоглядно или направить	1	1
и теперь эта	1	1
мертвого у каждого	1	1
долю которых и	1	1
в том чтобы	3	2
органической связи с	1	1
котором художник был	1	1
культуры уединенного сознания	1	1
находка для творца	1	1
о том что	2	4
для того чтобы	1	1
этой точки зрения	1	1
х годов поэт	1	1
не могу стать	1	1
на самом деле	1	1
прожили жизнь как	1	1
образу органическим и	1	1
не только не	1	1
отныне несет ответственность	1	1
на номер на	1	1
белой из творческого	1	1
традиция и индивидуальный	1	1
привести мастеров художественного	1	1
той тесной близости	1	1
текущими частностями артистического	1	1
которая в психологии	1	1
кардинально расходясь в	1	1
оказывается общим делом	1	1
той или иной	1	2
условиям становления тоталитаризма	1	1
особое место в	1	2
хотят увидеть всех	1	1
в докторе живаго	2	1
саморазвитию жизни и	1	1
пути в кругозоре	1	1
в том что	5	4
авангардистом одновременно не	1	1
авангардистской книге о	1	1
властно над ним	1	1
шаг который предстоит	1	1
от эпохального эссе	1	1
что ей предназначено	1	1
близости которая в	1	1
как такую же	1	1
мышления и отражения	1	1
себе во взаимоотражении	1	1
отца автор отныне	1	1
были отвлечены текущими	1	1
уединенности внутренних я	1	1
одновременно не приемлет	1	1
равнению единодушия и	1	1
в будущем следующий	1	1
его онтологической характеристикой	1	1
я в путь	2	1
самовыразиться безоглядно или	1	1
в отличие от	1	5
в образах коллективного	2	1
це ка ка	1	1
может быть другим	1	1
другого в себе	1	2
я в мире	1	1
же личную никого	1	1
бахтинское малое время	1	1
взаимоподчинения и обоюдного	1	1
из творческого акта	1	1
к той органической	1	1
элиота традиция и	1	1
один в другом	1	1
том числе и	1	2
и вот уже	1	1
к художественному образу	1	1
в то же	9	7
стороны какого бы	1	1
как авангардное время	1	1
найдя другого в	1	1
в путь никем	1	1
обычно на определенный	1	1
предстоит ей сделать	1	1
присутствия в мире	2	6
никто его не	1	1
над ним неумолимое	1	1
комиссия утопического грядущего	1	1
класс и искусство	1	1
на читателя всю	1	1
место в этом	1	1
как воскрешение архаических	1	1
связанному с саморазвитием	1	1
круг лиц свой	1	1
полном соответствии с	1	2
менталитета искусство не	1	1
открывшуюся ему межличностную	1	1
не касающуюся частность	1	1
а то и	1	1
идущих светлых лет	1	1
роман или стихотворение	1	1
на литер на	1	1
сохраните на таких	1	1
для печати были	1	1
будет свой праздник	1	1
с точки зрения	3	3
человеческого присутствия в	1	2
в своего рода	1	2
последними словами написанными	1	1
клеточками коллективного мозга	1	1
отношению к мнимо	1	1
ним неумолимое находка	1	1
что было его	1	1
ремесла к той	1	1
для х годов	1	1
в художественной системе	2	1
из ведущих мотивов	1	1
жизнь читателя в	1	1
за открывшуюся ему	1	1
сообща и заодно	1	1
ушло то что	1	1
лирический герой мандельштама	1	2
у времени в	1	1
народу нужен стих	1	1
времени тогда как	1	1
и индивидуальный талант	1	1
где карнавализация трактуется	1	1
писателя с читателем	1	1
ему межличностную ценность	1	1
абсолютно мертвого у	1	1
имя и званье	1	1
