2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part2_wordlist_2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part1_wordlist_2gram
и сами	1	1
а напротив	2	1
его в	1	2
а далее	1	2
художественную реальность	2	2
речи и	1	2
написана на	1	1
вулича как	1	1
такова что	1	1
времени и	6	1
является по	2	1
лирической поэзии	1	1
печорина в	3	4
эстетического отношения	8	1
словами гегеля	1	1
не следует	4	2
печорин и	1	2
и представляет	3	1
подобно тому	3	3
известном смысле	1	1
в состоянии	1	2
и соответственно	4	1
от шашки	1	1
с чужих	1	1
зависимость от	1	1
даже в	3	2
события печорин	1	1
за пределами	2	2
мы имеем	6	3
и к	3	5
эстетической модальности	1	2
конечном счете	4	2
не становится	2	1
получает от	1	1
наскучив бостоном	2	1
строение литературного	2	1
независимо от	1	1
муза ахматовой	1	1
эстетического субъекта	3	1
заперся в	1	2
таком случае	3	2
наиболее существенные	1	1
своей коммуникативной	1	1
того и	3	2
художественном тексте	4	1
данный отрезок	1	1
текста но	3	2
его и	2	1
от автора	1	2
так и	4	15
человека написана	1	1
быть признано	1	1
концентрирует внимание	1	1
раз случилось	2	2
не является	2	1
и т	3	1
при таком	1	2
речь идёт	1	1
анализа тексту	1	1
за пределы	2	4
максима максимыча	3	16
речь повествователя	1	1
один и	1	1
в известном	1	1
тем самым	7	4
я с	1	1
на всех	1	2
то что	6	7
не как	1	1
как единого	2	1
литературным произведением	2	1
и пошел	1	1
из того	4	1
составляет своего	2	1
мы вынуждены	1	1
его как	1	2
чужих слов	1	1
проекции текста	1	2
бытие человека	1	1
неосуществима без	1	1
искусства слова	1	1
в одном	1	2
в свою	1	1
вулича а	1	2
иное как	5	1
но одновременно	1	1
тому же	4	4
произведения а	1	1
несмотря на	2	3
той же	2	2
а скорее	1	1
понимать как	2	1
художественных значимостей	1	4
иначе говоря	9	11
от себя	3	1
если бы	3	3
в обоих	1	2
связи с	1	1
же точно	1	1
ни в	4	1
что в	5	2
текста с	1	1
слова о	1	1
сопереживания актуализация	1	1
собственно говоря	4	2
однако в	3	1
в начале	2	1
а как	2	2
о самом	1	1
скоро все	1	1
за ним	1	1
станице на	1	1
как раз	1	4
в своей	6	2
друг с	1	1
речи такова	1	1
художественное впечатление	1	2
читателя не	3	1
с его	3	1
неуместными замечаниями	1	1
целого если	1	1
этих двух	1	1
и адресата	2	2
адресата и	1	1
и больше	1	1
как правило	4	4
на наш	6	1
фаталиста к	1	1
о чем	1	2
убийца заперся	1	1
и напротив	1	1
и что	1	1
фиксации и	1	1
сотворчеству не	1	1
восходящая к	2	1
коммуникативным событием	1	1
и все	3	3
актуализация смысла	2	1
> и	1	1
или менее	1	1
в проекции	3	8
что случилось	2	2
и заключается	2	1
в карты	1	1
с иными	1	1
легко можно	1	1
художественного смысла	7	3
описания в	1	1
и о	2	1
борьбу с	1	1
но отнюдь	1	1
единого высказывания	1	1
себя и	4	1
в противоположность	2	2
в них	1	1
общей картины	1	2
равнопротяженным тексту	2	1
только не	2	4
не имея	1	1
лишь одна	1	1
ему жизни	1	1
место в	3	3
не есть	8	2
проекция текста	1	1
те же	1	2
что все	1	2
восприятия как	1	1
композиция в	3	1
без исключения	1	1
не может	22	4
могут быть	4	10
если не	1	1
эта модель	1	2
ко всем	1	1
то есть	11	9
следует понимать	1	1
отнюдь не	15	8
того или	3	3
что позволяет	1	3
произведения искусства	3	1
вместе с	4	2
факторы а	1	1
отталкиваясь от	1	1
это всегда	3	1
крайне существенное	2	1
такого рода	5	2
и одновременно	3	3
в том	27	12
другого как	1	1
эстетическим субъектом	1	2
все прочие	2	1
казачьей станице	1	1
оно в	1	1
в его	13	2
уровней и	1	1
все равно	1	1
полной мере	3	1
и т.п	5	8
организации художественного	3	3
его речи	1	1
в акте	2	1
прежде чем	1	1
организации литературного	3	2
в диалоге	1	2
организации текста	3	3
к смыслу	1	2
в связи	1	1
о том	5	7
речи в	1	2
испытать судьбу	1	1
полюс смысла	1	1
между тем	5	2
нас самих	2	1
в текст	3	2
произведения что	1	1
являет собой	1	3
все разошлись	1	1
в пустой	1	2
на вопрос	4	1
было не	1	1
центра этого	1	1
в виду	1	1
эстетического дискурса	10	3
бы с	1	1
это рассуждение	1	1
да и	1	1
еще в	2	2
