2gram	Voloshinov_MarksizmFilosofijaJazyka_partition_part1_wordlist_2gram	Voloshinov_MarksizmFilosofijaJazyka_partition_part2_wordlist_2gram
все же	5	8
его в	7	3
за бортом	2	1
данном языке	1	1
между которыми	1	1
второго направления	4	27
этом как	2	1
с языком	1	1
которое он	1	1
кроме того	1	6
и всей	1	1
но более	1	1
речи может	1	1
к проблеме	2	2
не является	8	4
языка по	1	1
то что	4	8
– с	3	2
конечно эти	1	1
и слушающего	1	2
бытия в	2	7
его как	1	1
его так	1	1
языка является	2	1
все его	2	1
социальных оценок	2	1
нет никакой	1	2
мышления и	1	1
мы получим	1	1
связи с	13	11
же деле	3	2
социальная ситуация	2	3
между собой	1	2
он является	1	3
с условиями	1	2
всею отчетливостью	1	1
слова до	1	1
речевого общения	12	3
этом случае	1	3
все более	2	1
данного слова	4	1
направления философско-лингвистической	1	10
и речи	2	2
громадное значение	3	2
система нормативно	3	2
данности языка	2	2
с проблемою	4	1
следующей главе	2	1
не есть	3	3
понятно что	1	3
могут быть	3	2
– не	6	6
речевых выступлений	6	2
значение все	1	1
сознания и	3	3
как такие	1	1
и стилистики	1	2
от значения	1	1
о языке	1	8
понимается только	1	1
в его	5	6
истории языка	3	2
социальных сил	1	1
и гибкий	2	2
языка лишь	1	1
всех подобных	1	1
знаком а	1	1
становления –	1	1
что система	1	2
науки о	2	4
ее например	1	1
еще в	1	1
во всей	1	1
языка то	1	1
существует для	2	2
и борьбы	1	1
мышления о	2	1
по мере	4	2
языкового явления	1	2
и идеологии	1	6
говорящей особи	2	1
были бы	1	1
вовсе не	11	5
между двумя	1	3
законы творчество	1	1
– социальная	1	1
идеологического оформления	1	1
здесь нет	1	1
ни было	6	10
из этого	1	2
ряде существенных	1	1
сознание –	3	1
бы в	4	2
речевой акт	4	2
понимания в	1	1
синхроническом разрезе	1	3
направления как	1	2
в каком-нибудь	1	2
места для	1	1
организующий центр	1	1
не касается	1	2
как процесс	2	1
ответ на	2	1
и мир	1	1
так сказать	14	6
другой стороны	1	6
отношению к	8	2
эта система	2	1
которые он	1	1
к этому	5	5
но для	2	2
и сама	1	2
начала ясно	1	2
системы языка	1	3
и не	19	26
до настоящего	2	5
слово как	2	4
анализа форм	1	1
те новые	1	1
со всеми	1	1
лежит в	2	1
таким образом	14	17
говорить об	1	1
тогда когда	1	1
имеет свою	1	3
тем что	2	2
внутреннюю жизнь	1	1
увидим в	1	2
переживания мы	1	2
смысле этого	4	3
смысле совокупности	2	3
в материале	2	3
все эти	3	7
для всего	3	3
этот процесс	1	3
в данном	5	4
значительной степени	2	1
знака является	1	3
с самого	5	4
в точном	4	1
и того	5	6
– что	1	2
знаков в	1	2
языка в	3	14
как если	4	2
это мышление	3	1
в неразрывной	2	2
жизненной идеологии	12	2
данное переживание	1	1
сами по	1	1
до конца	2	5
философско-лингвистической мысли	4	16
самое слово	1	1
нужно прибавить	1	2
понимания чтобы	1	1
остальные явления	1	1
в русской	1	2
нам важно	2	1
как ни	1	1
языка –	6	10
в своем	2	2
стороны и	2	1
в нашем	2	2
этом направлении	1	1
лингвистики в	1	1
лежащая в	3	1
социального общения	3	12
как и	9	12
мы были	1	1
только единством	1	1
говорящих индивидов	1	1
же время	8	3
речи или	1	1
языка проблема	1	1
и в	19	19
непререкаемых для	1	1
в корне	3	3
но не	2	1
нее и	1	1
если оно	1	1
и обеспечивает	1	2
xvii и	1	1
с идеологическим	1	1
ситуации переживания	1	1
мы сказали	3	1
как знак	1	2
– а	1	2
ближайшая социальная	1	1
с этим	3	4
то о	1	1
следует ли	1	1
лингвистикой и	1	1
друг другу	1	1
языковая реальность	1	1
ее в	1	1
данной группы	1	2
ведь если	4	1
конечно не	4	5
это не	4	1
здесь в	2	3
лежит за	1	1
должно быть	3	2
есть деятельность	1	1
как такой	3	4
речь? как	1	1
– социальное	1	1
более или	2	1
становления данного	1	1
имеет значение	1	2
прежде всего	7	13
него как	1	1
взаимодействие в	1	1
этот предмет	1	1
лишь там	2	1
по всем	1	1
социально организованными	1	1
язык существует	2	1
и наконец	1	1
части в	1	1
для других	3	2
перестает быть	1	1
широком смысле	1	1
не что	1	1
метода в	1	1
себетождественных форм	1	1
формы а	1	2
поэтому с	1	1
– к	2	1
этого вопроса	1	1
значения и	3	1
в совершенно	1	1
как системы	2	5
почти все	1	1
и внешним	1	3
а только	1	1
общая территория	1	1
это та	1	1
совпадает с	1	2
лингвистика как	2	1
пр но	2	1
самом деле	9	10
т.е с	1	2
социально-экономическими предпосылками	1	1
синтаксиса и	1	1
такая абстракция	1	1
самом же	3	2
хотя и	1	1
– в.в	2	1
данном контексте	2	1
грамматики или	1	1
например в	1	1
как всякое	1	1
то же	16	7
действительности –	1	2
форм языка	5	1
речи являются	1	1
наметить лишь	1	2
другими словами	2	2
ее при	1	1
в данный	1	2
значение и	2	1
переживание и	1	1
мы видим	1	1
это –	9	4
идеологических систем	3	1
речи –	2	1
глава вторая	1	2
spitzer lorck	1	1
сознания как	1	3
основную проблему	1	1
но при	1	2
точку зрения	2	2
почти не	1	1
первого направления	5	15
знака в	1	5
данного языкового	1	2
двух направлениях	2	1
не совпадает	1	1
там и	1	2
в действительности	1	2
ясно что	1	5
с точки	13	20
же и	1	2
можно только	1	1
proton pseudos	2	2
пролить свет	1	1
всецело определяется	3	1
существует таким	1	1
различие между	2	3
индивидуалистического субъективизма	7	5
своей индивидуальности	1	1
и антитезисами	1	1
языка а	2	3
к знаку	1	2
но в	7	7
в контексте	5	8
не имеет	3	3
индивидуалистическим субъективизмом	1	1
история языка	2	2
– оно	1	1
сих пор	3	8
акт –	3	1
тем не	1	2
не значит	1	1
языковую форму	3	1
притом так	1	1
есть прежде	1	1
в потоке	1	1
такая же	1	1
как такое	2	3
в другом	3	2
в котором	3	3
для него	9	9
единичная вещь	1	1
не о	1	1
свою очередь	5	2
совсем не	1	1
поскольку он	1	1
этой проблемы	1	4
понимания и	2	3
более всего	1	1
конкретной ситуации	1	1
и это	3	3
вне его	1	4
мы его	1	1
людей так	1	2
следовательно не	1	2
зрения самого	2	1
а следовательно	1	1
в последнее	1	1
нее не	1	1
так называемая	1	4
так например	1	1
не следует	2	1
и непосредственно	2	1
говорящего на	1	1
индивидуальной психики	1	3
менее всего	3	2
проблему и	1	1
моменты –	1	1
основных направления	1	1
между первым	1	2
совокупность жизненных	1	1
синхронической системе	1	1
жизненных жанров	1	2
всецело определяются	1	1
еще и	1	1
в последнем	1	1
конечно в	3	2
форм речевого	1	1
лингвист в	1	1
и от	3	3
бы это	2	1
в одном	1	1
или поздно	1	1
той же	3	2
лишь для	1	3
является продуктом	1	2
язык –	3	2
друг от	1	1
в начале	2	5
а как	4	3
же является	3	4
или же	2	1
творчество языка	2	1
друг с	1	1
наблюдаем два	1	1
с его	8	1
знаем является	1	1
к конкретным	1	1
этих двух	1	1
в той	5	1
реальность лежит	1	1
есть вещь	1	1
сознание не	1	1
и вторым	1	2
что самое	1	1
и все	6	5
к языку	1	2
организованными людьми	1	1
как такого	2	1
в индивидуальной	2	1
жизни и	2	2
лишь постольку	1	1
для понимания	3	1
может стать	2	5
языковых норм	1	1
т.е те	1	1
и так	1	1
и ни	1	1
в чужих	1	1
там где	2	2
лишь с	2	4
ко всем	2	1
отнюдь не	8	6
язык как	6	7
индивидуальный речевой	1	2
слова но	1	2
свое выражение	1	2
языкового коллектива	2	2
марксистской литературе	1	1
языка с	1	2
мы знаем	2	5
в том	7	6
его социальная	1	1
отсюда следует	3	2
на почве	9	6
и т.п	10	10
определяется в	1	1
как они	1	1
из всего	2	1
от того	1	4
к самому	1	1
слово слово	1	1
данного говорящего	2	1
не все	1	2
как мы	15	13
– общая	1	1
в каких	1	1
социальная среда	1	1
философии языка	1	29
процессе его	2	1
в отношении	4	4
можно назвать	1	1
ответить на	1	1
здесь не	1	1
непрерывный процесс	2	1
нем нет	2	2
тот же	1	4
и осуществляется	1	1
становящегося бытия	1	1
последнее время	1	1
проблемы реальной	2	2
взаимодействия и	1	1
со стороны	1	1
– и	5	4
внутреннего слова	2	1
как он	1	2
и между	1	4
общения так	1	1
языковая форма	4	1
высказываний и	2	1
нет ничего	1	3
направления –	1	2
слова мы	1	1
и единого	1	1
речи мы	6	1
в психике	1	1
нет даже	1	1
чтобы понять	2	1
данном конкретном	1	2
от этого	2	2
конечно совершенно	2	2
на слово	2	1
системы себетождественных	1	1
неизбежно должно	1	1
систем –	1	1
уже в	2	1
психики и	1	7
абстрактного объективизма?	1	1
это и	1	3
именно здесь	2	2
идеологии но	1	1
в истории	3	3
и потому	2	5
себя от	1	2
выражение и	2	2
и он	2	2
с их	1	1
на основе	3	1
во-вне в	1	2
из них	1	3
мысли в	1	2
всего второго	1	2
с другом	1	1
т.п эта	1	1
язык в	1	4
остается изолированным	1	1
высказывание parole	1	1
него не	1	1
одного и	4	5
вполне понятно	4	3
несобственной прямой	4	1
быть ничего	1	1
общения –	1	1
строится между	1	1
не менее	1	4
является социальным	1	1
еще не	3	4
нормативно тождественных	5	7
к его	2	2
же самое	6	3
следовательно и	2	2
на все	2	1
мы полагаем	2	1
каким-либо иным	1	2
форму как	1	1
него язык	1	1
als rede	1	1
конкретном высказывании	1	1
всеми членами	1	2
является языковым	1	1
высказывание таким	1	1
самый момент	1	1
и на	5	4
всегда и	2	1
на которое	1	1
реплики диалога	2	1
возможно только	1	1
зрения языка	1	3
в двух	3	2
вообще не	1	1
для того	6	4
материале слова	1	5
разрыв между	2	1
но вот	1	1
в самом	6	10
становление языка	3	1
в то	8	3
так называемой	2	1
никогда не	7	2
и проблемы	1	1
говорящего как	1	2
как оно	1	2
связаны с	1	2
так же	5	7
и определяют	2	1
говорящих отсюда	1	1
и самый	1	1
так что	1	1
не в	10	5
на границе	2	3
высказывание –	4	2
более широкий	1	1
уже с	1	1
для которого	1	1
на нее	1	1
и иных	1	2
как это	1	1
нами в	3	1
время является	1	1
отношении к	5	4
определении этих	1	1
лишь в	14	9
исходить из	1	1
социальной ориентации	4	1
согласно учению	1	1
время наиболее	1	1
тезисами индивидуалистического	1	1
значение то	1	1
и самого	2	1
и т.д	4	2
нет в	1	1
жизни языка	1	1
слово в	3	3
как от	2	1
к истории	1	1
сплошь идеологично	1	1
и др	1	2
чисто физиологический	1	1
формой языка	1	1
принадлежит к	1	1
эти две	1	1
далеко не	2	4
как бы	19	15
в процессе	18	14
определенном идеологическом	1	1
же социальная	1	1
 глава	1	1
может идти	1	1
такое понимание	2	1
антитезисами абстрактного	1	1
и всюду	2	1
и наличны	1	1
и пытается	2	1
себе значение	1	1
форме и	1	1
мы можем	6	2
выходят за	2	1
противостоит высказыванию	1	1
представители индивидуалистического	1	2
только при	1	3
чужого иноязычного	3	1
от его	1	1
превращаются в	1	1
или точнее	1	1
является для	2	1
от конкретных	1	1
высказывание не	1	1
вне знакового	1	1
является чистым	1	1
формы слово	1	1
в целом	1	1
в общей	1	2
сознания к	1	1
что не	2	2
и пр	25	12
а не	9	7
тот или	1	1
если мы	6	11
превращается в	1	1
системе языка	5	4
сказанного нами	2	1
одним из	2	2
как же	1	4
и ее	4	3
или даже	1	1
это диалектическое	1	1
объективизма и	1	1
общественная психология	1	5
нашей работы	3	3
является выражением	3	1
втором направлении	1	1
известной степени	1	1
не найдем	1	2
высшей степени	3	3
в каждую	1	1
могли бы	1	1
стилистическая индивидуация	1	1
– совершенно	1	1
психики не	1	1
сознания говорящего	1	4
и особенно	2	1
и высказывание	2	2
оно может	3	4
– в	4	10
рано или	1	1
единичной особи	1	1
является не	5	6
связана с	2	2
с целью	1	1
отражает и	1	4
не дает	1	3
оно ни	2	3
формы и	2	3
характерно что	3	1
все основные	2	1
войти в	1	3
что же	1	4
ошибки абстрактного	1	1
не поддающийся	1	1
и их	4	2
столь же	3	1
в работе	1	2
вопрос о	2	4
в которой	1	3
к нему	5	1
во внутренней	2	1
ничего не	4	6
его формы	4	2
основоположения первого	1	1
данную эпоху	2	1
самого говорящего	2	1
том числе	1	2
должен быть	2	1
явлением –	1	1
произведение или	1	1
в лингвистике	1	4
чрезвычайно важно	1	1
этому нужно	1	2
порождает в	1	1
точном смысле	4	1
каждое слово	1	1
русском языке	4	1
в сущности	14	3
и по-видимому	1	1
или иной	5	3
более и	2	1
и здесь	5	6
сознание говорящего	1	1
как выражение	1	1
самого начала	5	4
языковой группе	1	1
человека в	1	2
нет места	1	1
оно должно	1	1
то такой	2	1
идеологии мы	1	1
тождественность языковой	1	1
при этом	9	8
в форме	5	1
случайных и	1	1
оно становится	2	2
того что	4	3
но уже	1	1
но что	2	1
– фикция	1	1
реальностью языка	2	1
индивидуальным организмом	1	1
в нее	1	1
данности языковых	1	1
ни к	1	2
они существуют	1	2
противоречий и	1	1
научения языку	1	1
зрения системы	1	1
и вся	1	1
входит в	1	5
в слове	4	10
то ни	5	8
языка как	9	17
что это	2	1
находятся в	2	1
индивидуальной психике	1	1
и другие	1	1
может пролить	1	1
выражение в	5	4
в значительной	2	1
какая языковая	1	1
слова и	6	3
к другому	5	3
переживания и	4	2
таком случае	3	2
мы совершенно	1	1
так и	10	11
у них	1	1
готовой и	1	1
творческих импульсов	1	1
прямой и	1	1
звука а	1	1
но как	2	1
ситуации и	1	2
диалектического расширения	1	1
языковых фактов	1	1
прямой речи	9	1
языка для	1	5
данного высказывания	5	1
члена данного	1	1
бы то	4	8
и практической	1	1
в высшей	3	3
сложившиеся идеологические	2	1
направления в	1	4
если бы	11	2
модификация этих	1	1
выражения в	2	1
как раз	4	2
форм и	1	4
его понимаем	1	1
на материале	3	8
о чем	2	1
и что	1	1
работы мы	1	3
всем этим	2	1
тесной связи	2	1
опереться на	1	1
себя и	1	1
слова –	2	1
уже к	1	1
место в	2	3
говорящего сознания	4	2
они –	2	1
что все	1	2
философия слова	2	1
сказать что	4	4
– говорит	2	4
места в	1	3
всех без	2	4
для говорящего	1	3
приводит к	2	1
как специфического	1	4
именно эти	2	2
являются лишь	2	2
идеологическом творчестве	1	2
бы к	1	1
в самой	1	1
с помощью	6	6
большинстве случаев	5	3
должны быть	2	3
однако не	1	2
идеологической формы	1	1
в духе	1	1
как чисто	1	1
относится к	3	1
эпохи –	1	1
и его	16	19
то в	1	2
и вне	1	2
основе лингвистической	2	1
ситуация и	3	1
речи все	1	1
высказывания к	2	1
является пониманием	1	1
системой нормативно	1	1
момента в	1	1
проблемы языка	1	1
общения в	3	3
той или	4	1
идеология –	1	2
идти и	1	1
идеологического общения	1	5
и прежде	2	2
пор совершенно	1	1
конечно нет	1	1
все разобранные	1	1
и действительно	1	3
же мы	1	1
содержание психики	1	4
поэтому-то и	1	2
на этой	5	2
и даже	2	2
помимо этого	1	1
и тем	4	1
установкой на	2	2
