3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part2_wordlist_3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part1_wordlist_3gram
во второй части	1	1
перед нами в	1	1
в этом рассказе	1	1
друг за другом	1	1
герой из подполья	1	1
в пределах того	1	1
как мы уже	1	1
типа а не	1	1
то ни было	1	1
можно было бы	2	3
человека по отношению	1	1
лежит в одной	1	1
в себя как	1	1
его художественную форму	1	1
во всяком случае	3	1
приводит к распадению	1	1
нами в пределах	1	1
в одном сознании	2	1
как и всякое	1	1
о том что	1	1
героя а не	1	1
этой точки зрения	1	1
друг с другом	1	4
по себе еще	2	2
полноценных сознаний с	1	1
что может быть	2	1
а не как	4	1
как и всегда	1	1
сознания с их	1	1
из подполья и	2	1
в большинстве случаев	2	8
на самом деле	4	1
в большей или	1	1
слово о себе	2	3
между тем как	4	1
то перед нами	2	5
не только не	1	1
слова о нем	1	1
таким образом и	1	1
как точка зрения	1	1
одним из героев	1	1
в его романе	1	1
точка зрения как	1	1
более или менее	1	3
как раз и	3	2
в себе его	1	1
вовсе не как	1	1
а вовсе не	1	1
не была бы	1	1
человека в человеке	2	2
в одном голосе	1	1
в одной плоскости	5	2
может быть и	1	2
единство романа достоевского	1	1
не входит в	3	1
одной плоскости с	3	1
и окружающий его	1	1
в каждом слове	1	2
принципом видения и	1	1
в отношении к	1	2
о нем в	1	1
рассказа от автора	1	1
к своему предмету	1	1
т е вступить	1	1
этом смысле глубоко	1	1
слова он сам	1	1
что в нем	1	1
в каждом атоме	1	1
в себе и	1	1
самим собою но	1	1
резко отличается от	1	1
и не может	2	4
идеологии достоевского не	1	1
же как и	1	1
а следовательно и	1	1
в том и	1	1
нам кажется что	1	2
большинстве случаев в	1	1
в том что	6	1
видеть и изображать	1	2
в то время	1	2
может быть лишь	1	1
конечно не в	1	1
то же время	9	5
в сущности не	1	1
в которых может	1	1
хотя и не	1	2
и т п	3	9
дело идет о	3	1
моменту нашего тезиса	1	1
и наконец в	1	1
но и на	1	1
содержательно теми же	1	1
в результате такого	1	1
с горы скатились	1	1
прислушивается к каждому	1	1
словом но в	1	1
и его слово	1	1
точек зрения и	1	2
за их пределы	1	1
в столкновение с	1	1
не может найти	1	1
по крайней мере	1	1
как бы дана	1	1
с их мирами	4	2
предметом изображения в	1	1
в самом предмете	1	2
бы то ни	2	1
мы увидим дальше	1	1
чужим словом но	1	1
по отношению к	8	5
с другой стороны	3	3
в первых произведениях	1	1
стиль и тон	1	1
остановимся лишь на	1	1
для достоевского не	1	2
строится так чтобы	1	1
лишь для героев	1	1
чужому слову о	1	1
том что он	4	2
как и герой	1	2
не сливается с	2	1
в романе достоевского	5	1
и всякое иное	1	1
в одном из	1	1
другой стороны и	1	2
но все же	2	2
в той же	2	1
отношению к себе	1	1
он есть а	1	1
но конечно эта	1	1
как мы сказали	1	2
идет о сочетании	1	1
не есть конечно	1	1
в художественном мире	2	1
как чужое слово	1	2
так и в	1	1
можно сказать что	1	1
не укладывающиеся в	1	1
но не в	1	1
большей или меньшей	1	1
по замыслу достоевского	1	1
и о мире	1	1
в самой структуре	2	1
в то же	9	5
все же не	2	1
т е в	2	1
мы остановимся лишь	1	1
друг к другу	1	2
первых произведениях достоевского	1	1
себе самом и	4	1
о себе самом	9	3
ни в одном	1	2
из этих трех	1	2
дело далеко не	1	1
никогда не довлеет	1	1
чужое слово как	1	2
себе еще не	2	2
вполне понятно что	1	1
быть весьма различны	1	1
самосознания и самовысказывания	1	1
в самом деле	2	4
в его творчестве	2	1
в каждом романе	1	1
слово как слово	1	1
человека из подполья	2	1
видения и понимания	3	1
творчестве достоевского в	1	1
и иван карамазов	1	1
до сих пор	2	7
могут быть весьма	1	1
сама по себе	1	4
не согласиться с	1	1
до настоящего времени	1	1
в произведениях достоевского	3	3
своего социального круга	1	1
для него в	1	1
дело в том	1	1
с точки зрения	13	8
в творчестве достоевского	4	2
к себе самому	1	3
мы уже говорили	1	3
достоевского как мы	1	2
в романах достоевского	5	2
может быть или	1	1
изображенный мир в	1	1
нести в произведении	2	1
в этом смысле	10	2
так чтобы сделать	1	1
он не только	1	1
поэтому слово о	1	1
достоевского в этом	1	1
почти никогда не	1	1
он знает что	1	1
в бедных людях	1	3
или меньшей степени	1	1
адэкватное ему но	1	1
же время не	3	1
ставит нас перед	1	1
если б я	1	1
отношению к нему	1	1
на этот вопрос	1	2
как бы в	2	4
с чужим словом	1	4
у достоевского совершенно	1	1
и в других	1	1
себе самом с	1	1
в мир достоевского	1	1
принципы сочетания голосов	1	1
со своим двойником	1	1
но в то	5	3
и понимания мира	2	1
творчестве достоевского но	1	1
как будто и	1	1
у него в	1	1
в конце концов	5	2
и в нем	1	1
то время как	1	2
из одного куска	2	2
но и эта	1	1
то же самое	1	1
с самим собою	1	5
его художественного видения	1	1
в настоящее время	1	2
нашего тезиса к	1	1
романа достоевского как	2	1
то что было	3	1
как если бы	1	2
не может быть	4	4
оставаясь содержательно теми	1	1
само по себе	3	1
приходит в столкновение	1	1
как один из	1	1
сами по себе	3	1
не в одном	1	1
под его влиянием	1	1
должно ощущаться как	1	1
проявляется и в	1	1
здесь же нам	1	1
художественном мире достоевского	2	1
не изображаются они	2	1
и т д	1	4
достоевский прежде всего	1	1
лишает их всякой	1	1
остается в пределах	1	1
точку зрения на	2	1
тот же самый	1	1
отчетливого теоретического осознания	1	1
хотя бы и	2	1
бы ни были	1	1
как нам кажется	1	2
сознаний с их	4	1
кто он у	1	1
же время оно	1	1
