3gram	Potebnia_Myslijsyk_partition_part1_wordlist_3gram	Potebnia_Myslijsyk_partition_part2_wordlist_3gram
из того что	1	1
его действие на	1	1
оно не имеет	1	1
не могут быть	3	2
что на то	1	1
к нам по	1	1
в том в	1	1
то ни было	1	1
ни для кого	1	1
если б мы	1	1
душевной жизни но	1	1
во всяком случае	7	1
в этом единстве	1	1
в каждое мгновение	1	2
что мы не	1	1
бы иначе если	1	1
своих слов humboldt	1	1
и того же	6	2
для того чтобы	2	2
о том что	1	1
а не иначе	1	1
в том как	1	3
на то что	3	1
них не было	1	1
или что на	1	1
было бы невозможно	5	1
хотя мы не	1	1
заметить что не	2	1
и может быть	2	2
не есть б	1	2
себя только испытавши	1	1
то есть посредством	1	1
будем помнить что	1	2
в таком виде	1	2
при этом не	1	1
на самом деле	2	1
между тем как	2	1
друг другу и	1	1
вопрос о том	1	1
психологии есть не	1	1
не менее в	1	1
как и в	1	2
и для самого	1	1
на вопрос как	1	1
друг от друга	1	2
чувственные восприятия и	1	2
потому что в	1	4
что человек есть	1	1
потому что как	1	2
более или менее	8	1
нас в эту	1	1
слова потому что	1	1
происходит тогда когда	1	2
обратить внимание на	1	1
могут быть выведены	1	2
которые могут быть	1	1
которые должны быть	1	1
путем то есть	1	1
то и другое	4	2
так что например	1	3
в сознании все	1	1
том смысле в	1	3
что в истории	1	1
что и в	1	3
т с а	1	1
имеет дело с	1	1
мы видели что	1	1
лишь по мере	1	1
иначе если бы	1	1
в обществе и	1	1
в самом обширном	1	1
том как именно	1	1
и в этом	1	6
от того что	4	1
одного и того	6	2
из коих каждая	1	1
в том смысле	4	4
слова сравнительно с	1	1
в обширном смысле	1	1
его к мысли	1	1
потому что не	1	4
и в слове	1	1
только звук то	1	1
одной и той	1	3
и только исподволь	1	1
так относится к	1	1
само собою как	1	1
стремление к ней	1	1
душе на этом	1	1
что не только	1	2
чувство удовольствия и	2	1
близких к нам	1	1
а потому что	1	2
то что мы	2	1
это не так	1	1
на него мысли	1	1
в том что	7	13
в то время	4	1
но это не	1	1
себя потому что	1	1
того же предмета	2	1
может быть названо	2	3
не потому что	1	1
чувства потому что	1	1
то же время	2	3
и в таком	1	1
по всей вероятности	1	1
одной стороны и	1	1
полученные таким путем	1	1
и т п	3	2
и притом не	1	2
рождается вместе с	1	1
а вместе и	4	2
мысли с другой	1	1
точно так как	4	6
с таким образом	2	1
понятность своих слов	1	1
только испытавши на	1	1
тем не менее	5	6
впечатления общего чувства	1	3
сил необходимых для	1	1
мере того как	4	3
и как бы	1	3
в связи с	1	1
на этом основании	1	1
по крайней мере	5	2
в свою очередь	6	4
но самое это	1	1
то есть дает	2	1
понимание было бы	1	1
бы то ни	1	2
с другой стороны	2	5
таким образом в	2	1
удовольствия и неудовольствия	2	4
имеют для нас	1	1
сам по себе	4	1
то что в	2	1
в душе есть	1	2
а между тем	4	3
души на внешние	1	1
то мы принуждены	1	1
есть в душе	1	1
если бы не	1	2
говорит гумбольдт в	1	1
в действительности не	1	1
на внешние возбуждения	1	1
начнем с указания	1	1
одно которое мы	1	1
вместе с этим	1	1
смысле этого слова	3	1
но с другой	1	2
для нас те	1	1
взявши во внимание	1	1
а не есть	1	2
при других обстоятельствах	1	1
и том же	1	2
но и по	1	1
в одном из	1	1
в отдельном лице	1	1
но все же	1	1
столь же мало	1	1
в эту минуту	3	1
речи humboldt т	1	1
будет иметь только	1	1
том виде в	1	1
потому что мысль	1	1
тех и других	1	2
и то и	1	1
так и в	2	3
для взаимного сообщения	1	1
в каждом языке	1	1
жизни нашего организма	1	1
но так как	1	1
но не в	2	1
с одной стороны	3	3
с указания на	1	1
не было бы	4	1
с общим чувством	1	1
в применении к	1	2
тем что мы	2	1
что у нас	1	1
очень важную роль	1	1
или по крайней	2	1
но тем не	3	3
в то же	2	3
слов humboldt т	1	1
того как мы	1	1
виде в каком	1	1
своей последующей судьбе	1	1
отношений между стихиями	1	1
бы с прежними	1	1
не есть нечто	1	1
первое по времени	1	1
не то то	1	1
но вместе и	1	1
может быть не	3	1
только потому что	2	2
речи и понимания	1	9
воздействия души на	1	1
те же впечатления	1	1
можно заметить что	1	1
для кого не	1	1
можно думать что	2	1
смысле в каком	1	4
по себе и	1	1
в собственном смысле	1	1
том смысле что	1	1
до первого то	1	1
с самого начала	2	3
что касается до	1	1
с ним то	1	1
и той же	1	3
в том виде	1	1
света и звука	1	1
таким же путем	1	1
находятся в связи	1	1
это было бы	1	1
что на ней	1	1
с тем что	1	3
по себе не	3	1
до сих пор	4	1
в одном и	1	2
в самой мысли	1	1
внимание на следующее	1	1
сама по себе	2	3
мог бы быть	1	1
что во всех	1	1
чувство ожидания и	1	1
в таком случае	2	2
мы не в	1	1
дело в том	1	2
к которому мы	1	1
в каком имеет	1	1
сливались бы с	1	1
как бы ни	3	2
они могли бы	1	1
нам остается только	1	1
то тем самым	1	1
может быть только	1	1
но на деле	2	2
мы не можем	3	1
в этом смысле	2	4
в одно целое	2	1
одном и том	1	2
бы ни было	1	1
после того как	2	1
не заключает в	2	1
то же выйдет	1	1
lotze т с	6	4
вызывает в сознании	1	1
развивается только в	1	1
себе не может	1	1
только в обществе	1	1
то все же	2	1
как и во	2	1
язык говорит гумбольдт	1	1
в одно время	4	1
т с в	1	2
только в том	1	6
обширном смысле этого	2	1
независимо от языка	1	2
различия в строении	1	1
не в состоянии	4	1
друг на друга	1	1
именно того что	1	1
на все наше	1	1
а и б	1	1
во многих случаях	1	1
между человеком и	1	2
по мере того	4	3
до такой степени	1	1
в обратном отношении	1	1
ср humboldt т	1	1
что если бы	2	1
что само слово	1	1
а в том	1	3
подобно тому как	4	3
одно из необходимых	1	1
как перед нами	1	1
так а не	1	1
при этом самый	1	1
humboldt т с	10	21
одно время с	1	1
в нем самом	1	5
то время когда	1	1
могут быть названы	1	2
с этой точки	1	1
не может быть	2	9
не в том	2	4
в создании языка	1	2
если не в	1	1
на то же	1	1
в человеке и	1	1
само по себе	2	4
и независимо от	1	1
нельзя себе представить	1	2
из виду что	1	1
к языку это	1	2
сами по себе	7	1
потому что мы	1	2
по своей последующей	1	1
не во всех	1	1
и связанное с	1	1
никогда не достигает	1	1
и т д	3	4
между тем в	1	1
себя и других	1	1
только по поводу	1	1
быть выведены из	1	1
только тогда когда	2	4
заключает в себе	4	2
зрению и слуху	1	1
и тем самым	1	1
применении к языку	1	2
очевидно что если	1	1
совмещает в себе	1	1
что в нас	1	1
и в жизни	2	1
так как чувство	1	1
потому что для	1	1
членораздельным звуком и	1	1
в сравнении с	2	2
до значительной степени	1	1
