4gram	Tiupa_DiskursIZhanr_partition_part1_wordlist_4gram	Tiupa_DiskursIZhanr_partition_part2_wordlist_4gram
неразвернутость характеристик и описаний	1	1
как бы укрупненных деталей	1	1
перформативность лирического дискурса и	1	1
в том числе и	1	2
как прецедент первое свершение	1	1
состоит в том что	2	1
ни о чем не	1	1
строгом значении этого термина	1	1
и оцененном мире лкс	1	1
читателя что он ничего	1	1
и как бы укрупненных	1	1
универсальные архетипические ситуации общечеловеческой	1	1
глава рассказ как построманный	1	1
по словам с.с аверинцева	1	1
уверяем читателя что он	1	1
упускать из виду что	1	1
краткость и точность словесного	1	1
живет в готовом стабильно	1	1
субъект перформативного слова не	1	1
интрига нарративного высказывания состоит	1	1
мы не помещаем полагая	1	1
если можно так выразиться	1	1
жизнеописание как протороманный нарратив	1	1
нем звучит один голос	1	1
в выходе за пределы	1	1
завершенная и строго отграниченная	1	1
одно и то же	2	1
свершение в ряду всех	1	1
и описаний акцентированная роль	1	1
то же время и	1	1
тем что он излагается	1	1
декларативный и медитативный векторы	1	1
выготским и н.и жинкиным	1	1
излишним впрочем уверяем читателя	1	1
анекдот коего мы не	1	1
глава жизнеописание как протороманный	1	1
одного и того же	2	2
в том что в	1	2
в одно и то	1	1
и то же время	1	1
не помещаем полагая его	1	1
чужой речи и т.п	1	1
имеем дело не с	1	1
бы укрупненных деталей краткость	1	1
характеристик и описаний акцентированная	1	1
оно живет в готовом	1	1
весьма существенную роль в	1	1
мы имеем дело не	1	1
в себе не заключает	1	1
глава перформативность лирического дискурса	1	1
роль немногочисленных и как	1	1
с одной стороны и	2	2
исследовавшейся л.с выготским и	1	1
не сводится ни к	2	1
лаконичная строгость композиции неразвернутость	1	1
прецедент первое свершение в	1	1
[...] оно живет в	1	1
ничего предосудительного памяти ивана	1	1
немногочисленных и как бы	1	1
коего мы не помещаем	1	1
что он ничего предосудительного	1	1
первое свершение в ряду	1	1
в готовом стабильно дифференцированном	1	1
в то же время	4	3
архетипические ситуации общечеловеческой жизни	1	1
один голос [...] оно	1	1
происходит только то что	1	1
готовом стабильно дифференцированном и	1	1
предосудительного памяти ивана петровича	1	1
выхожу один я на	1	1
впрочем уверяем читателя что	1	1
и генезис лирических жанров	1	1
белкина в себе не	1	1
нарративного высказывания состоит в	1	1
строгость композиции неразвернутость характеристик	1	1
в ряду всех подобных	1	1
лирического дискурса и генезис	1	1
и в то же	1	1
в нем звучит один	1	1
коммуникативного события тогда как	1	1
звучит один голос [...]	1	1
однозначности [...] в нем	1	1
притчи о блудном сыне	2	1
состоит в напряжении событийного	1	1
петровича белкина в себе	1	1
являются речевыми автопрезентациями поскольку	1	1
как уже было сказано	1	1
описаний акцентированная роль немногочисленных	1	1
памяти ивана петровича белкина	1	1
не говоря уже о	1	2
в строгом значении этого	2	1
речи исследовавшейся л.с выготским	1	1
композиции неразвернутость характеристик и	1	1
не то чтобы не	1	1
дело в том что	2	1
и строго отграниченная система	1	1
акцентированная роль немногочисленных и	1	1
деталей краткость и точность	1	1
один я на дорогу	1	1
излагается как прецедент первое	1	1
за пределы человеческого сознания	1	1
его излишним впрочем уверяем	1	1
пушкиным в повестях белкина	1	1
то что и должно	1	1
рассказ как построманный нарратив	1	1
полагая его излишним впрочем	1	1
дискурса и генезис лирических	1	1
укрупненных деталей краткость и	1	1
поскольку субъект перформативного слова	1	1
в напряжении событийного ряда	1	1
оказывается в ситуации выбора	1	1
автопрезентациями поскольку субъект перформативного	1	1
лицом к лицу с	1	1
и точность словесного выражения	1	1
ивана петровича белкина в	1	1
высказывания состоит в напряжении	1	1
той или иной жанровой	1	1
жанровые стратегии биографического дискурса	1	1
л.с выготским и н.и	1	1
стабильно дифференцированном и оцененном	1	1
речевыми автопрезентациями поскольку субъект	1	1
только то что и	1	1
помещаем полагая его излишним	1	1
существенную роль в генезисе	1	1
выходе за пределы человеческого	1	1
потому что в них	1	1
голос [...] оно живет	1	1
что он излагается как	1	1
он излагается как прецедент	1	1
в ситуации выбора между	1	1
ряду всех подобных ему	1	1
с той или иной	1	1
дифференцированном и оцененном мире	1	1
строго отграниченная система смыслов	1	1
назидательное безапелляционное в своей	1	1
внутренней речи исследовавшейся л.с	1	1
субъекта объекта и адресата	1	1
следует анекдот коего мы	1	1
он ничего предосудительного памяти	1	1
[...] в нем звучит	1	1
