3gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_3gram
отличается от символа	1	1
могут сказать что	3	1
как таковое в	1	1
что в данном	1	2
то есть мы	1	1
в той или	1	7
также и то	2	1
для того чтобы	2	2
необходимо сказать что	5	3
о том что	14	3
на то что	4	1
это ясно само	1	1
что иное как	3	2
на самом деле	2	3
вопрос о том	2	1
не только не	2	4
и тем не	1	3
сих пор мы	1	1
более или менее	4	2
рода семантических оттенков	1	1
той или иной	1	11
всех подобного рода	1	1
в зависимости от	1	3
так что в	2	1
здесь сказать это	1	1
ясно само собой	1	1
чем иным как	1	2
и не раз	1	1
было бы весьма	1	3
и в частности	3	2
об этом мы	1	1
и вообще не	1	1
в том что	4	8
как ее отражение	1	1
а только в	1	1
буквальном смысле слова	1	2
так же как	1	1
иметь в виду	1	1
а иной раз	1	1
не менее он	1	1
есть нечто целое	1	3
и тоже является	1	1
не имеет ничего	2	2
в виду именно	1	1
отношений то есть	1	1
а это значит	1	3
и для всех	1	1
ни в каких	1	1
в результате нашего	2	1
но все же	1	1
каком смысле не	1	2
и все другие	1	1
уж во всяком	2	2
том числе и	2	1
в то же	4	2
вовсе не только	1	1
нет никакой возможности	1	2
вовсе не являются	1	2
и самого предмета	2	1
по себе и	2	1
едва ли требует	1	2
ли кто-нибудь станет	1	1
с самого начала	2	1
имеем в виду	2	3
время содержит в	1	1
перестали бы быть	1	1
сама по себе	4	2
ничто то есть	1	1
в виде определенного	1	1
в таком случае	10	1
вообще не существует	1	1
в последнее время	1	1
то тем самым	1	1
или иной мере	1	3
в этом смысле	5	3
те или иные	3	4
как будто бы	5	2
есть в подлинном	1	1
крайней мере в	2	1
и ни в	2	3
а тем не	2	1
совершенно ясно что	1	1
так как здесь	1	1
и когда мы	1	1
само по себе	2	1
и независимо от	2	2
сами по себе	2	2
о том как	1	1
не то что	1	1
заключается в том	2	2
ту или иную	1	1
уже во всяком	1	1
несмотря на всю	2	1
не только в	2	4
есть в нашем	1	1
при условии своей	1	1
то ни было	1	1
не есть ни	3	2
сознания и мышления	1	2
к учению о	1	1
и тем более	1	2
и представить себе	2	1
области гуманитарных наук	1	1
как раз и	4	1
тоже не есть	1	1
никак не может	2	1
и не очень	1	1
должны сказать что	1	1
слова то есть	2	2
и в то	1	1
только при помощи	1	2
говорить о том	1	1
если иметь в	1	1
имеющих ничего общего	1	1
тех или других	3	1
то есть чисто	1	1
на эту тему	2	1
о существовании этих	2	1
же как и	1	1
и не имеет	1	1
может быть даже	1	1
и если мы	1	1
одной стороны это	1	1
да и всякого	1	1
в каком смысле	1	2
это такого рода	1	1
в буквальном смысле	1	2
но даже и	1	4
другое дело если	1	1
с другой стороны	5	6
значит что он	1	1
потому что такая	1	1
ведь для того	1	1
несет с собой	1	1
и без всякой	1	1
точном смысле слова	2	1
есть не что	3	2
и является этим	1	1
это вовсе не	1	1
даже и представить	2	1
но никак не	2	2
и только в	1	2
но по крайней	1	1
прежде всего как	1	1
друг к другу	2	1
точно так же	3	3
в каком случае	3	3
того или иного	5	3
в известном смысле	1	1
данном случае только	1	1
же деле здесь	1	1
здесь может быть	1	1
свидетельствует о том	1	1
нет и никакой	1	1
и как они	1	1
здесь тоже только	1	1
какой мере не	1	4
в другом случае	1	2
каком случае не	2	3
вовсе не является	3	2
возникает только в	1	1
те или другие	4	1
а не просто	2	1
то есть только	2	1
когда мы произносим	2	1
по этому поводу	2	1
и меньше всего	1	1
то есть тоже	1	1
одно нераздельное целое	1	5
самом же деле	1	2
а может быть	2	1
себя самой так	1	1
и т д	6	3
а именно он	2	1
сам предмет и	1	1
геометрии и в	1	1
в одно нераздельное	1	5
как нам кажется	1	1
то это значит	2	1
то что в	1	1
не существует но	1	1
во всяком случае	10	4
предмета и самого	1	1
той или другой	4	3
не существует и	1	1
и то что	7	1
на бесконечное множество	1	1
в том числе	2	1
не менее в	1	1
никак нельзя сказать	1	1
где же тут	1	1
ни в какой	1	4
и в связи	1	1
в человеческом сознании	1	1
на самом же	1	2
вовсе не есть	10	2
не было этого	2	1
она тотчас же	1	1
и не может	1	1
мы не знаем	1	1
не что иное	3	2
мы хотели бы	1	2
случае не есть	1	1
хотя бы даже	1	2
не о чем	3	1
тоже ни в	1	1
в связи с	5	3
все равно не	1	1
но отнюдь не	1	1
по крайней мере	6	6
бы то ни	2	1
взятое само по	1	1
не относится к	1	1
пусть хотя бы	2	3
все эти категории	1	1
другого так как	1	1
далеко не все	1	1
то есть он	1	1
количество частей на	1	1
так и в	1	1
тоже есть нечто	1	1
с одной стороны	5	1
не есть нечто	1	1
сказать это то	1	1
едва ли кто-нибудь	2	2
только потому что	1	1
дело если я	1	1
так же и	2	1
но можно ли	2	1
в его чисто	1	1
не имеющих ничего	1	1
взятые сами по	2	1
здесь вовсе не	1	1
и можно даже	1	1
есть перестает быть	1	1
в чистом виде	3	2
в их фактическом	1	1
содержит в себе	2	8
всяком случае не	2	1
в какой мере	1	4
в области гуманитарных	1	1
даже и совсем	1	1
только в том	4	3
не могли бы	1	1
ли сказать что	2	1
все это есть	1	1
не может обойтись	1	2
то время как	1	2
вне и независимо	2	1
в настоящее время	16	1
а в том	1	1
это значит что	3	7
о котором мы	1	1
без особого труда	1	1
не чем иным	1	2
не то чтобы	1	1
в том или	1	2
сказать что он	1	1
тем или другим	1	1
и в математическом	1	1
в этой области	3	1
еще не есть	2	1
вообще не есть	1	1
то есть не	3	3
даже вовсе не	1	1
только то что	3	1
же в таком	1	1
можно было бы	2	4
и уж тем	5	1
несет на себе	1	1
вместе с тем	1	3
не может существовать	1	1
мы должны сказать	1	2
а то что	1	2
это и есть	2	1
здесь мы имеем	1	2
при помощи того	1	1
бы даже и	1	3
не говоря уже	4	2
то и другое	1	3
это то что	4	1
вовсе не так	1	1
содержать в себе	1	1
мы имеем в	1	1
на том что	1	1
на первый взгляд	1	1
даже и не	2	2
то есть перестает	1	1
в подлинном смысле	1	1
в заключение этого	1	1
пока еще только	1	1
иной раз даже	1	1
что не только	1	1
по себе но	1	1
нам кажется что	1	1
и не просто	5	2
имеет ничего общего	2	2
совершенно новое качество	1	1
в то время	1	2
быть даже и	1	1
к выводу что	1	1
и для всякой	1	1
прямо можно сказать	1	1
другой стороны однако	1	4
тем не менее	12	10
и прежде всего	2	2
тот или иной	4	2
должны были бы	2	1
то есть в	2	6
ни в каком	4	5
к самому предмету	1	1
уж тем более	5	1
в данном случае	5	5
в значительной мере	3	2
в отдельности и	1	1
или по крайней	3	2
едва ли даже	1	1
можно даже сказать	1	2
является не чем	1	1
то что не	2	1
это было бы	1	1
что не имеет	1	1
до сих пор	4	1
ничего общего с	2	2
не есть просто	2	1
говоря уже о	4	1
нечто целое и	1	1
по своему содержанию	1	5
случае не будет	1	1
и пожалуй даже	1	1
еще не вполне	1	1
вовсе не тем	1	1
еще не существует	1	1
в одном случае	1	2
представим себе что	2	1
помощи того или	1	1
же самое время	4	2
в конце концов	7	1
то же самое	5	6
есть то что	2	1
предмета к самому	1	1
мы не будем	1	2
и потому в	1	1
можно ли сказать	2	2
самое время содержит	1	1
для нас не	1	1
нечто единое и	1	1
хотя бы и	3	2
и тем самым	1	1
не тем что	1	1
